Index   V(1)           V(2)           V(3)           V(4)           
0       -4.00000000e+00  -1.99996363e+00  2.99992706e+00   1.50008961e+00   
1       -3.00000000e+00  -1.50000939e+00  2.25000938e+00   1.12498823e+00   
2       -2.00000000e+00  -1.00000063e+00  1.99999995e+00   9.99999823e-01   
3       -1.00000000e+00  -5.00007259e-01  2.24999273e+00   1.12501669e+00   
4       -4.09495718e-13  -1.45204909e-07  2.99999971e+00   1.50000007e+00   
5       1.00000000e+00   4.99999804e-01   4.24999941e+00   2.12500005e+00   
6       2.00000000e+00   9.99999755e-01   5.99999902e+00   3.00000003e+00   
7       3.00000000e+00   1.49999971e+00   8.24999857e+00   4.12499998e+00   
8       4.00000000e+00   1.99999968e+00   1.09999981e+01   5.49999993e+00   
End of Xyce(TM) Simulation
