Index       V(1)              V(3)              V(3A)      
0       -4.00000000e+00   -2.59800000e+01   -2.59800000e+01
1       -3.00000000e+00   -8.39000000e+00   -8.39000000e+00
2       -2.00000000e+00   -1.06000000e+00   -1.06000000e+00
3       -1.00000000e+00    3.30000000e-01    3.30000000e-01
4        0.00000000e+00    1.00000000e-01    1.00000000e-01
5        1.00000000e+00    2.57000000e+00    2.57000000e+00
6        2.00000000e+00    1.20600000e+01    1.20600000e+01
7        3.00000000e+00    3.28900000e+01    3.28900000e+01
8        4.00000000e+00    6.93800000e+01    6.93800000e+01
End of Xyce(TM) Simulation
