Index      TIME           V(1)           V(8)           V(9)           I(V2)           V(10)           V(11)           I(V3)
0       0.00000000e+00   0.00000000e+00   5.00000000e+00   0.00000000e+00   0.00000000e+00   5.00000000e+00   0.00000000e+00   0.00000000e+00   
1       5.00000000e-12   2.50000000e-02   5.00000000e+00   3.57142857e+00   -3.57142857e-02  5.00000000e+00   3.57142857e+00   -3.57142857e-02  
2       5.62500000e-12   2.81250000e-02   5.00000000e+00   3.68852459e+00   -3.68852459e-02  5.00000000e+00   3.68852459e+00   -3.68852459e-02  
3       6.25000000e-12   3.12500000e-02   5.00000000e+00   3.78787879e+00   -3.78787879e-02  5.00000000e+00   3.78787879e+00   -3.78787879e-02  
4       6.87500000e-12   3.43750000e-02   5.00000000e+00   3.87323944e+00   -3.87323944e-02  5.00000000e+00   3.87323944e+00   -3.87323944e-02  
5       7.50000000e-12   3.75000000e-02   5.00000000e+00   3.94736842e+00   -3.94736842e-02  5.00000000e+00   3.94736842e+00   -3.94736842e-02  
6       8.75000000e-12   4.37500000e-02   5.00000000e+00   4.06976744e+00   -4.06976744e-02  5.00000000e+00   4.06976744e+00   -4.06976744e-02  
7       1.00000000e-11   5.00000000e-02   5.00000000e+00   4.16666667e+00   -4.16666667e-02  5.00000000e+00   4.16666667e+00   -4.16666667e-02  
8       1.12500000e-11   5.62500000e-02   5.00000000e+00   4.24528302e+00   -4.24528302e-02  5.00000000e+00   4.24528302e+00   -4.24528302e-02  
9       1.25000000e-11   6.25000000e-02   5.00000000e+00   4.31034483e+00   -4.31034483e-02  5.00000000e+00   4.31034483e+00   -4.31034483e-02  
10      1.50000000e-11   7.50000000e-02   5.00000000e+00   4.41176471e+00   -4.41176471e-02  5.00000000e+00   4.41176471e+00   -4.41176471e-02  
11      1.75000000e-11   8.75000000e-02   5.00000000e+00   4.48717949e+00   -4.48717949e-02  5.00000000e+00   4.48717949e+00   -4.48717949e-02  
12      2.00000000e-11   1.00000000e-01   5.00000000e+00   4.54545455e+00   -4.54545455e-02  5.00000000e+00   4.54545455e+00   -4.54545455e-02  
13      2.25000000e-11   1.12500000e-01   5.00000000e+00   4.59183673e+00   -4.59183673e-02  5.00000000e+00   4.59183673e+00   -4.59183673e-02  
14      2.75000000e-11   1.37500000e-01   5.00000000e+00   4.66101695e+00   -4.66101695e-02  5.00000000e+00   4.66101695e+00   -4.66101695e-02  
15      3.25000000e-11   1.62500000e-01   5.00000000e+00   4.71014493e+00   -4.71014493e-02  5.00000000e+00   4.71014493e+00   -4.71014493e-02  
16      3.75000000e-11   1.87500000e-01   5.00000000e+00   4.74683544e+00   -4.74683544e-02  5.00000000e+00   4.74683544e+00   -4.74683544e-02  
17      4.75000000e-11   2.37500000e-01   5.00000000e+00   4.79797980e+00   -4.79797980e-02  5.00000000e+00   4.79797980e+00   -4.79797980e-02  
18      5.75000000e-11   2.87500000e-01   5.00000000e+00   4.83193277e+00   -4.83193277e-02  5.00000000e+00   4.83193277e+00   -4.83193277e-02  
19      6.75000000e-11   3.37500000e-01   5.00000000e+00   4.85611511e+00   -4.85611511e-02  5.00000000e+00   4.85611511e+00   -4.85611511e-02  
20      8.75000000e-11   4.37500000e-01   5.00000000e+00   4.88826816e+00   -4.88826816e-02  5.00000000e+00   4.88826816e+00   -4.88826816e-02  
21      1.07500000e-10   5.37500000e-01   5.00000000e+00   4.90867580e+00   -4.90867580e-02  5.00000000e+00   4.90867580e+00   -4.90867580e-02  
22      1.47500000e-10   7.37500000e-01   5.00000000e+00   4.93311037e+00   -4.93311037e-02  5.00000000e+00   4.93311037e+00   -4.93311037e-02  
23      1.87500000e-10   9.37500000e-01   5.00000000e+00   4.94722955e+00   -4.94722955e-02  5.00000000e+00   4.94722955e+00   -4.94722955e-02  
24      2.67500000e-10   1.33750000e+00   5.00000000e+00   4.96289425e+00   -4.96289425e-02  5.00000000e+00   4.96289425e+00   -4.96289425e-02  
25      4.27500000e-10   2.13750000e+00   5.00000000e+00   4.97671711e+00   -4.97671711e-02  5.00000000e+00   4.97671711e+00   -4.97671711e-02  
26      5.87500000e-10   2.93750000e+00   5.00000000e+00   4.98303647e+00   -4.98303647e-02  5.00000000e+00   4.98303647e+00   -4.98303647e-02  
