Index    V(BUS1TH)       V(BUS1VM)       I(VAMM1P)       I(VAMM1Q)       I(VAMM3P)       I(VAMM3Q)   
0       -7.854000e-01    5.000000e-01   -1.767770e-01   -5.177638e-02   -1.767770e-01   -3.232236e-01
1        0.000000e+00    5.000000e-01    0.000000e+00   -1.250000e-01    0.000000e+00   -2.500000e-01
2        7.854000e-01    5.000000e-01    1.767770e-01   -5.177637e-02    1.767770e-01   -3.232236e-01
3       -7.854000e-01    7.500000e-01   -2.651655e-01    1.608544e-02   -2.651655e-01   -2.348354e-01
4        0.000000e+00    7.500000e-01    0.000000e+00   -9.375000e-02    0.000000e+00   -1.250000e-01
5        7.854000e-01    7.500000e-01    2.651655e-01    1.608544e-02    2.651655e-01   -2.348354e-01
6       -7.854000e-01    1.000000e+00   -3.535540e-01    1.464473e-01   -3.535540e-01   -1.464473e-01
7        0.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
8        7.854000e-01    1.000000e+00    3.535540e-01    1.464473e-01    3.535540e-01   -1.464473e-01
End of Xyce(TM) Simulation
