Index    V(BUS1TH)       V(BUS1VM)       I(VAMM1P)       I(VAMM1Q)       I(VAMM2P)       I(VAMM2Q)   
0       -7.854000e-01    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -5.000000e-01
1       -7.854000e-01    5.000000e-01   -1.767770e-01   -5.177637e-02   -1.767770e-01   -3.232236e-01
2       -7.854000e-01    1.000000e+00   -3.535540e-01    1.464473e-01   -3.535540e-01   -1.464473e-01
3        0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -5.000000e-01
4        0.000000e+00    5.000000e-01    0.000000e+00   -1.250000e-01    0.000000e+00   -2.500000e-01
5        0.000000e+00    1.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00
6        7.854000e-01    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   -5.000000e-01
7        7.854000e-01    5.000000e-01    1.767770e-01   -5.177637e-02    1.767770e-01   -3.232236e-01
8        7.854000e-01    1.000000e+00    3.535540e-01    1.464473e-01    3.535540e-01   -1.464473e-01
End of Xyce(TM) Simulation
