Index        TIME               V(VOUT)              V(IN)               V(1)        
0        0.0000000000e+00    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
1        7.5000000000e-09    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
2        2.2500000000e-08    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
3        5.2500000000e-08    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
4        1.1250000000e-07    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
5        2.3250000000e-07    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
6        3.8250000000e-07    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
7        5.3250000000e-07    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
8        6.8250000000e-07    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
9        8.3250000000e-07    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
10       9.8250000000e-07    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
11       1.1325000000e-06    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
12       1.2825000000e-06    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
13       1.4325000000e-06    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
14       1.5000000000e-06    5.3365340366e-01    3.2999656750e+00    3.3000000000e+00
15       1.5000078125e-06    5.3355126351e-01    3.2985767889e+00    3.2948437500e+00
16       1.5000155428e-06    5.3337487230e-01    3.2962059526e+00    3.2897417720e+00
17       1.5000232730e-06    5.3314308404e-01    3.2931054674e+00    3.2846397940e+00
18       1.5000310033e-06    5.3288842908e-01    3.2896974539e+00    3.2795378160e+00
19       1.5000464638e-06    5.3228148987e-01    3.2815293736e+00    3.2693338600e+00
20       1.5000619244e-06    5.3160460674e-01    3.2722865997e+00    3.2591299040e+00
21       1.5000773849e-06    5.3090787460e-01    3.2625495632e+00    3.2489259480e+00
22       1.5001083060e-06    5.2954444729e-01    3.2425486639e+00    3.2285180360e+00
23       1.5001392271e-06    5.2828664828e-01    3.2223252974e+00    3.2081101240e+00
