V(g) I(d) I(g) I(s) I(b)
1.00000 -2.621635e-10 5.032803e-10 -4.901975e-10 2.490807e-10
0.99 -2.609606e-10 4.912615e-10 -4.793816e-10 2.490807e-10
0.98 -2.598677e-10 4.795381e-10 -4.687512e-10 2.490807e-10
0.97 -2.588771e-10 4.680977e-10 -4.583013e-10 2.490807e-10
0.96 -2.579811e-10 4.569269e-10 -4.480265e-10 2.490807e-10
0.95 -2.571719e-10 4.460125e-10 -4.379214e-10 2.490807e-10
0.94 -2.564416e-10 4.353413e-10 -4.279805e-10 2.490807e-10
0.93 -2.55783e-10 4.249009e-10 -4.181987e-10 2.490807e-10
0.92 -2.551891e-10 4.146795e-10 -4.085711e-10 2.490807e-10
0.91 -2.546536e-10 4.046665e-10 -3.990936e-10 2.490807e-10
0.9 -2.541706e-10 3.948519e-10 -3.897621e-10 2.490807e-10
0.89 -2.537346e-10 3.852271e-10 -3.805732e-10 2.490807e-10
0.88 -2.533408e-10 3.75784e-10 -3.715239e-10 2.490807e-10
0.87 -2.529849e-10 3.665157e-10 -3.626115e-10 2.490807e-10
0.86 -2.526628e-10 3.574159e-10 -3.538339e-10 2.490807e-10
0.85 -2.52371e-10 3.484793e-10 -3.45189e-10 2.490807e-10
0.84 -2.521065e-10 3.39701e-10 -3.366752e-10 2.490807e-10
0.83 -2.518664e-10 3.310769e-10 -3.282912e-10 2.490807e-10
0.82 -2.516481e-10 3.226033e-10 -3.200359e-10 2.490807e-10
0.81 -2.514495e-10 3.14277e-10 -3.119082e-10 2.490807e-10
0.8 -2.512685e-10 3.060953e-10 -3.039075e-10 2.490807e-10
0.79 -2.511035e-10 2.980558e-10 -2.960331e-10 2.490807e-10
0.78 -2.509528e-10 2.901564e-10 -2.882844e-10 2.490807e-10
0.77 -2.50815e-10 2.823952e-10 -2.80661e-10 2.490807e-10
0.76 -2.506888e-10 2.747706e-10 -2.731625e-10 2.490807e-10
0.75 -2.505732e-10 2.672811e-10 -2.657886e-10 2.490807e-10
0.74 -2.504672e-10 2.599255e-10 -2.58539e-10 2.490807e-10
0.73 -2.503698e-10 2.527026e-10 -2.514135e-10 2.490807e-10
0.72 -2.502803e-10 2.456114e-10 -2.444118e-10 2.490807e-10
0.71 -2.501979e-10 2.386509e-10 -2.375337e-10 2.490807e-10
0.7 -2.50122e-10 2.318202e-10 -2.307789e-10 2.490807e-10
0.69 -2.500521e-10 2.251185e-10 -2.241471e-10 2.490807e-10
0.68 -2.499875e-10 2.185449e-10 -2.176381e-10 2.490807e-10
0.67 -2.499279e-10 2.120988e-10 -2.112516e-10 2.490807e-10
0.66 -2.498729e-10 2.057792e-10 -2.049871e-10 2.490807e-10
0.65 -2.49822e-10 1.995855e-10 -1.988442e-10 2.490807e-10
0.64 -2.497749e-10 1.935168e-10 -1.928227e-10 2.490807e-10
0.63 -2.497314e-10 1.875725e-10 -1.869219e-10 2.490807e-10
0.62 -2.496911e-10 1.817516e-10 -1.811413e-10 2.490807e-10
0.61 -2.496538e-10 1.760534e-10 -1.754803e-10 2.490807e-10
0.6 -2.496194e-10 1.704771e-10 -1.699384e-10 2.490807e-10
0.59 -2.495877e-10 1.650216e-10 -1.645147e-10 2.490807e-10
0.58 -2.495585e-10 1.596863e-10 -1.592085e-10 2.490807e-10
0.57 -2.495317e-10 1.5447e-10 -1.54019e-10 2.490807e-10
0.56 -2.495073e-10 1.493718e-10 -1.489452e-10 2.490807e-10
0.55 -2.494852e-10 1.443906e-10 -1.439862e-10 2.490807e-10
0.54 -2.494655e-10 1.395255e-10 -1.391408e-10 2.490807e-10
0.53 -2.494481e-10 1.347753e-10 -1.344079e-10 2.490807e-10
0.52 -2.494333e-10 1.301387e-10 -1.297861e-10 2.490807e-10
0.51 -2.494213e-10 1.256147e-10 -1.252741e-10 2.490807e-10
0.5 -2.494124e-10 1.21202e-10 -1.208704e-10 2.490807e-10
0.49 -2.494069e-10 1.168992e-10 -1.16573e-10 2.490807e-10
0.48 -2.494055e-10 1.12705e-10 -1.123802e-10 2.490807e-10
0.47 -2.49409e-10 1.08618e-10 -1.082897e-10 2.490807e-10
0.46 -2.494184e-10 1.046368e-10 -1.042991e-10 2.490807e-10
0.45 -2.494351e-10 1.007598e-10 -1.004055e-10 2.490807e-10
0.44 -2.494607e-10 9.69855e-11 -9.66055e-11 2.490807e-10
0.43 -2.494977e-10 9.33122e-11 -9.28953e-11 2.490807e-10
0.42 -2.495489e-10 8.97383e-11 -8.92702e-11 2.490807e-10
0.41 -2.496182e-10 8.62621e-11 -8.57247e-11 2.490807e-10
0.4 -2.497104e-10 8.28816e-11 -8.22519e-11 2.490807e-10
0.39 -2.498321e-10 7.95949e-11 -7.88436e-11 2.490807e-10
0.38 -2.499915e-10 7.64001e-11 -7.54894e-11 2.490807e-10
0.37 -2.501991e-10 7.3295e-11 -7.21766e-11 2.490807e-10
0.36 -2.504688e-10 7.02772e-11 -6.88892e-11 2.490807e-10
0.35 -2.508183e-10 6.73444e-11 -6.56068e-11 2.490807e-10
0.34 -2.512707e-10 6.44938e-11 -6.23038e-11 2.490807e-10
0.33 -2.518555e-10 6.17223e-11 -5.89475e-11 2.490807e-10
0.32 -2.526113e-10 5.90268e-11 -5.54962e-11 2.490807e-10
0.31 -2.535875e-10 5.64034e-11 -5.18966e-11 2.490807e-10
0.3 -2.548486e-10 5.38478e-11 -4.80799e-11 2.490807e-10
0.29 -2.564775e-10 5.13551e-11 -4.39584e-11 2.490807e-10
0.28 -2.58582e-10 4.89198e-11 -3.94185e-11 2.490807e-10
