Index	TIME	N(YRXN!R1_000_CONC_XSPEC)	N(YRXN!R1_000_CONC_YSPEC)
0	0.00000000e+00	5.00000000e+01	1.00000000e+02
1	3.00000000e-08	5.00000008e+01	9.99999990e+01
2	9.00000000e-08	5.00000023e+01	9.99999969e+01
3	2.10000000e-07	5.00000053e+01	9.99999927e+01
4	4.50000000e-07	5.00000113e+01	9.99999843e+01
5	9.30000000e-07	5.00000233e+01	9.99999675e+01
6	1.89000000e-06	5.00000473e+01	9.99999339e+01
7	3.81000000e-06	5.00000953e+01	9.99998667e+01
8	7.65000000e-06	5.00001913e+01	9.99997323e+01
9	1.53300000e-05	5.00003833e+01	9.99994635e+01
10	3.06900000e-05	5.00007673e+01	9.99989259e+01
11	6.14100000e-05	5.00015353e+01	9.99978507e+01
12	1.22850000e-04	5.00030714e+01	9.99957004e+01
13	2.45730000e-04	5.00061439e+01	9.99914002e+01
14	4.91490000e-04	5.00122898e+01	9.99828008e+01
15	9.83010000e-04	5.00245855e+01	9.99656066e+01
16	1.96605000e-03	5.00491923e+01	9.99312361e+01
17	3.93213000e-03	5.00984677e+01	9.98625667e+01
18	7.86429000e-03	5.01972655e+01	9.97255146e+01
19	1.57286100e-02	5.03958530e+01	9.94525554e+01
20	2.35929300e-02	5.05957676e+01	9.91811204e+01
21	3.14572500e-02	5.07970159e+01	9.89112063e+01
22	3.93215700e-02	5.09996044e+01	9.86428099e+01
23	4.71858900e-02	5.12035398e+01	9.83759282e+01
24	5.50502100e-02	5.14088286e+01	9.81105578e+01
25	6.29145300e-02	5.16154775e+01	9.78466958e+01
26	7.07788500e-02	5.18234933e+01	9.75843389e+01
27	7.86431700e-02	5.20328826e+01	9.73234843e+01
28	8.65074900e-02	5.22436523e+01	9.70641287e+01
29	9.43718100e-02	5.24558092e+01	9.68062692e+01
30	1.02236130e-01	5.26693601e+01	9.65499028e+01
31	1.10100450e-01	5.28843119e+01	9.62950266e+01
32	1.17964770e-01	5.31006717e+01	9.60416377e+01
33	1.25829090e-01	5.33184463e+01	9.57897331e+01
34	1.33693410e-01	5.35376427e+01	9.55393100e+01
35	1.41557730e-01	5.37582681e+01	9.52903656e+01
36	1.49422050e-01	5.39803295e+01	9.50428971e+01
37	1.57286370e-01	5.42038341e+01	9.47969017e+01
38	1.65150690e-01	5.44287890e+01	9.45523767e+01
39	1.73015010e-01	5.46552014e+01	9.43093193e+01
40	1.80879330e-01	5.48830786e+01	9.40677269e+01
41	1.88743650e-01	5.51124279e+01	9.38275969e+01
42	1.96607970e-01	5.53432566e+01	9.35889265e+01
43	2.04472290e-01	5.55755721e+01	9.33517134e+01
44	2.12336610e-01	5.58093817e+01	9.31159548e+01
45	2.20200930e-01	5.60446929e+01	9.28816483e+01
46	2.28065250e-01	5.62815132e+01	9.26487914e+01
47	2.35929570e-01	5.65198501e+01	9.24173816e+01
48	2.43793890e-01	5.67597112e+01	9.21874165e+01
49	2.51658210e-01	5.70011040e+01	9.19588938e+01
50	2.59522530e-01	5.72440362e+01	9.17318110e+01
51	2.67386850e-01	5.74885154e+01	9.15061659e+01
52	2.75251170e-01	5.77345495e+01	9.12819561e+01
53	2.83115490e-01	5.79821460e+01	9.10591795e+01
54	2.90979810e-01	5.82313128e+01	9.08378337e+01
