Index       TIME        N(YRXN!R1_000_CONC_ZSPEC)
0        0.00000000e+00    1.00000000e+00
1        1.00000000e-08    1.00000004e+00
2        1.03125000e-08    1.00000004e+00
3        1.09375000e-08    1.00000004e+00
4        1.15625000e-08    1.00000005e+00
5        1.21875000e-08    1.00000005e+00
6        1.34375000e-08    1.00000005e+00
7        1.59375000e-08    1.00000006e+00
8        1.84375000e-08    1.00000007e+00
9        2.09375000e-08    1.00000008e+00
10       2.34375000e-08    1.00000009e+00
11       2.59375000e-08    1.00000010e+00
12       2.84375000e-08    1.00000011e+00
13       3.09375000e-08    1.00000012e+00
14       3.34375000e-08    1.00000013e+00
15       3.59375000e-08    1.00000014e+00
16       3.84375000e-08    1.00000015e+00
17       4.09375000e-08    1.00000016e+00
18       4.34375000e-08    1.00000017e+00
19       4.59375000e-08    1.00000018e+00
20       4.84375000e-08    1.00000018e+00
21       5.09375000e-08    1.00000019e+00
22       5.34375000e-08    1.00000020e+00
23       5.59375000e-08    1.00000021e+00
24       5.84375000e-08    1.00000022e+00
25       6.09375000e-08    1.00000023e+00
26       6.34375000e-08    1.00000024e+00
27       6.59375000e-08    1.00000025e+00
28       6.84375000e-08    1.00000026e+00
29       7.09375000e-08    1.00000026e+00
30       7.34375000e-08    1.00000027e+00
31       7.59375000e-08    1.00000028e+00
32       7.84375000e-08    1.00000029e+00
33       8.09375000e-08    1.00000030e+00
34       8.34375000e-08    1.00000031e+00
35       8.59375000e-08    1.00000031e+00
36       8.84375000e-08    1.00000032e+00
37       9.09375000e-08    1.00000033e+00
38       9.34375000e-08    1.00000034e+00
39       9.59375000e-08    1.00000035e+00
40       9.84375000e-08    1.00000036e+00
41       1.00937500e-07    1.00000036e+00
42       1.03437500e-07    1.00000037e+00
43       1.05937500e-07    1.00000038e+00
44       1.08437500e-07    1.00000039e+00
45       1.10937500e-07    1.00000040e+00
46       1.13437500e-07    1.00000040e+00
47       1.15937500e-07    1.00000041e+00
48       1.18437500e-07    1.00000042e+00
49       1.20937500e-07    1.00000043e+00
50       1.23437500e-07    1.00000044e+00
51       1.25937500e-07    1.00000044e+00
52       1.28437500e-07    1.00000045e+00
53       1.30937500e-07    1.00000046e+00
54       1.33437500e-07    1.00000047e+00
55       1.35937500e-07    1.00000047e+00
56       1.38437500e-07    1.00000048e+00
57       1.40937500e-07    1.00000049e+00
58       1.43437500e-07    1.00000050e+00
59       1.45937500e-07    1.00000050e+00
60       1.48437500e-07    1.00000051e+00
61       1.50937500e-07    1.00000052e+00
62       1.53437500e-07    1.00000053e+00
63       1.55937500e-07    1.00000053e+00
64       1.58437500e-07    1.00000054e+00
65       1.60937500e-07    1.00000055e+00
66       1.63437500e-07    1.00000056e+00
67       1.65937500e-07    1.00000056e+00
