Index        TIME          {V(3)+2.0}       {V(11)+2.0}      {V(4)+2.0}
0       4.00000000e-04   1.99000953e+00   1.99000953e+00   2.00000000e+00   
1       4.00500000e-04   1.99000953e+00   1.99000953e+00   2.00000000e+00   
2       4.01500000e-04   1.99000953e+00   1.99000953e+00   2.00000000e+00   
3       4.03500000e-04   1.99000953e+00   1.99000953e+00   2.00000000e+00   
4       4.07500000e-04   1.99000953e+00   1.99000953e+00   2.00000000e+00   
5       4.15500000e-04   1.99000953e+00   1.99000953e+00   2.00000000e+00   
6       4.31500000e-04   1.99000953e+00   1.99000953e+00   2.00000000e+00   
7       4.63500000e-04   1.99000953e+00   1.99000953e+00   2.00000000e+00   
8       5.00000000e-04   1.99000953e+00   1.99000953e+00   2.00000000e+00   
9       5.00000500e-04   1.99010159e+00   1.99000997e+00   2.02500000e+00   
10      5.00000638e-04   1.99013392e+00   1.99001014e+00   2.03191707e+00   
11      5.00000777e-04   1.99017292e+00   1.99001035e+00   2.03883413e+00   
12      5.00001053e-04   1.99027623e+00   1.99001104e+00   2.05266827e+00   
13      5.00001330e-04   1.99039580e+00   1.99001192e+00   2.06650240e+00   
14      5.00001607e-04   1.99053629e+00   1.99001309e+00   2.08033654e+00   
15      5.00002160e-04   1.99088139e+00   1.99001658e+00   2.10800481e+00   
16      5.00003267e-04   1.99179474e+00   1.99002897e+00   2.16334135e+00   
17      5.00004262e-04   1.99284003e+00   1.99004679e+00   2.21310113e+00   
18      5.00005257e-04   1.99405845e+00   1.99007135e+00   2.26286092e+00   
19      5.00006252e-04   1.99541779e+00   1.99010262e+00   2.31262070e+00   
20      5.00007248e-04   1.99689130e+00   1.99014032e+00   2.36238048e+00   
21      5.00008243e-04   1.99845713e+00   1.99018399e+00   2.41214027e+00   
22      5.00009238e-04   2.00009777e+00   1.99023306e+00   2.46190005e+00   
23      5.00010025e-04   2.00143925e+00   1.99027533e+00   2.50123372e+00   
24      5.00010811e-04   2.00281319e+00   1.99032032e+00   2.54056739e+00   
25      5.00011598e-04   2.00421508e+00   1.99036776e+00   2.57990106e+00   
26      5.00012385e-04   2.00564148e+00   1.99041737e+00   2.61923472e+00   
27      5.00013171e-04   2.00708980e+00   1.99046893e+00   2.65856839e+00   
28      5.00014745e-04   2.01004428e+00   1.99057701e+00   2.73723573e+00   
29      5.00016318e-04   2.01307314e+00   1.99069107e+00   2.81590307e+00   
30      5.00017891e-04   2.01617583e+00   1.99081050e+00   2.89457040e+00   
31      5.00019465e-04   2.01935659e+00   1.99093506e+00   2.97323774e+00   
32      5.00021038e-04   2.02262360e+00   1.99106488e+00   3.05190508e+00   
33      5.00022611e-04   2.02598810e+00   1.99120042e+00   3.13057241e+00   
34      5.00024185e-04   2.02946358e+00   1.99134239e+00   3.20923975e+00   
35      5.00025758e-04   2.03306510e+00   1.99149173e+00   3.28790709e+00   
36      5.00027331e-04   2.03680878e+00   1.99164954e+00   3.36657442e+00   
37      5.00028905e-04   2.04071138e+00   1.99181707e+00   3.44524176e+00   
38      5.00030478e-04   2.04479001e+00   1.99199562e+00   3.52390910e+00   
39      5.00032052e-04   2.04906186e+00   1.99218659e+00   3.60257643e+00   
40      5.00035198e-04   2.05827556e+00   1.99261350e+00   3.75991111e+00   
41      5.00038345e-04   2.06846979e+00   1.99310826e+00   3.91724578e+00   
42      5.00041492e-04   2.07976655e+00   1.99368229e+00   4.07458045e+00   
43      5.00044638e-04   2.09228448e+00   1.99434740e+00   4.23191513e+00   
44      5.00047785e-04   2.10613588e+00   1.99511553e+00   4.38924980e+00   
45      5.00050932e-04   2.12142562e+00   1.99599884e+00   4.54658447e+00   
46      5.00054078e-04   2.13825088e+00   1.99700967e+00   4.70391915e+00   
47      5.00057225e-04   2.15670121e+00   1.99816071e+00   4.86125382e+00   
48      5.00060372e-04   2.17685883e+00   1.99946510e+00   5.01858849e+00   
49      5.00063518e-04   2.19879886e+00   2.00093650e+00   5.17592316e+00   
50      5.00066665e-04   2.22258970e+00   2.00258919e+00   5.33325784e+00   
51      5.00069381e-04   2.24465398e+00   2.00417183e+00   5.46904027e+00   
52      5.00072096e-04   2.26817914e+00   2.00591051e+00   5.60482270e+00   
53      5.00074812e-04   2.29319876e+00   2.00781587e+00   5.74060514e+00   
54      5.00077528e-04   2.31974295e+00   2.00989896e+00   5.87638757e+00   
55      5.00080243e-04   2.34783882e+00   2.01217128e+00   6.01217001e+00   
56      5.00082959e-04   2.37751067e+00   2.01464485e+00   6.14795244e+00   
57      5.00085675e-04   2.40878012e+00   2.01733214e+00   6.28373487e+00   
58      5.00088390e-04   2.44166628e+00   2.02024614e+00   6.41951731e+00   
59      5.00091106e-04   2.47618587e+00   2.02340033e+00   6.55529974e+00   
60      5.00093822e-04   2.51235331e+00   2.02680866e+00   6.69108217e+00   
61      5.00099253e-04   2.58968950e+00   2.03446632e+00   6.96264704e+00   
62      5.00100000e-04   2.60084836e+00   2.03560716e+00   7.00000000e+00   
63      5.00105431e-04   2.68344587e+00   2.04517762e+00   7.00000000e+00   
64      5.00107048e-04   2.70824982e+00   2.04813561e+00   7.00000000e+00   
65      5.00108665e-04   2.73335830e+00   2.05120614e+00   7.00000000e+00   
66      5.00110282e-04   2.75883744e+00   2.05439379e+00   7.00000000e+00   
67      5.00111899e-04   2.78458674e+00   2.05766167e+00   7.00000000e+00   
68      5.00113516e-04   2.81071990e+00   2.06103941e+00   7.00000000e+00   
69      5.00116750e-04   2.86436721e+00   2.06818253e+00   7.00000000e+00   
70      5.00119984e-04   2.91989645e+00   2.07586520e+00   7.00000000e+00   
