Index          TIME                 V(4)              {V(1)+1.5}              V(6)
0       0.00000000000e+00    1.49069701610e+01    1.28163580951e+01    0.00000000000e+00    
1       5.00000000000e-10    1.49069580039e+01    1.28163567496e+01    7.50000000000e-02    
2       8.34093371353e-10    1.49069455366e+01    1.28163550164e+01    1.25114005703e-01    
3       1.13477740557e-09    1.49069330238e+01    1.28163528759e+01    1.70216610836e-01    
4       1.43546143979e-09    1.49069206346e+01    1.28163505394e+01    2.15319215968e-01    
5       2.03682950822e-09    1.49068996892e+01    1.28163453283e+01    3.05524426234e-01    
6       3.23956564510e-09    1.49068811267e+01    1.28163370333e+01    4.85934846764e-01    
7       4.44230178197e-09    1.49068797280e+01    1.28163328349e+01    6.66345267295e-01    
8       5.64503791884e-09    1.49068812504e+01    1.28163310255e+01    8.46755687826e-01    
9       6.84777405571e-09    1.49068832148e+01    1.28163301411e+01    1.02716610836e+00    
10      8.05051019258e-09    1.49068854679e+01    1.28163296925e+01    1.20757652889e+00    
11      9.25324632945e-09    1.49068880182e+01    1.28163295049e+01    1.38798694942e+00    
12      1.04559824663e-08    1.49068906546e+01    1.28163294762e+01    1.56839736995e+00    
13      1.16587186032e-08    1.49068934513e+01    1.28163295671e+01    1.74880779048e+00    
14      1.28614547401e-08    1.49068962013e+01    1.28163297342e+01    1.92921821101e+00    
15      1.40641908769e-08    1.49068990188e+01    1.28163299646e+01    2.10962863154e+00    
16      1.64696631507e-08    1.49069044018e+01    1.28163305315e+01    2.47044947260e+00    
17      1.88751354244e-08    1.49069096703e+01    1.28163311975e+01    2.83127031366e+00    
18      2.12806076982e-08    1.49069148054e+01    1.28163319068e+01    3.19209115472e+00    
19      2.16976359936e-08    1.49069157327e+01    1.28163320341e+01    3.25464539904e+00    
20      2.21146642890e-08    1.49069166486e+01    1.28163321605e+01    3.31719964335e+00    
21      2.29487208799e-08    1.49069185651e+01    1.28163324166e+01    3.44230813198e+00    
22      2.37827774707e-08    1.49069206058e+01    1.28163326797e+01    3.56741662061e+00    
23      2.46168340616e-08    1.49069227416e+01    1.28163329489e+01    3.69252510924e+00    
24      2.54508906525e-08    1.49069249800e+01    1.28163332247e+01    3.81763359787e+00    
25      2.71190038342e-08    1.49069296188e+01    1.28163337956e+01    4.06785057513e+00    
26      2.87871170159e-08    1.49069343026e+01    1.28163343893e+01    4.31806755238e+00    
27      3.04552301976e-08    1.49069388225e+01    1.28163349989e+01    4.56828452964e+00    
28      3.21233433793e-08    1.49069430576e+01    1.28163356177e+01    4.81850150690e+00    
29      3.37914565610e-08    1.49069469571e+01    1.28163362392e+01    5.06871848415e+00    
30      3.54595697427e-08    1.49069505114e+01    1.28163368583e+01    5.31893546141e+00    
31      3.71276829245e-08    1.49069537237e+01    1.28163374706e+01    5.56915243867e+00    
32      3.87957961062e-08    1.49069566072e+01    1.28163380727e+01    5.81936941593e+00    
33      4.04639092879e-08    1.49069591738e+01    1.28163386615e+01    6.06958639318e+00    
34      4.21320224696e-08    1.49069614384e+01    1.28163392344e+01    6.31980337044e+00    
35      4.38001356513e-08    1.49069634098e+01    1.28163397892e+01    6.57002034770e+00    
36      4.54682488330e-08    1.49069650976e+01    1.28163403238e+01    6.82023732495e+00    
37      4.71363620147e-08    1.49069665226e+01    1.28163408364e+01    7.07045430221e+00    
38      4.88044751965e-08    1.49069677292e+01    1.28163413267e+01    7.32067127947e+00    
39      5.21407015599e-08    1.49069696193e+01    1.28163422425e+01    7.82110523398e+00    
40      5.54769279233e-08    1.49069706943e+01    1.28163430651e+01    8.32153918850e+00    
41      5.82793306123e-08    1.49069710209e+01    1.28163436769e+01    8.74189959185e+00    
42      6.10817333014e-08    1.49069711991e+01    1.28163442271e+01    9.16225999520e+00    
43      6.38841359904e-08    1.49069714175e+01    1.28163447340e+01    9.58262039856e+00    
44      6.94889413684e-08    1.49069720993e+01    1.28163456801e+01    1.04233412053e+01    
45      7.50937467464e-08    1.49069729642e+01    1.28163465793e+01    1.12640620120e+01    
46      8.06985521245e-08    1.49069739354e+01    1.28163474644e+01    1.21047828187e+01    
47      8.63033575025e-08    1.49069749235e+01    1.28163483518e+01    1.29455036254e+01    
48      9.19081628805e-08    1.49069758417e+01    1.28163492425e+01    1.37862244321e+01    
49      9.75129682586e-08    1.49069766973e+01    1.28163501369e+01    1.46269452388e+01    
50      1.00000000000e-07    1.49069770360e+01    1.28163505342e+01    1.50000000000e+01    
51      1.00235144445e-07    1.49069801997e+01    1.28163506107e+01    1.50000000000e+01    
52      1.00446774446e-07    1.49069856126e+01    1.28163507914e+01    1.50000000000e+01    
53      1.00658404447e-07    1.49069920238e+01    1.28163510368e+01    1.50000000000e+01    
54      1.01081664449e-07    1.49070071690e+01    1.28163518969e+01    1.50000000000e+01    
55      1.01928184452e-07    1.49070304160e+01    1.28163545867e+01    1.50000000000e+01    
56      1.02774704456e-07    1.49070407297e+01    1.28163579049e+01    1.50000000000e+01    
57      1.03621224459e-07    1.49070432822e+01    1.28163614097e+01    1.50000000000e+01    
58      1.05314264466e-07    1.49070399653e+01    1.28163685744e+01    1.50000000000e+01    
59      1.07007304473e-07    1.49070331701e+01    1.28163757755e+01    1.50000000000e+01    
60      1.08700344480e-07    1.49070268183e+01    1.28163829262e+01    1.50000000000e+01    
61      1.10393384487e-07    1.49070215023e+01    1.28163900061e+01    1.50000000000e+01    
62      1.12086424494e-07    1.49070172538e+01    1.28163970100e+01    1.50000000000e+01    
63      1.13779464501e-07    1.49070139488e+01    1.28164039455e+01    1.50000000000e+01    
64      1.15472504508e-07    1.49070114382e+01    1.28164108269e+01    1.50000000000e+01    
65      1.18858584521e-07    1.49070081843e+01    1.28164245128e+01    1.50000000000e+01    
66      1.25630744549e-07    1.49070060129e+01    1.28164520517e+01    1.50000000000e+01    
67      1.32402904577e-07    1.49070069649e+01    1.28164804377e+01    1.50000000000e+01    
68      1.39175064604e-07    1.49070092137e+01    1.28165103667e+01    1.50000000000e+01    
69      1.52719384659e-07    1.49070152757e+01    1.28165772785e+01    1.50000000000e+01    
70      1.66263704715e-07    1.49069927071e+01    1.28166572393e+01    1.50000000000e+01    
71      1.69649784729e-07    1.49068749421e+01    1.28166781354e+01    1.50000000000e+01    
72      1.73035864742e-07    1.49065605236e+01    1.28166959246e+01    1.50000000000e+01    
73      1.74846553557e-07    1.49068462782e+01    1.28167050026e+01    1.50000000000e+01    
74      1.75285946568e-07    1.49072728082e+01    1.28167073389e+01    1.50000000000e+01    
75      1.75725339580e-07    1.49082569550e+01    1.28167099905e+01    1.50000000000e+01    
76      1.76164732592e-07    1.49108768051e+01    1.28167139519e+01    1.50000000000e+01    
77      1.76604125603e-07    1.49161752608e+01    1.28167206022e+01    1.50000000000e+01    
78      1.77043518615e-07    1.49228248276e+01    1.28167300387e+01    1.50000000000e+01    
