Index        TIME          {V(4)+1.5}          V(6)             V(7)
0       1.00000000e-03   1.49954041e+00   -2.44921271e-16  1.08420217e-12   
1       1.00000050e-03   1.49954356e+00   3.14159265e-06   5.00000000e-03   
2       1.00000083e-03   1.49954562e+00   5.19813630e-06   8.27309088e-03   
3       1.00000115e-03   1.49954768e+00   7.25467996e-06   1.15461818e-02   
4       1.00000148e-03   1.49954975e+00   9.31122361e-06   1.48192726e-02   
5       1.00000181e-03   1.49955183e+00   1.13677673e-05   1.80923635e-02   
6       1.00000214e-03   1.49955392e+00   1.34243109e-05   2.13654544e-02   
7       1.00000246e-03   1.49955604e+00   1.54808546e-05   2.46385453e-02   
8       1.00000279e-03   1.49955818e+00   1.75373982e-05   2.79116361e-02   
9       1.00000306e-03   1.49955994e+00   1.92038303e-05   3.05638453e-02   
10      1.00000332e-03   1.49956173e+00   2.08702625e-05   3.32160544e-02   
11      1.00000359e-03   1.49956356e+00   2.25366946e-05   3.58682635e-02   
12      1.00000385e-03   1.49956542e+00   2.42031267e-05   3.85204726e-02   
13      1.00000412e-03   1.49956733e+00   2.58695589e-05   4.11726817e-02   
14      1.00000438e-03   1.49956930e+00   2.75359910e-05   4.38248908e-02   
15      1.00000465e-03   1.49957134e+00   2.92024231e-05   4.64770999e-02   
16      1.00000518e-03   1.49957575e+00   3.25352874e-05   5.17815181e-02   
17      1.00000571e-03   1.49958060e+00   3.58681516e-05   5.70859364e-02   
18      1.00000624e-03   1.49958599e+00   3.92010159e-05   6.23903546e-02   
19      1.00000677e-03   1.49959203e+00   4.25338802e-05   6.76947728e-02   
20      1.00000730e-03   1.49959885e+00   4.58667444e-05   7.29991910e-02   
21      1.00000783e-03   1.49960659e+00   4.91996087e-05   7.83036092e-02   
22      1.00000836e-03   1.49961539e+00   5.25324729e-05   8.36080275e-02   
23      1.00000889e-03   1.49962541e+00   5.58653372e-05   8.89124457e-02   
24      1.00000942e-03   1.49963682e+00   5.91982015e-05   9.42168639e-02   
25      1.00000995e-03   1.49964979e+00   6.25310657e-05   9.95212821e-02   
26      1.00001048e-03   1.49966450e+00   6.58639300e-05   1.04825700e-01   
27      1.00001101e-03   1.49968113e+00   6.91967942e-05   1.10130119e-01   
28      1.00001154e-03   1.49969990e+00   7.25296585e-05   1.15434537e-01   
29      1.00001207e-03   1.49972099e+00   7.58625227e-05   1.20738955e-01   
30      1.00001260e-03   1.49974461e+00   7.91953870e-05   1.26043373e-01   
31      1.00001313e-03   1.49977098e+00   8.25282512e-05   1.31347791e-01   
32      1.00001367e-03   1.49980031e+00   8.58611155e-05   1.36652210e-01   
33      1.00001420e-03   1.49983283e+00   8.91939797e-05   1.41956628e-01   
34      1.00001473e-03   1.49986876e+00   9.25268440e-05   1.47261046e-01   
35      1.00001526e-03   1.49990832e+00   9.58597082e-05   1.52565464e-01   
36      1.00001579e-03   1.49995175e+00   9.91925725e-05   1.57869883e-01   
37      1.00001632e-03   1.49999928e+00   1.02525437e-04   1.63174301e-01   
38      1.00001685e-03   1.50005114e+00   1.05858301e-04   1.68478719e-01   
39      1.00001738e-03   1.50010757e+00   1.09191165e-04   1.73783137e-01   
40      1.00001791e-03   1.50016881e+00   1.12524029e-04   1.79087555e-01   
41      1.00001844e-03   1.50023510e+00   1.15856894e-04   1.84391974e-01   
42      1.00001897e-03   1.50030667e+00   1.19189758e-04   1.89696392e-01   
43      1.00001950e-03   1.50038377e+00   1.22522622e-04   1.95000810e-01   
44      1.00002003e-03   1.50046662e+00   1.25855486e-04   2.00305228e-01   
45      1.00002056e-03   1.50055548e+00   1.29188351e-04   2.05609647e-01   
46      1.00002109e-03   1.50065059e+00   1.32521215e-04   2.10914065e-01   
47      1.00002162e-03   1.50075217e+00   1.35854079e-04   2.16218483e-01   
48      1.00002215e-03   1.50086046e+00   1.39186943e-04   2.21522901e-01   
49      1.00002268e-03   1.50097571e+00   1.42519808e-04   2.26827319e-01   
50      1.00002321e-03   1.50109815e+00   1.45852672e-04   2.32131738e-01   
51      1.00002374e-03   1.50122802e+00   1.49185536e-04   2.37436156e-01   
52      1.00002427e-03   1.50136554e+00   1.52518400e-04   2.42740574e-01   
53      1.00002480e-03   1.50151096e+00   1.55851264e-04   2.48044992e-01   
54      1.00002587e-03   1.50183518e+00   1.62516993e-04   2.58653829e-01   
55      1.00002693e-03   1.50219460e+00   1.69182721e-04   2.69262665e-01   
56      1.00002799e-03   1.50259100e+00   1.75848450e-04   2.79871502e-01   
57      1.00002905e-03   1.50302613e+00   1.82514178e-04   2.90480338e-01   
58      1.00003011e-03   1.50350172e+00   1.89179907e-04   3.01089174e-01   
59      1.00003117e-03   1.50401944e+00   1.95845635e-04   3.11698011e-01   
60      1.00003223e-03   1.50458096e+00   2.02511363e-04   3.22306847e-01   
61      1.00003329e-03   1.50518790e+00   2.09177092e-04   3.32915684e-01   
62      1.00003435e-03   1.50584184e+00   2.15842820e-04   3.43524520e-01   
63      1.00003541e-03   1.50654435e+00   2.22508549e-04   3.54133357e-01   
64      1.00003647e-03   1.50729695e+00   2.29174277e-04   3.64742193e-01   
65      1.00003754e-03   1.50810112e+00   2.35840005e-04   3.75351030e-01   
66      1.00003860e-03   1.50895831e+00   2.42505734e-04   3.85959866e-01   
67      1.00003966e-03   1.50986994e+00   2.49171462e-04   3.96568702e-01   
68      1.00004072e-03   1.51083740e+00   2.55837190e-04   4.07177539e-01   
69      1.00004284e-03   1.51300610e+00   2.69168647e-04   4.28395212e-01   
70      1.00004474e-03   1.51514733e+00   2.81129953e-04   4.47432223e-01   
71      1.00004665e-03   1.51749082e+00   2.93091259e-04   4.66469233e-01   
72      1.00004855e-03   1.52004305e+00   3.05052565e-04   4.85506244e-01   
73      1.00005045e-03   1.52281015e+00   3.17013871e-04   5.04543255e-01   
74      1.00005236e-03   1.52579789e+00   3.28975178e-04   5.23580266e-01   
75      1.00005426e-03   1.52901167e+00   3.40936484e-04   5.42617277e-01   
76      1.00005617e-03   1.53245655e+00   3.52897789e-04   5.61654288e-01   
77      1.00005807e-03   1.53613725e+00   3.64859095e-04   5.80691299e-01   
78      1.00005997e-03   1.54005815e+00   3.76820401e-04   5.99728309e-01   
79      1.00006188e-03   1.54422329e+00   3.88781707e-04   6.18765320e-01   
80      1.00006378e-03   1.54863640e+00   4.00743013e-04   6.37802331e-01   
81      1.00006568e-03   1.55330086e+00   4.12704319e-04   6.56839342e-01   
82      1.00006759e-03   1.55821977e+00   4.24665624e-04   6.75876353e-01   
83      1.00007140e-03   1.56909527e+00   4.48588235e-04   7.13950374e-01   
84      1.00007520e-03   1.58102382e+00   4.72510846e-04   7.52024396e-01   
85      1.00007901e-03   1.59401650e+00   4.96433457e-04   7.90098418e-01   
