Index       TIME            {V(4)+1}         {V(11)-0.5}   
0        0.00000000e+00    1.00000000e+00   -5.00794646e-01
1        5.00000000e-12    1.02000000e+00   -5.00794646e-01
2        1.50000000e-11    1.06000000e+00   -5.00794646e-01
3        3.50000000e-11    1.14000000e+00   -5.00794645e-01
4        7.50000000e-11    1.30000000e+00   -5.00794645e-01
5        1.55000000e-10    1.62000000e+00   -5.00794645e-01
6        3.15000000e-10    2.26000000e+00   -5.00794645e-01
7        6.35000000e-10    3.54000000e+00   -5.00794645e-01
8        1.00000000e-09    5.00000000e+00   -5.00794645e-01
9        1.06400000e-09    5.00000000e+00   -5.00794645e-01
10       1.19200000e-09    5.00000000e+00   -5.00794645e-01
11       1.44800000e-09    5.00000000e+00   -5.00794645e-01
12       1.96000000e-09    5.00000000e+00   -5.00794645e-01
13       2.98400000e-09    5.00000000e+00   -5.00794644e-01
14       5.03200000e-09    5.00000000e+00   -5.00794641e-01
15       9.12800000e-09    5.00000000e+00   -5.00794631e-01
16       1.73200000e-08    5.00000000e+00   -5.00794599e-01
17       3.37040000e-08    5.00000000e+00   -5.00794551e-01
18       6.64720000e-08    5.00000000e+00   -5.00795962e-01
19       1.32008000e-07    5.00000000e+00   -5.00841449e-01
20       2.63080000e-07    5.00000000e+00   -5.01680000e-01
21       5.25224000e-07    5.00000000e+00   -5.08713887e-01
22       7.87368000e-07    5.00000000e+00   -5.20696325e-01
23       1.31165600e-06    5.00000000e+00   -5.39162775e-01
24       1.83594400e-06    5.00000000e+00   -5.47720154e-01
25       2.88452000e-06    5.00000000e+00   -5.60486073e-01
26       4.98167200e-06    5.00000000e+00   -5.88082086e-01
27       6.91436040e-06    5.00000000e+00   -6.18348056e-01
28       7.24489794e-06    5.00000000e+00   -6.23565380e-01
29       7.90597302e-06    5.00000000e+00   -6.33337454e-01
30       8.56704811e-06    5.00000000e+00   -6.41510255e-01
31       9.22812319e-06    5.00000000e+00   -6.48945738e-01
32       9.88919827e-06    5.00000000e+00   -6.56803732e-01
33       1.05502734e-05    5.00000000e+00   -6.64838124e-01
34       1.18724235e-05    5.00000000e+00   -6.81486008e-01
35       1.31945737e-05    5.00000000e+00   -6.99027221e-01
36       1.45167239e-05    5.00000000e+00   -7.17382448e-01
