Index        TIME             V(3)       {I(VMON)*100.0+1.0}
0       0.00000000e+00   0.00000000e+00   1.00000000e+00   
1       1.00000000e-09   0.00000000e+00   1.00000000e+00   
2       3.00000000e-09   0.00000000e+00   1.00000000e+00   
3       7.00000000e-09   0.00000000e+00   1.00000000e+00   
4       1.50000000e-08   0.00000000e+00   1.00000000e+00   
5       3.10000000e-08   0.00000000e+00   1.00000000e+00   
6       6.30000000e-08   0.00000000e+00   1.00000000e+00   
7       1.27000000e-07   0.00000000e+00   1.00000000e+00   
8       2.55000000e-07   0.00000000e+00   1.00000000e+00   
9       5.11000000e-07   0.00000000e+00   1.00000000e+00   
10      1.02300000e-06   0.00000000e+00   1.00000000e+00   
11      2.02300000e-06   0.00000000e+00   1.00000000e+00   
12      3.02300000e-06   0.00000000e+00   1.00000000e+00   
13      4.02300000e-06   0.00000000e+00   1.00000000e+00   
14      5.02300000e-06   0.00000000e+00   1.00000000e+00   
15      6.02300000e-06   0.00000000e+00   1.00000000e+00   
16      7.02300000e-06   0.00000000e+00   1.00000000e+00   
17      8.02300000e-06   0.00000000e+00   1.00000000e+00   
18      9.02300000e-06   0.00000000e+00   1.00000000e+00   
19      1.00000000e-05   0.00000000e+00   1.00000000e+00   
20      1.00000050e-05   1.24968758e-06   1.00049988e+00   
21      1.00000099e-05   3.67582079e-06   1.00098984e+00   
22      1.00000148e-05   7.30258102e-06   1.00147968e+00   
23      1.00000197e-05   1.21296740e-05   1.00196941e+00   
24      1.00000246e-05   1.81568057e-05   1.00245901e+00   
25      1.00000295e-05   2.53836821e-05   1.00294850e+00   
26      1.00000344e-05   3.38100090e-05   1.00343786e+00   
27      1.00000393e-05   4.34354926e-05   1.00392711e+00   
28      1.00000442e-05   5.42598391e-05   1.00441623e+00   
29      1.00000491e-05   6.62827547e-05   1.00490524e+00   
30      1.00000540e-05   7.95039456e-05   1.00539412e+00   
31      1.00000589e-05   9.39231183e-05   1.00588289e+00   
32      1.00000638e-05   1.09539979e-04   1.00637153e+00   
33      1.00000687e-05   1.26354235e-04   1.00686006e+00   
34      1.00000736e-05   1.44365592e-04   1.00734847e+00   
35      1.00000785e-05   1.63573757e-04   1.00783675e+00   
36      1.00000834e-05   1.83978436e-04   1.00832492e+00   
37      1.00000883e-05   2.05579337e-04   1.00881297e+00   
38      1.00000932e-05   2.28376166e-04   1.00930089e+00   
39      1.00001030e-05   2.78751195e-04   1.01027627e+00   
40      1.00001128e-05   3.33905250e-04   1.01125117e+00   
41      1.00001226e-05   3.93835990e-04   1.01222559e+00   
42      1.00001325e-05   4.58541076e-04   1.01319954e+00   
43      1.00001423e-05   5.28018166e-04   1.01417300e+00   
44      1.00001521e-05   6.02264925e-04   1.01514599e+00   
45      1.00001619e-05   6.81279014e-04   1.01611851e+00   
46      1.00001717e-05   7.65058097e-04   1.01709054e+00   
47      1.00001815e-05   8.53599841e-04   1.01806210e+00   
48      1.00001913e-05   9.46901910e-04   1.01903319e+00   
49      1.00002011e-05   1.04496197e-03   1.02000380e+00   
50      1.00002109e-05   1.14777770e-03   1.02097393e+00   
51      1.00002207e-05   1.25534676e-03   1.02194359e+00   
52      1.00002403e-05   1.48947959e-03   1.02388100e+00   
53      1.00002599e-05   1.74258852e-03   1.02581652e+00   
54      1.00002795e-05   2.01465496e-03   1.02775014e+00   
55      1.00002991e-05   2.30566036e-03   1.02968187e+00   
56      1.00003187e-05   2.61558615e-03   1.03161171e+00   
57      1.00003383e-05   2.94441382e-03   1.03353965e+00   
58      1.00003579e-05   3.29212483e-03   1.03546571e+00   
59      1.00003776e-05   3.65870071e-03   1.03738988e+00   
60      1.00003972e-05   4.04412297e-03   1.03931217e+00   
61      1.00004168e-05   4.44837315e-03   1.04123258e+00   
62      1.00004364e-05   4.87143281e-03   1.04315110e+00   
63      1.00004560e-05   5.31328353e-03   1.04506774e+00   
64      1.00004952e-05   6.27200210e-03   1.04889353e+00   
65      1.00005344e-05   7.30559101e-03   1.05271183e+00   
66      1.00005736e-05   8.41390372e-03   1.05652266e+00   
67      1.00006129e-05   9.59679401e-03   1.06032602e+00   
68      1.00006521e-05   1.08541159e-02   1.06412195e+00   
69      1.00006913e-05   1.21857238e-02   1.06791045e+00   
70      1.00007305e-05   1.35914723e-02   1.07169153e+00   
71      1.00007697e-05   1.50712162e-02   1.07546522e+00   
72      1.00008089e-05   1.66248109e-02   1.07923151e+00   
73      1.00008482e-05   1.82521117e-02   1.08299044e+00   
74      1.00008874e-05   1.99529744e-02   1.08674201e+00   
75      1.00009266e-05   2.17272551e-02   1.09048625e+00   
76      1.00010000e-05   2.53048878e-02   1.09746951e+00   
77      1.00010392e-05   2.72123581e-02   1.09727876e+00   
78      1.00010784e-05   2.91160956e-02   1.09708839e+00   
79      1.00011569e-05   3.29086973e-02   1.09670913e+00   
80      1.00013137e-05   4.04348704e-02   1.09595651e+00   
81      1.00016275e-05   5.52547429e-02   1.09447453e+00   
82      1.00019412e-05   6.98457318e-02   1.09301543e+00   
83      1.00022549e-05   8.42113722e-02   1.09157886e+00   
84      1.00028824e-05   1.12068678e-01   1.08879313e+00   
85      1.00035099e-05   1.39078595e-01   1.08609214e+00   
86      1.00041373e-05   1.65266899e-01   1.08347331e+00   
87      1.00047648e-05   1.90658583e-01   1.08093414e+00   
88      1.00053923e-05   2.15277880e-01   1.07847221e+00   
89      1.00060197e-05   2.39148283e-01   1.07608517e+00   
90      1.00072747e-05   2.84070385e-01   1.07159296e+00   
91      1.00085296e-05   3.26340202e-01   1.06736598e+00   
92      1.00097845e-05   3.66114330e-01   1.06338857e+00   
93      1.00110394e-05   4.03540120e-01   1.05964599e+00   
94      1.00122944e-05   4.38756221e-01   1.05612438e+00   
95      1.00135493e-05   4.71893099e-01   1.05281069e+00   
96      1.00148042e-05   5.03073513e-01   1.04969265e+00   
97      1.00160592e-05   5.32412978e-01   1.04675870e+00   
98      1.00173141e-05   5.60020186e-01   1.04399798e+00   
99      1.00185690e-05   5.85997413e-01   1.04140026e+00   
100     1.00198240e-05   6.10440896e-01   1.03895591e+00   
101     1.00210789e-05   6.33441191e-01   1.03665588e+00   
102     1.00235888e-05   6.74312690e-01   1.03256873e+00   
103     1.00260986e-05   7.10626996e-01   1.02893730e+00   
104     1.00286085e-05   7.42892237e-01   1.02571078e+00   
105     1.00311183e-05   7.71559887e-01   1.02284401e+00   
106     1.00336282e-05   7.97031080e-01   1.02029689e+00   
107     1.00361381e-05   8.19662221e-01   1.01803378e+00   
108     1.00386479e-05   8.39769978e-01   1.01602300e+00   
109     1.00411578e-05   8.57635709e-01   1.01423643e+00   
110     1.00436676e-05   8.73509402e-01   1.01264906e+00   
111     1.00461775e-05   8.87613170e-01   1.01123868e+00   
112     1.00486874e-05   9.00144360e-01   1.00998556e+00   
113     1.00511972e-05   9.11278317e-01   1.00887217e+00   
114     1.00537071e-05   9.21170831e-01   1.00788292e+00   
115     1.00562169e-05   9.29960324e-01   1.00700397e+00   
116     1.00587268e-05   9.37769785e-01   1.00622302e+00   
117     1.00612367e-05   9.44708486e-01   1.00552915e+00   
118     1.00637465e-05   9.50873519e-01   1.00491265e+00   
119     1.00662564e-05   9.56351148e-01   1.00436489e+00   
120     1.00687663e-05   9.61218017e-01   1.00387820e+00   
121     1.00712761e-05   9.65542229e-01   1.00344578e+00   
122     1.00737860e-05   9.69384288e-01   1.00306157e+00   
123     1.00788057e-05   9.75526738e-01   1.00244733e+00   
124     1.00838254e-05   9.80436824e-01   1.00195632e+00   
125     1.00888451e-05   9.84361796e-01   1.00156382e+00   
126     1.00938649e-05   9.87499299e-01   1.00125007e+00   
127     1.00988846e-05   9.90007322e-01   1.00099927e+00   
128     1.01039043e-05   9.92012160e-01   1.00079878e+00   
129     1.01089240e-05   9.93614765e-01   1.00063852e+00   
130     1.01189635e-05   9.95748766e-01   1.00042512e+00   
131     1.01290029e-05   9.97169566e-01   1.00028304e+00   
132     1.01390424e-05   9.98115522e-01   1.00018845e+00   
133     1.01490818e-05   9.98745331e-01   1.00012547e+00   
134     1.01691607e-05   9.99373900e-01   1.00006261e+00   
135     1.01892396e-05   9.99687566e-01   1.00003124e+00   
136     1.02293974e-05   9.99896129e-01   1.00001039e+00   
137     1.02695552e-05   9.99965467e-01   1.00000345e+00   
138     1.03498707e-05   9.99993115e-01   1.00000069e+00   
139     1.05105019e-05   9.99999238e-01   1.00000008e+00   
140     1.08317641e-05   9.99999955e-01   1.00000000e+00   
141     1.14742886e-05   9.99999999e-01   1.00000000e+00   
142     1.27593376e-05   1.00000000e+00   1.00000000e+00   
143     1.47593376e-05   1.00000000e+00   1.00000000e+00   
144     1.67593376e-05   1.00000000e+00   1.00000000e+00   
145     1.87593376e-05   1.00000000e+00   1.00000000e+00   
146     2.00000000e-05   1.00000000e+00   1.00000000e+00   
End of Xyce(TM) Simulation
