Index       TIME              V(N1)           V(N1,N2)          V(N1,N3)      I(YMEMRISTOR!MR1)     I(RPTG2)      N(YMEMRISTOR!MR1_X)       V(N4)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.10000000e-01
1        0.00000000e+00    9.54112622e-02    9.54112622e-02    9.11499856e-02    0.00000000e+00    8.52255316e-05    0.00000000e+00    1.10000000e-01
2        1.00000000e-10    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
3        1.03125000e-10    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
4        1.06250000e-10    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
5        1.08750269e-10    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
6        1.13750808e-10    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
7        1.23751885e-10    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
8        1.43754039e-10    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
9        1.83758348e-10    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
10       2.63766965e-10    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
11       4.23784200e-10    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
12       7.43818669e-10    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
13       1.38388761e-09    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
14       2.66402548e-09    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
15       5.22430124e-09    9.54112622e-02    9.11499856e-02    9.11499856e-02    8.52255316e-05    8.52255316e-05    1.10000000e-01    1.10000000e-01
