Index        TIME             V(1S)            V(1)             V(2S)            V(2)             V(3S)            V(3)             V(4S)            V(4)
0       0.00000000e+00   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   -5.00000000e-01  4.00000000e-03   
1       2.50000000e-12   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   -4.96838617e-01  4.00000000e-03   
2       7.50000000e-12   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   -4.90515881e-01  4.00000000e-03   
3       1.75000000e-11   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   -4.77870759e-01  4.00000000e-03   
4       3.75000000e-11   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   -4.52583673e-01  4.00000000e-03   
5       7.75000000e-11   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   -4.02036290e-01  4.00000000e-03   
6       1.27500000e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   -3.38943960e-01  4.00000000e-03   
7       1.77500000e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   -2.76012582e-01  4.00000000e-03   
8       2.27500000e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   -2.13305046e-01  4.00000000e-03   
9       2.77500000e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   -1.50884021e-01  4.00000000e-03   
10      3.27500000e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   -8.88118865e-02  4.00000000e-03   
11      3.77500000e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   -2.71506747e-02  4.00000000e-03   
12      4.01906914e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   2.78069173e-03   4.00000000e-03   
13      4.10580871e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   1.33895117e-02   4.00000000e-03   
14      4.19254828e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   2.39828900e-02   4.00000000e-03   
15      4.27928785e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   3.45605079e-02   4.00000000e-03   
16      4.45276700e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   5.56671904e-02   4.00000000e-03   
17      4.62624614e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   7.67070200e-02   4.00000000e-03   
18      4.79972528e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   9.76774652e-02   4.00000000e-03   
19      5.00000000e-10   1.10000000e+00   1.00000000e-03   -5.00000000e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   1.21797417e-01   4.00000000e-03   
20      5.07500000e-10   1.10225000e+00   1.00000000e-03   -4.96795577e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   1.30804539e-01   4.00000000e-03   
21      5.22500000e-10   1.10675000e+00   1.00000000e-03   -4.90386763e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   1.48776026e-01   4.00000000e-03   
22      5.52500000e-10   1.11575000e+00   1.00000000e-03   -4.77569499e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   1.84542318e-01   4.00000000e-03   
23      5.82500000e-10   1.12475000e+00   1.00000000e-03   -4.64753155e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   2.20062321e-01   4.00000000e-03   
24      6.12500000e-10   1.13375000e+00   1.00000000e-03   -4.51938259e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   2.55323255e-01   4.00000000e-03   
25      6.42500000e-10   1.14275000e+00   1.00000000e-03   -4.39125338e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   2.90312433e-01   4.00000000e-03   
26      6.72500000e-10   1.15175000e+00   1.00000000e-03   -4.26314916e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   3.25017268e-01   4.00000000e-03   
27      7.32500000e-10   1.16975000e+00   1.00000000e-03   -4.00703679e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   3.93524068e-01   4.00000000e-03   
28      7.92500000e-10   1.18775000e+00   1.00000000e-03   -3.75108755e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   4.60745071e-01   4.00000000e-03   
29      8.52500000e-10   1.20575000e+00   1.00000000e-03   -3.49534350e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   5.26583546e-01   4.00000000e-03   
30      9.12500000e-10   1.22375000e+00   1.00000000e-03   -3.23984664e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   5.90944750e-01   4.00000000e-03   
31      9.72500000e-10   1.24175000e+00   1.00000000e-03   -2.98463897e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   6.53736067e-01   4.00000000e-03   
32      1.03250000e-09   1.25975000e+00   1.00000000e-03   -2.72976240e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   7.14867138e-01   4.00000000e-03   
33      1.09250000e-09   1.27775000e+00   1.00000000e-03   -2.47525881e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   7.74249997e-01   4.00000000e-03   
34      1.15250000e-09   1.29575000e+00   1.00000000e-03   -2.22117002e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   8.31799190e-01   4.00000000e-03   
35      1.21250000e-09   1.31375000e+00   1.00000000e-03   -1.96753776e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   8.87431903e-01   4.00000000e-03   
36      1.27250000e-09   1.33175000e+00   1.00000000e-03   -1.71440371e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   9.41068081e-01   4.00000000e-03   
37      1.33250000e-09   1.34975000e+00   1.00000000e-03   -1.46180945e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   9.92630541e-01   4.00000000e-03   
38      1.39250000e-09   1.36775000e+00   1.00000000e-03   -1.20979649e-01  2.00000000e-03   1.10000000e+00   3.00000000e-03   1.04204508e+00   4.00000000e-03   
39      1.45250000e-09   1.38575000e+00   1.00000000e-03   -9.58406219e-02  2.00000000e-03   1.10000000e+00   3.00000000e-03   1.08924060e+00   4.00000000e-03   
40      1.51250000e-09   1.40375000e+00   1.00000000e-03   -7.07679950e-02  2.00000000e-03   1.10000000e+00   3.00000000e-03   1.13414918e+00   4.00000000e-03   
41      1.57250000e-09   1.42175000e+00   1.00000000e-03   -4.57658871e-02  2.00000000e-03   1.10000000e+00   3.00000000e-03   1.17670620e+00   4.00000000e-03   
42      1.63250000e-09   1.43975000e+00   1.00000000e-03   -2.08384058e-02  2.00000000e-03   1.10000000e+00   3.00000000e-03   1.21685041e+00   4.00000000e-03   
43      1.69250000e-09   1.45775000e+00   1.00000000e-03   4.01035351e-03   2.00000000e-03   1.10000000e+00   3.00000000e-03   1.25452406e+00   4.00000000e-03   
44      1.72190915e-09   1.46657275e+00   1.00000000e-03   1.61600480e-02   2.00000000e-03   1.10000000e+00   3.00000000e-03   1.27207106e+00   4.00000000e-03   
45      1.75131830e-09   1.47539549e+00   1.00000000e-03   2.82893690e-02   2.00000000e-03   1.10000000e+00   3.00000000e-03   1.28900537e+00   4.00000000e-03   
