Index        TIME               V(OUT)               V(IN)               V(1)        
0        0.0000000000e+00    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
1        7.5000000000e-09    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
2        2.2500000000e-08    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
3        5.2500000000e-08    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
4        1.1250000000e-07    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
5        2.3250000000e-07    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
6        3.8250000000e-07    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
7        5.3250000000e-07    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
8        6.8250000000e-07    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
9        8.3250000000e-07    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
10       9.8250000000e-07    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
11       1.1325000000e-06    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
12       1.2825000000e-06    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
13       1.4325000000e-06    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
14       1.5000000000e-06    4.8060478621e+00    5.0000000000e+00    5.0000000000e+00
15       1.5000312500e-06    4.8060031878e+00    4.9991061557e+00    4.9687500000e+00
16       1.5000937500e-06    4.8057796610e+00    4.9940032357e+00    4.9062500000e+00
17       1.5001562500e-06    4.8055086621e+00    4.9872930965e+00    4.8437500000e+00
18       1.5002812500e-06    4.8048584412e+00    4.9647796883e+00    4.7187500000e+00
19       1.5004062500e-06    4.8042864507e+00    4.9311674249e+00    4.5937500000e+00
20       1.5006562500e-06    4.8036791222e+00    4.8358877421e+00    4.3437500000e+00
21       1.5009062500e-06    4.8036254840e+00    4.7090137591e+00    4.0937500000e+00
22       1.5011562500e-06    4.8038382617e+00    4.5570433765e+00    3.8437500000e+00
23       1.5014062500e-06    4.8041235399e+00    4.3851040905e+00    3.5937500000e+00
24       1.5016562500e-06    4.8043914669e+00    4.1972594095e+00    3.3437500000e+00
25       1.5021562500e-06    4.8032707689e+00    3.7221765187e+00    2.8437500000e+00
26       1.5025859565e-06    4.8038640908e+00    3.2513169330e+00    2.4140435010e+00
27       1.5030156630e-06    4.8114048133e+00    2.8260930515e+00    1.9843370019e+00
28       1.5033818664e-06    4.8213474992e+00    2.4670680515e+00    1.6181336452e+00
29       1.5037480697e-06    4.8373558804e+00    2.1144533202e+00    1.2519302886e+00
30       1.5037994544e-06    4.8403868370e+00    2.0650831748e+00    1.2005455738e+00
31       1.5038508391e-06    4.8436524943e+00    2.0157747824e+00    1.1491608590e+00
32       1.5039536086e-06    4.8522331226e+00    1.9149538116e+00    1.0463914294e+00
33       1.5040563780e-06    4.8659760905e+00    1.8036723719e+00    9.4362199984e-01
34       1.5041591474e-06    4.8843339980e+00    1.6839317715e+00    8.4085257027e-01
35       1.5042619169e-06    4.9031045848e+00    1.5658061522e+00    7.3808314069e-01
36       1.5043646863e-06    4.9238057237e+00    1.4469956841e+00    6.3531371112e-01
37       1.5044674557e-06    4.9457618540e+00    1.3271588039e+00    5.3254428155e-01
38       1.5045702251e-06    4.9650247445e+00    1.2122617406e+00    4.2977485198e-01
39       1.5046729946e-06    4.9809335339e+00    1.1065669721e+00    3.2700542240e-01
40       1.5047757640e-06    4.9907801286e+00    1.0074765412e+00    2.2423599283e-01
41       1.5048785334e-06    4.9903333575e+00    9.1114884733e-01    1.2146656326e-01
42       1.5049813029e-06    4.9758517927e+00    8.1436582318e-01    1.8697133685e-02
43       1.5050000000e-06    4.9714962204e+00    7.9672124774e-01    4.7961634664e-14
44       1.5050102769e-06    4.9687628078e+00    7.8712064588e-01    0.0000000000e+00
45       1.5050175850e-06    4.9667267302e+00    7.8036081729e-01    0.0000000000e+00
46       1.5050322013e-06    4.9624585815e+00    7.6696065032e-01    0.0000000000e+00
47       1.5050614337e-06    4.9527157950e+00    7.4084866342e-01    0.0000000000e+00
48       1.5051198985e-06    4.9280518585e+00    6.9125397871e-01    0.0000000000e+00
49       1.5052368282e-06    4.8548377090e+00    6.0173307476e-01    0.0000000000e+00
50       1.5053537579e-06    4.7431039649e+00    5.2442970811e-01    0.0000000000e+00
51       1.5054706875e-06    4.5753995934e+00    4.7177141379e-01    0.0000000000e+00
52       1.5055737833e-06    4.3617093750e+00    4.4443117308e-01    0.0000000000e+00
53       1.5055862721e-06    4.3301783085e+00    4.4182625566e-01    0.0000000000e+00
54       1.5056112497e-06    4.2627552213e+00    4.3688524532e-01    0.0000000000e+00
55       1.5056362274e-06    4.1854376127e+00    4.3242611779e-01    0.0000000000e+00
56       1.5056612050e-06    4.0910067043e+00    4.2858533404e-01    0.0000000000e+00
57       1.5056861826e-06    3.9493803225e+00    4.2616766076e-01    0.0000000000e+00
58       1.5057084369e-06    3.7503147074e+00    4.2620326029e-01    0.0000000000e+00
59       1.5057275075e-06    3.5525602346e+00    4.2720266625e-01    0.0000000000e+00
60       1.5057465780e-06    3.3525934987e+00    4.2846042233e-01    0.0000000000e+00
61       1.5057656486e-06    3.1410226377e+00    4.2988210001e-01    0.0000000000e+00
62       1.5057847192e-06    2.9225028906e+00    4.3137169619e-01    0.0000000000e+00
63       1.5058037897e-06    2.6961132743e+00    4.3293591999e-01    0.0000000000e+00
64       1.5058228603e-06    2.4634528620e+00    4.3450495552e-01    0.0000000000e+00
65       1.5058610015e-06    1.9883835287e+00    4.3749443596e-01    0.0000000000e+00
66       1.5058670845e-06    1.9151929669e+00    4.3785837534e-01    0.0000000000e+00
67       1.5058792506e-06    1.7833230427e+00    4.3827243081e-01    0.0000000000e+00
68       1.5058914167e-06    1.6651417745e+00    4.3816003104e-01    0.0000000000e+00
69       1.5059035828e-06    1.5551164578e+00    4.3761195117e-01    0.0000000000e+00
70       1.5059279149e-06    1.3578955294e+00    4.3561449594e-01    0.0000000000e+00
71       1.5059522471e-06    1.1829539901e+00    4.3293013466e-01    0.0000000000e+00
72       1.5059765793e-06    1.0286686867e+00    4.3000062730e-01    0.0000000000e+00
73       1.5060009114e-06    8.9156003112e-01    4.2709645874e-01    0.0000000000e+00
74       1.5060252436e-06    7.7149788799e-01    4.2435121536e-01    0.0000000000e+00
75       1.5060495758e-06    6.6592824952e-01    4.2184917193e-01    0.0000000000e+00
76       1.5060739079e-06    5.7456938615e-01    4.1961459768e-01    0.0000000000e+00
77       1.5060982401e-06    4.9514998548e-01    4.1765601604e-01    0.0000000000e+00
78       1.5061225723e-06    4.2716644894e-01    4.1595154149e-01    0.0000000000e+00
79       1.5061469044e-06    3.6861733604e-01    4.1447627654e-01    0.0000000000e+00
80       1.5061712366e-06    3.1892925911e-01    4.1319088564e-01    0.0000000000e+00
81       1.5062199009e-06    2.4011480381e-01    4.1102224080e-01    0.0000000000e+00
82       1.5062685653e-06    1.8392485216e-01    4.0916372403e-01    0.0000000000e+00
83       1.5063172296e-06    1.4379885100e-01    4.0735594437e-01    0.0000000000e+00
