Index      TIME           V(1)           V(2)
0       0.00000000e+00   0.00000000e+00   -2.48154184e-23  
1       5.00000000e-09   0.00000000e+00   -2.48154184e-23  
2       1.50000000e-08   0.00000000e+00   -2.48154184e-23  
3       3.50000000e-08   0.00000000e+00   -2.48154184e-23  
4       7.50000000e-08   0.00000000e+00   -2.48154184e-23  
5       1.55000000e-07   0.00000000e+00   -2.48154184e-23  
6       2.55000000e-07   0.00000000e+00   -2.48154184e-23  
7       3.55000000e-07   0.00000000e+00   -2.48154184e-23  
8       4.55000000e-07   0.00000000e+00   -2.48154184e-23  
9       5.55000000e-07   0.00000000e+00   -2.48154184e-23  
10      6.55000000e-07   0.00000000e+00   -2.48154184e-23  
11      7.55000000e-07   0.00000000e+00   -2.48154184e-23  
12      8.55000000e-07   0.00000000e+00   -2.48154184e-23  
13      9.55000000e-07   0.00000000e+00   -2.48154184e-23  
14      1.00000000e-06   0.00000000e+00   -2.48154184e-23  
15      1.00005000e-06   2.50000000e-02   2.49992399e-02   
16      1.00015000e-06   7.50000000e-02   7.49960492e-02   
17      1.00035000e-06   1.75000000e-01   1.74982987e-01   
18      1.00075000e-06   3.75000000e-01   3.74930141e-01   
19      1.00155000e-06   7.75000000e-01   7.74717607e-01   
20      1.00315000e-06   1.57500000e+00   1.57386561e+00   
21      1.00635000e-06   3.17500000e+00   3.17045904e+00   
22      1.01000000e-06   5.00000000e+00   4.98937675e+00   
23      1.01320000e-06   5.00000000e+00   4.98408343e+00   
24      1.01960000e-06   5.00000000e+00   4.97359072e+00   
25      1.03240000e-06   5.00000000e+00   4.95290786e+00   
26      1.05800000e-06   5.00000000e+00   4.91274226e+00   
27      1.10920000e-06   5.00000000e+00   4.83714105e+00   
28      1.21160000e-06   5.00000000e+00   4.70459862e+00   
29      1.31400000e-06   5.00000000e+00   4.59228413e+00   
30      1.41640000e-06   5.00000000e+00   4.49422645e+00   
31      1.61640000e-06   5.00000000e+00   4.37028179e+00   
32      1.79283740e-06   5.00000000e+00   4.33979430e+00   
33      1.96927480e-06   5.00000000e+00   4.32924139e+00   
34      2.01000000e-06   5.00000000e+00   4.32761865e+00   
35      2.01005000e-06   4.97500000e+00   4.30261711e+00   
36      2.01015000e-06   4.92500000e+00   4.25261422e+00   
37      2.01035000e-06   4.82500000e+00   4.15260924e+00   
38      2.01075000e-06   4.62500000e+00   3.95260244e+00   
39      2.01155000e-06   4.22500000e+00   3.55260143e+00   
40      2.01315000e-06   3.42500000e+00   2.75264941e+00   
41      2.01635000e-06   1.82500000e+00   1.15294328e+00   
42      2.02000000e-06   4.79616347e-14   -6.71461921e-01  
43      2.02320000e-06   0.00000000e+00   -6.70964962e-01  
44      2.02960000e-06   0.00000000e+00   -6.69972891e-01  
45      2.04240000e-06   0.00000000e+00   -6.68021821e-01  
46      2.06800000e-06   0.00000000e+00   -6.64242051e-01  
47      2.11920000e-06   0.00000000e+00   -6.57105143e-01  
48      2.22160000e-06   0.00000000e+00   -6.44122187e-01  
49      2.42160000e-06   0.00000000e+00   -6.21644072e-01  
50      2.62160000e-06   0.00000000e+00   -5.99356603e-01  
51      2.82160000e-06   0.00000000e+00   -5.77396377e-01  
52      3.00000000e-06   2.11758237e-13   -5.58036977e-01  
53      3.00005000e-06   2.50000000e-02   -5.33031920e-01  
54      3.00015000e-06   7.50000000e-02   -4.83022713e-01  
55      3.00035000e-06   1.75000000e-01   -3.83007923e-01  
56      3.00075000e-06   3.75000000e-01   -1.82992846e-01  
57      3.00155000e-06   7.75000000e-01   2.16979317e-01   
58      3.00315000e-06   1.57500000e+00   1.01669197e+00   
59      3.00635000e-06   3.17500000e+00   2.61519552e+00   
60      3.01000000e-06   5.00000000e+00   4.43731179e+00   
61      3.01320000e-06   5.00000000e+00   4.43482505e+00   
62      3.01960000e-06   5.00000000e+00   4.42996516e+00   
63      3.03240000e-06   5.00000000e+00   4.42064143e+00   
64      3.05800000e-06   5.00000000e+00   4.40380419e+00   
65      3.10920000e-06   5.00000000e+00   4.37773064e+00   
66      3.21160000e-06   5.00000000e+00   4.35062220e+00   
67      3.31400000e-06   5.00000000e+00   4.33544540e+00   
68      3.51400000e-06   5.00000000e+00   4.32674670e+00   
