Index      TIME           V(1)           V(2)
0       0.00000000e+00   1.00000000e+00   5.00000000e-01   
1       1.00000000e-10   1.00000000e+00   5.00000000e-01   
2       3.00000000e-10   1.00000000e+00   5.00000000e-01   
3       7.00000000e-10   1.00000000e+00   5.00000000e-01   
4       1.50000000e-09   1.00000000e+00   5.00000000e-01   
5       3.10000000e-09   1.00000000e+00   5.00000000e-01   
6       6.30000000e-09   1.00000000e+00   5.00000000e-01   
7       1.27000000e-08   1.00000000e+00   5.00000000e-01   
8       2.55000000e-08   1.00000000e+00   5.00000000e-01   
9       5.11000000e-08   1.00000000e+00   5.00000000e-01   
10      1.02300000e-07   1.00000000e+00   5.00000000e-01   
11      2.04700000e-07   1.00000000e+00   5.00000000e-01   
12      4.09500000e-07   1.00000000e+00   5.00000000e-01   
13      8.19100000e-07   1.00000000e+00   5.00000000e-01   
14      1.63830000e-06   1.00000000e+00   5.00000000e-01   
15      3.27670000e-06   1.00000000e+00   5.00000000e-01   
16      6.55350000e-06   1.00000000e+00   5.00000000e-01   
17      1.31071000e-05   1.00000000e+00   5.00000000e-01   
18      2.62143000e-05   1.00000000e+00   5.00000000e-01   
19      5.24287000e-05   1.00000000e+00   5.00000000e-01   
20      1.04857500e-04   1.00000000e+00   5.00000000e-01   
21      2.09715100e-04   1.00000000e+00   5.00000000e-01   
22      4.19430300e-04   1.00000000e+00   5.00000000e-01   
23      8.38860700e-04   1.00000000e+00   5.00000000e-01   
24      1.67772150e-03   1.00000000e+00   5.00000000e-01   
25      3.35544310e-03   1.00000000e+00   5.00000000e-01   
26      6.71088630e-03   1.00000000e+00   5.00000000e-01   
27      1.34217727e-02   1.00000000e+00   5.00000000e-01   
28      2.68435455e-02   1.00000000e+00   5.00000000e-01   
29      5.36870911e-02   1.00000000e+00   5.00000000e-01   
30      1.07374182e-01   1.00000000e+00   5.00000000e-01   
31      2.14748365e-01   1.00000000e+00   5.00000000e-01   
32      4.29496730e-01   1.00000000e+00   5.00000000e-01   
33      8.58993459e-01   1.00000000e+00   5.00000000e-01   
34      1.71798692e+00   1.00000000e+00   5.00000000e-01   
35      2.71798692e+00   1.00000000e+00   5.00000000e-01   
36      3.71798692e+00   1.00000000e+00   5.00000000e-01   
37      4.71798692e+00   1.00000000e+00   5.00000000e-01   
38      5.71798692e+00   1.00000000e+00   5.00000000e-01   
39      6.71798692e+00   1.00000000e+00   5.00000000e-01   
40      7.71798692e+00   1.00000000e+00   5.00000000e-01   
41      8.71798692e+00   1.00000000e+00   5.00000000e-01   
42      9.71798692e+00   1.00000000e+00   5.00000000e-01   
43      1.00000000e+01   1.00000000e+00   5.00000000e-01   
End of Xyce(TM) Simulation
