Index         TIME            I(VMON)           V(3)
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   
1       1.00000000e-04   9.99500125e-04   1.99653088e-01   
2       1.08504272e-04   1.08445422e-03   1.99544775e-01   
3       1.17008543e-04   1.16940108e-03   1.99527801e-01   
4       1.25512815e-04   1.25434072e-03   1.99510828e-01   
5       1.42521358e-04   1.42419833e-03   1.99485372e-01   
6       1.76538445e-04   1.76382685e-03   1.99434466e-01   
7       2.44572618e-04   2.44273722e-03   1.99332684e-01   
8       3.80640965e-04   3.79917216e-03   1.99129242e-01   
9       6.52777658e-04   6.50650538e-03   1.98722842e-01   
10      1.19705104e-03   1.18990779e-02   1.97911975e-01   
11      1.74132443e-03   1.72622919e-02   1.96834494e-01   
12      2.82987120e-03   2.79011229e-02   1.95227053e-01   
13      3.91841797e-03   3.84239513e-02   1.93098355e-01   
14      5.00696475e-03   4.88317229e-02   1.90987014e-01   
15      7.00696475e-03   6.76572750e-02   1.88022969e-01   
16      9.00696475e-03   8.61033577e-02   1.84232962e-01   
17      1.10069647e-02   1.04175659e-01   1.80499763e-01   
18      1.30069647e-02   1.21879790e-01   1.76822616e-01   
19      1.50069647e-02   1.39221290e-01   1.73200775e-01   
20      1.70069647e-02   1.56205621e-01   1.69633503e-01   
21      1.90069647e-02   1.72838174e-01   1.66120073e-01   
22      2.00000000e-02   1.80967484e-01   1.63524253e-01   
End of Xyce(TM) Simulation
