Index  TIME                   V(1)             V(2)             V(3)            I(VIN)           I(VCC)
0      0.00000000e+00      0.00000000e+00   5.00010100e-08   4.99999999e+00   5.00010100e-12  -1.00001710e-11
1      1.00000000e-11      0.00000000e+00   5.00010100e-08   4.99999999e+00   5.00010100e-12  -1.00001710e-11
2      3.00000000e-11      0.00000000e+00   5.00010100e-08   4.99999999e+00   5.00010100e-12  -1.00001710e-11
3      7.00000000e-11      0.00000000e+00   5.00009838e-08   4.99999999e+00   5.00009838e-12  -1.00001984e-11
4      1.50000000e-10      0.00000000e+00   5.00009849e-08   4.99999999e+00   5.00009849e-12  -1.00001985e-11
5      3.10000000e-10      0.00000000e+00   5.00009852e-08   4.99999999e+00   5.00009852e-12  -1.00001985e-11
6      5.10000000e-10      0.00000000e+00   5.00009867e-08   4.99999999e+00   5.00009867e-12  -1.00001987e-11
7      7.10000000e-10      0.00000000e+00   5.00009871e-08   4.99999999e+00   5.00009871e-12  -1.00001987e-11
8      9.10000000e-10      0.00000000e+00   5.00009864e-08   4.99999999e+00   5.00009864e-12  -1.00001986e-11
9      1.11000000e-09      0.00000000e+00   5.00009845e-08   4.99999999e+00   5.00009845e-12  -1.00001984e-11
10     1.31000000e-09      0.00000000e+00   5.00009816e-08   4.99999999e+00   5.00009816e-12  -1.00001981e-11
11     1.51000000e-09      0.00000000e+00   5.00009775e-08   4.99999999e+00   5.00009775e-12  -1.00001977e-11
12     1.71000000e-09      0.00000000e+00   5.00009723e-08   4.99999999e+00   5.00009723e-12  -1.00001972e-11
13     1.91000000e-09      0.00000000e+00   5.00009660e-08   4.99999999e+00   5.00009660e-12  -1.00001966e-11
14     2.00000000e-09      0.00000000e+00   5.00009699e-08   4.99999999e+00   5.00009699e-12  -1.00001970e-11
15     2.02000000e-09      5.00000000e-02   5.03434225e-03   5.00449656e+00  -4.49656577e-06   4.49656075e-06
16     2.03694842e-09      9.23710577e-02   9.35739608e-03   5.00830136e+00  -8.30136616e-06   8.30136113e-06
17     2.07084527e-09      1.77113173e-01   1.81397854e-02   5.01589733e+00  -1.58973388e-05   1.58973337e-05
18     2.13863896e-09      3.46597404e-01   3.63563151e-02   5.03102410e+00  -3.10241089e-05   3.10241038e-05
19     2.27422635e-09      6.85565866e-01   7.54615063e-02   5.06101043e+00  -6.10104360e-05   6.10104309e-05
20     2.54540112e-09      1.36350279e+00   1.64245417e-01   5.11992573e+00  -1.19925737e-04   1.19925732e-04
21     3.08775065e-09      2.71937664e+00   3.82610705e-01   5.23367644e+00  -2.33676593e-04   2.33676442e-04
22     3.63010019e-09      4.07525048e+00   6.49932202e-01   5.33964245e+00  -3.42531828e-04   3.39642452e-04
23     3.82717494e-09      4.56793736e+00   7.20050405e-01   5.33919069e+00  -3.84788695e-04   3.39190687e-04
24     4.00000000e-09      5.00000000e+00   7.51068196e-01   5.30447370e+00  -4.24893180e-04   3.04473700e-04
25     4.01739313e-09      5.00000000e+00   7.52980400e-01   5.30000145e+00  -4.24701960e-04   3.00001453e-04
26     4.03478626e-09      5.00000000e+00   7.54681868e-01   5.29529982e+00  -4.24531813e-04   2.95299819e-04
27     4.06957251e-09      5.00000000e+00   7.57661952e-01   5.28544950e+00  -4.24233805e-04   2.85449503e-04
28     4.13914503e-09      5.00000000e+00   7.62505244e-01   5.26461236e+00  -4.23749476e-04   2.64612361e-04
