Index      TIME           V(1)           V(11)           V(22)           V(33)           V(44)
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
1       1.00000000e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
2       3.00000000e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
3       7.00000000e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
4       1.50000000e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
5       1.90000000e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
6       2.70000000e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
7       2.80000000e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
8       2.90000000e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
9       2.95000000e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
10      2.97500000e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
11      2.98750000e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
12      2.99375000e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
13      2.99687500e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
14      2.99849446e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
15      2.99962168e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
16      3.00037609e-03   2.10924159e-04   1.65270141e-04   -1.65159264e-04  1.61468365e-04   -1.61565424e-04  
17      3.00113050e-03   6.32925322e-04   4.97805477e-04   -4.97515600e-04  4.86297711e-04   -4.86528005e-04  
18      3.00178424e-03   9.97641652e-04   7.86848093e-04   -7.86440512e-04  7.68602599e-04   -7.68894862e-04  
19      3.00309171e-03   1.72699008e-03   1.36489072e-03   -1.36424638e-03  1.33319686e-03   -1.33361362e-03  
20      3.00570666e-03   3.18540082e-03   2.52074950e-03   -2.51963158e-03  2.46216411e-03   -2.46283010e-03  
21      3.01093655e-03   6.10107845e-03   4.83156051e-03   -4.82949579e-03  4.71921315e-03   -4.72037741e-03  
22      3.02139634e-03   1.19278611e-02   9.44955852e-03   -9.44560168e-03  9.22977154e-03   -9.23193155e-03  
23      3.04231590e-03   2.35631582e-02   1.86710762e-02   -1.86633411e-02  1.82367468e-02   -1.82408952e-02  
24      3.08415504e-03   4.67608580e-02   3.70563392e-02   -3.70410712e-02  3.61942691e-02   -3.62023819e-02  
25      3.16783331e-03   9.28660988e-02   7.35969008e-02   -7.35666612e-02  7.18846996e-02   -7.19006913e-02  
26      3.25151159e-03   1.38587144e-01   1.09832977e-01   -1.09787891e-01  1.07277729e-01   -1.07301534e-01  
27      3.33518986e-03   1.83927200e-01   1.45767102e-01   -1.45707293e-01  1.42375831e-01   -1.42407384e-01  
28      3.50254641e-03   2.73477023e-01   2.16739530e-01   -2.16650641e-01  2.11697056e-01   -2.11743912e-01  
29      3.66990295e-03   3.61540635e-01   2.86534079e-01   -2.86416595e-01  2.79867807e-01   -2.79929712e-01  
30      3.83725950e-03   4.48142708e-01   3.55170292e-01   -3.55024685e-01  3.46907169e-01   -3.46983873e-01  
31      4.00461605e-03   5.33307499e-01   4.22667390e-01   -4.22494129e-01  4.12833920e-01   -4.12925178e-01  
32      4.17197259e-03   6.17058862e-01   4.89044281e-01   -4.88843824e-01  4.77666525e-01   -4.77772094e-01  
33      4.50668569e-03   7.80414761e-01   6.18511479e-01   -6.18257976e-01  6.04121615e-01   -6.04255101e-01  
34      4.84139878e-03   9.38393401e-01   7.43716976e-01   -7.43412174e-01  7.26414154e-01   -7.26574637e-01  
35      5.17611187e-03   1.09117181e+00   8.64801041e-01   -8.64446628e-01  8.44681148e-01   -8.44867739e-01  
36      5.51082497e-03   1.23892115e+00   9.81899340e-01   -9.81496949e-01  9.59055107e-01   -9.59266946e-01  
37      5.84553806e-03   1.38180698e+00   1.09514307e+00   -1.09469429e+00  1.06966418e+00   -1.06990043e+00  
38      6.18025115e-03   1.51998939e+00   1.20465913e+00   -1.20416547e+00  1.17663229e+00   -1.17689216e+00  
39      6.51496424e-03   1.65362320e+00   1.31057020e+00   -1.31003315e+00  1.28007930e+00   -1.28036201e+00  
40      7.18439043e-03   1.90783903e+00   1.51204815e+00   -1.51142855e+00  1.47686979e+00   -1.47719594e+00  
41      7.85381662e-03   2.14559407e+00   1.70048020e+00   -1.69978339e+00  1.66091789e+00   -1.66128466e+00  
42      8.52324280e-03   2.36795421e+00   1.87671106e+00   -1.87594205e+00  1.83304866e+00   -1.83345344e+00  
43      9.19266899e-03   2.57591627e+00   2.04153077e+00   -2.04069423e+00  1.99403377e+00   -1.99447409e+00  
44      9.86209517e-03   2.77041256e+00   2.19567822e+00   -2.19477852e+00  2.14459492e+00   -2.14506847e+00  
45      1.05315214e-02   2.95231499e+00   2.33984445e+00   -2.33888568e+00  2.28540706e+00   -2.28591169e+00  
46      1.12009475e-02   3.12243903e+00   2.47467575e+00   -2.47366173e+00  2.41710145e+00   -2.41763516e+00  
47      1.18703737e-02   3.28154735e+00   2.60077657e+00   -2.59971089e+00  2.54026848e+00   -2.54082938e+00  
48      1.25397999e-02   3.43035322e+00   2.71871222e+00   -2.71759822e+00  2.65546031e+00   -2.65604664e+00  
49      1.32092261e-02   3.56952374e+00   2.82901140e+00   -2.82785221e+00  2.76319334e+00   -2.76380345e+00  
50      1.45480785e-02   3.82141397e+00   3.02864620e+00   -3.02740521e+00  2.95818355e+00   -2.95883671e+00  
51      1.58869308e-02   4.04173992e+00   3.20326487e+00   -3.20195234e+00  3.12873965e+00   -3.12943046e+00  
52      1.72257832e-02   4.23445692e+00   3.35600216e+00   -3.35462705e+00  3.27792344e+00   -3.27864718e+00  
53      1.85646356e-02   4.40302463e+00   3.48960001e+00   -3.48817016e+00  3.40841308e+00   -3.40916562e+00  
54      1.99034880e-02   4.55046921e+00   3.60645676e+00   -3.60497904e+00  3.52255112e+00   -3.52332885e+00  
55      2.12423403e-02   4.67943756e+00   3.70867025e+00   -3.70715065e+00  3.62238656e+00   -3.62318634e+00  
56      2.25811927e-02   4.79224495e+00   3.79807541e+00   -3.79651918e+00  3.70971168e+00   -3.71053073e+00  
57      2.39200451e-02   4.89091650e+00   3.87627725e+00   -3.87468898e+00  3.78609412e+00   -3.78693004e+00  
58      2.52588974e-02   4.97722356e+00   3.94467966e+00   -3.94306335e+00  3.85290511e+00   -3.85375578e+00  
59      2.79366022e-02   5.11874762e+00   4.05684411e+00   -4.05518185e+00  3.96246001e+00   -3.96333486e+00  
60      3.06143069e-02   5.22702532e+00   4.14265928e+00   -4.14096186e+00  4.04627866e+00   -4.04717201e+00  
