Index       TIME              V(2)              V(3)       
0        0.00000000e+00    0.00000000e+00    0.00000000e+00
1        1.00000000e-10    1.57079622e-03    0.00000000e+00
2        3.00000000e-10    4.71238619e-03    0.00000000e+00
3        7.00000000e-10    1.09955388e-02    0.00000000e+00
4        1.50000000e-09    2.35615961e-02    0.00000000e+00
5        3.10000000e-09    4.86916072e-02    0.00000000e+00
6        6.30000000e-09    9.89343272e-02    0.00000000e+00
7        1.27000000e-08    1.99279492e-01    0.00000000e+00
8        1.91000000e-08    2.99302458e-01    0.00000000e+00
9        2.55000000e-08    3.98841506e-01    0.00000000e+00
10       3.19000000e-08    4.97735700e-01    0.00000000e+00
11       3.83000000e-08    5.95825146e-01    0.00000000e+00
12       4.47000000e-08    6.92951251e-01    0.00000000e+00
13       5.75000000e-08    8.83687109e-01    0.00000000e+00
14       7.03000000e-08    1.06871023e+00    0.00000000e+00
15       8.31000000e-08    1.24682451e+00    0.00000000e+00
16       9.59000000e-08    1.41687849e+00    0.00000000e+00
17       1.08700000e-07    1.57777284e+00    0.00000000e+00
18       1.21500000e-07    1.72846742e+00    0.00000000e+00
19       1.34300000e-07    1.86798806e+00    0.00000000e+00
20       1.47100000e-07    1.99543278e+00    0.00000000e+00
21       1.59900000e-07    2.10997772e+00    0.00000000e+00
22       1.72700000e-07    2.21088238e+00    0.00000000e+00
23       1.85500000e-07    2.29749443e+00    0.00000000e+00
24       1.98300000e-07    2.36925397e+00    0.00000000e+00
25       2.11100000e-07    2.42569709e+00    0.00000000e+00
26       2.23900000e-07    2.46645890e+00    0.00000000e+00
27       2.36700000e-07    2.49127591e+00    0.00000000e+00
28       2.49500000e-07    2.49998766e+00    0.00000000e+00
29       2.62300000e-07    2.49253785e+00    0.00000000e+00
30       2.75100000e-07    2.46897464e+00    0.00000000e+00
31       2.87900000e-07    2.42945034e+00    0.00000000e+00
32       3.00700000e-07    2.37422049e+00    0.00000000e+00
33       3.13500000e-07    2.30364210e+00    0.00000000e+00
34       3.26300000e-07    2.21817146e+00    0.00000000e+00
35       3.33333333e-07    2.16506351e+00    0.00000000e+00
36       3.33911849e-07    2.16050556e+00    1.73091167e-02
37       3.34404877e-07    2.15659862e+00    3.20602370e-02
38       3.35390932e-07    2.14872269e+00    6.15613239e-02
39       3.37363041e-07    2.13272370e+00    1.20554643e-01
40       3.41307260e-07    2.09974585e+00    2.38471956e-01
41       3.49195699e-07    2.02994267e+00    4.73796322e-01
42       3.57084137e-07    1.95515366e+00    7.07970202e-01
43       3.64972576e-07    1.87556253e+00    9.40417175e-01
44       3.72861014e-07    1.79136475e+00    1.17053532e+00
45       3.80749452e-07    1.70276713e+00    1.39774605e+00
46       3.88637891e-07    1.60998728e+00    1.62153412e+00
47       3.96526329e-07    1.51325308e+00    1.84130353e+00
48       4.04414768e-07    1.41280212e+00    2.05672771e+00
49       4.12303206e-07    1.30888112e+00    2.26687244e+00
50       4.20191645e-07    1.20174533e+00    2.47160249e+00
51       4.28080083e-07    1.09165788e+00    2.67026174e+00
52       4.35968521e-07    9.78889169e-01    2.86224905e+00
53       4.43856960e-07    8.63716172e-01    3.04736283e+00
54       4.51745398e-07    7.46421767e-01    3.22485073e+00
55       4.59633837e-07    6.27294047e-01    3.39448124e+00
56       4.67522275e-07    5.06625606e-01    3.55585823e+00
57       4.75410714e-07    3.84712822e-01    3.70831246e+00
58       4.83299152e-07    2.61855130e-01    3.85180810e+00
59       4.91187590e-07    1.38354285e-01    3.98578443e+00
60       4.99076029e-07    1.45136231e-02    4.10995967e+00
61       5.06964467e-07   -1.09362686e-01    4.22412380e+00
62       5.14852906e-07   -2.32970386e-01    4.32779395e+00
63       5.22741344e-07   -3.56005878e-01    4.42091174e+00
64       5.30629783e-07   -4.78166970e-01    4.50317035e+00
65       5.38518221e-07   -5.99153617e-01    4.57431859e+00
66       5.46406659e-07   -7.18668661e-01    4.63429255e+00
67       5.54295098e-07   -8.36418554e-01    4.68283565e+00
68       5.62183536e-07   -9.52114087e-01    4.71989966e+00
69       5.70071975e-07   -1.06547110e+00    4.74538370e+00
70       5.77960413e-07   -1.17621116e+00    4.75918032e+00
71       5.82833333e-07   -1.24319210e+00    4.76188126e+00
72       5.83622177e-07   -1.25392723e+00    4.76189687e+00
73       5.84227660e-07   -1.26214617e+00    4.76182954e+00
74       5.85438625e-07   -1.27852913e+00    4.76148823e+00
75       5.87860556e-07   -1.31107206e+00    4.75997902e+00
76       5.92704416e-07   -1.37523966e+00    4.75365426e+00
77       6.02392138e-07   -1.49969532e+00    4.72781633e+00
78       6.12079860e-07   -1.61859614e+00    4.68445829e+00
79       6.21767582e-07   -1.73150171e+00    4.62373187e+00
80       6.31455304e-07   -1.83799382e+00    4.54591870e+00
81       6.41143026e-07   -1.93767803e+00    4.45126298e+00
82       6.50830748e-07   -2.03018512e+00    4.34009329e+00
83       6.60518470e-07   -2.11517244e+00    4.21281441e+00
84       6.66666667e-07   -2.16506351e+00    4.12393049e+00
85       6.67214024e-07   -2.16160247e+00    4.11571768e+00
86       6.67698855e-07   -2.15845540e+00    4.10840238e+00
87       6.68668516e-07   -2.15216493e+00    4.09365749e+00
88       6.70607838e-07   -2.13934489e+00    4.06371242e+00
89       6.74486483e-07   -2.11275618e+00    4.00201697e+00
90       6.82243771e-07   -2.05583222e+00    3.87153578e+00
91       6.90001060e-07   -1.99401952e+00    3.73185948e+00
92       6.97758349e-07   -1.92746418e+00    3.58331863e+00
93       7.05515638e-07   -1.85633810e+00    3.42626690e+00
94       7.13272927e-07   -1.78081745e+00    3.26107731e+00
95       7.21030216e-07   -1.70106527e+00    3.08814218e+00
96       7.28787505e-07   -1.61728470e+00    2.90787224e+00
97       7.36544793e-07   -1.52960111e+00    2.72069564e+00
98       7.44302082e-07   -1.43834335e+00    2.52705695e+00
99       7.52059371e-07   -1.34365265e+00    2.32741606e+00
100      7.59816660e-07   -1.24573963e+00    2.12224714e+00
101      7.67573949e-07   -1.14491068e+00    1.91203749e+00
102      7.75331238e-07   -1.04133226e+00    1.69728638e+00
103      7.83088527e-07   -9.35289944e-01    1.47850386e+00
104      7.90845815e-07   -8.27042200e-01    1.25620958e+00
105      7.98603104e-07   -7.16785823e-01    1.03093150e+00
106      8.06360393e-07   -6.04864230e-01    8.03204704e-01
107      8.14117682e-07   -4.91513895e-01    5.73570064e-01
108      8.21874971e-07   -3.76965153e-01    3.42573001e-01
109      8.29632260e-07   -2.61546734e-01    1.10762168e-01
110      8.37389548e-07   -1.45486579e-01   -1.21311848e-01
111      8.45146837e-07   -2.90850528e-02   -3.53097832e-01
112      8.52904126e-07    8.73643042e-02   -5.84045251e-01
113      8.60661415e-07    2.03635670e-01   -8.13605566e-01
114      8.68418704e-07    3.19408239e-01   -1.04123353e+00
115      8.76175993e-07    4.34418724e-01   -1.26638848e+00
116      8.83933282e-07    5.48410704e-01   -1.48853563e+00
117      8.91690570e-07    6.61084613e-01   -1.70714735e+00
118      8.99447859e-07    7.72201167e-01   -1.92170437e+00
119      9.07205148e-07    8.81481273e-01   -2.13169709e+00
120      9.14962437e-07    9.88661633e-01   -2.33664885e+00
121      9.16955511e-07    1.01583236e+00   -2.38843281e+00
122      9.17408861e-07    1.02199014e+00   -2.40015771e+00
123      9.17812311e-07    1.02746316e+00   -2.41057566e+00
124      9.18619210e-07    1.03838938e+00   -2.43136506e+00
125      9.20233008e-07    1.06016156e+00   -2.47275526e+00
126      9.23460606e-07    1.10337682e+00   -2.55476596e+00
127      9.29915800e-07    1.18843057e+00   -2.71558258e+00
128      9.36370995e-07    1.27153043e+00   -2.87198246e+00
129      9.42826189e-07    1.35253956e+00   -3.02359723e+00
130      9.49281383e-07    1.43131951e+00   -3.17027993e+00
131      9.55736578e-07    1.50773661e+00   -3.31178251e+00
132      9.62191772e-07    1.58169516e+00   -3.44776570e+00
133      9.68646967e-07    1.65305016e+00   -3.57811583e+00
134      9.75102161e-07    1.72167471e+00   -3.70261064e+00
135      9.81557356e-07    1.78747588e+00   -3.82095149e+00
136      9.88012550e-07    1.85032311e+00   -3.93304151e+00
137      9.94467744e-07    1.91010898e+00   -4.03868994e+00
138      1.00092294e-06    1.96677311e+00   -4.13766821e+00
139      1.00737813e-06    2.02020685e+00   -4.22983629e+00
140      1.01383333e-06    2.07032296e+00   -4.31503950e+00
141      1.02028852e-06    2.11703358e+00   -4.39314826e+00
142      1.02674372e-06    2.16025734e+00   -4.46403879e+00
143      1.03319891e-06    2.19992536e+00   -4.52758872e+00
144      1.03965411e-06    2.23597327e+00   -4.58369190e+00
145      1.04610930e-06    2.26834802e+00   -4.63225070e+00
146      1.05256449e-06    2.29699787e+00   -4.67318697e+00
147      1.05901969e-06    2.32186578e+00   -4.70644043e+00
148      1.06547488e-06    2.34291130e+00   -4.73195440e+00
149      1.07193008e-06    2.36010044e+00   -4.74968542e+00
150      1.07838527e-06    2.37340573e+00   -4.75960330e+00
151      1.08484047e-06    2.38281368e+00   -4.76169097e+00
152      1.08539270e-06    2.38343185e+00   -4.76150613e+00
153      1.08594494e-06    2.38402877e+00   -4.76126376e+00
154      1.08640638e-06    2.38450548e+00   -4.76101730e+00
155      1.08732925e-06    2.38539840e+00   -4.76040432e+00
156      1.08917499e-06    2.38694079e+00   -4.75869815e+00
157      1.09286647e-06    2.38904026e+00   -4.75336503e+00
158      1.10024943e-06    2.38940949e+00   -4.73503365e+00
159      1.10763239e-06    2.38463749e+00   -4.70651536e+00
160      1.11501535e-06    2.37473451e+00   -4.66787137e+00
161      1.12239831e-06    2.35972184e+00   -4.61918467e+00
162      1.12978127e-06    2.33963177e+00   -4.56055987e+00
163      1.13716422e-06    2.31450752e+00   -4.49212299e+00
164      1.14454718e-06    2.28440317e+00   -4.41402114e+00
165      1.15193014e-06    2.24938350e+00   -4.32642228e+00
166      1.15931310e-06    2.20952386e+00   -4.22951480e+00
167      1.16669606e-06    2.16491004e+00   -4.12350712e+00
168      1.17407902e-06    2.11563806e+00   -4.00862727e+00
169      1.18146198e-06    2.06181396e+00   -3.88512237e+00
170      1.18884494e-06    2.00355359e+00   -3.75325813e+00
171      1.19622790e-06    1.94098232e+00   -3.61331824e+00
172      1.20361086e-06    1.87423483e+00   -3.46560378e+00
173      1.21099382e-06    1.80345476e+00   -3.31043258e+00
174      1.21837678e-06    1.72879445e+00   -3.14813852e+00
175      1.22575974e-06    1.65041457e+00   -2.97907081e+00
176      1.23314270e-06    1.56848379e+00   -2.80359325e+00
177      1.24052566e-06    1.48317864e+00   -2.62208382e+00
178      1.24790862e-06    1.39467784e+00   -2.43494305e+00
179      1.25529158e-06    1.30317642e+00   -2.24255095e+00
180      1.26267454e-06    1.20889221e+00   -2.04534356e+00
181      1.27005750e-06    1.11198283e+00   -1.84372894e+00
182      1.27744046e-06    1.01271314e+00   -1.63815707e+00
183      1.28482342e-06    9.11237834e-01   -1.42905968e+00
184      1.29220638e-06    8.07798210e-01   -1.21688565e+00
185      1.29958934e-06    7.02643148e-01   -1.00209046e+00
186      1.30697230e-06    5.95947533e-01   -7.85135235e-01
187      1.31435526e-06    4.87989311e-01   -5.66485710e-01
188      1.32173822e-06    3.78975489e-01   -3.46621491e-01
189      1.32912118e-06    2.69133650e-01   -1.26023133e-01
190      1.33650413e-06    1.58727334e-01    9.48476832e-02
191      1.34388709e-06    4.79812481e-02    3.15516714e-01
192      1.35127005e-06   -6.28665897e-02    5.35510131e-01
193      1.35865301e-06   -1.73583976e-01    7.54355522e-01
194      1.36603597e-06   -2.83931200e-01    9.71582896e-01
195      1.37341893e-06   -3.93666541e-01    1.18671465e+00
196      1.38080189e-06   -5.02550542e-01    1.39928268e+00
197      1.38818485e-06   -6.10352479e-01    1.60884161e+00
198      1.39556781e-06   -7.16843880e-01    1.81494143e+00
199      1.40295077e-06   -8.21793905e-01    2.01713947e+00
200      1.41033373e-06   -9.24975704e-01    2.21500140e+00
201      1.41771669e-06   -1.02616645e+00    2.40810209e+00
202      1.41817380e-06   -1.03236123e+00    2.41989700e+00
203      1.41863091e-06   -1.03854755e+00    2.43166601e+00
204      1.41897914e-06   -1.04325458e+00    2.44061839e+00
205      1.41967560e-06   -1.05265357e+00    2.45848797e+00
206      1.42106852e-06   -1.07139093e+00    2.49408541e+00
207      1.42385436e-06   -1.10861792e+00    2.56470318e+00
208      1.42942605e-06   -1.18204171e+00    2.70354963e+00
209      1.44056942e-06   -1.32445562e+00    2.97117311e+00
210      1.45171279e-06   -1.46038225e+00    3.22421323e+00
211      1.46285616e-06   -1.58914846e+00    3.46148658e+00
212      1.47399953e-06   -1.71013363e+00    3.68176516e+00
213      1.48514290e-06   -1.82273040e+00    3.88403460e+00
214      1.49628627e-06   -1.92640534e+00    4.06723983e+00
215      1.50742964e-06   -2.02062754e+00    4.23054462e+00
216      1.51857301e-06   -2.10496246e+00    4.37309085e+00
217      1.52971638e-06   -2.17896610e+00    4.49423194e+00
218      1.54085975e-06   -2.24230897e+00    4.59333058e+00
219      1.55200312e-06   -2.29464543e+00    4.66993669e+00
220      1.56314649e-06   -2.33575617e+00    4.72364740e+00
221      1.57428986e-06   -2.36540156e+00    4.75421914e+00
222      1.58124195e-06   -2.37804076e+00    4.76149364e+00
223      1.58189688e-06   -2.37900066e+00    4.76171073e+00
224      1.58248036e-06   -2.37982175e+00    4.76183623e+00
225      1.58364732e-06   -2.38136716e+00    4.76189528e+00
226      1.58598124e-06   -2.38406787e+00    4.76124556e+00
227      1.59064908e-06   -2.38792141e+00    4.75687569e+00
228      1.59998475e-06   -2.38948216e+00    4.73586883e+00
229      1.60932042e-06   -2.38281580e+00    4.69857037e+00
230      1.61865609e-06   -2.36795143e+00    4.64510770e+00
231      1.62799176e-06   -2.34495581e+00    4.57567400e+00
232      1.63732743e-06   -2.31388669e+00    4.49049941e+00
233      1.64666310e-06   -2.27484564e+00    4.38987219e+00
234      1.65599877e-06   -2.22798354e+00    4.27414606e+00
235      1.66533445e-06   -2.17347633e+00    4.14372836e+00
236      1.67467012e-06   -2.11148519e+00    3.99905194e+00
237      1.68400579e-06   -2.04221861e+00    3.84060780e+00
238      1.69334146e-06   -1.96593418e+00    3.66896459e+00
239      1.70267713e-06   -1.88289062e+00    3.48470873e+00
240      1.71201280e-06   -1.79336930e+00    3.28845692e+00
241      1.72134847e-06   -1.69767134e+00    3.08087609e+00
242      1.73068414e-06   -1.59614898e+00    2.86272656e+00
243      1.74001981e-06   -1.48913242e+00    2.63472857e+00
244      1.74935549e-06   -1.37698328e+00    2.39765417e+00
245      1.75869116e-06   -1.26009383e+00    2.15231949e+00
246      1.76802683e-06   -1.13890994e+00    1.89965341e+00
247      1.77736250e-06   -1.01377769e+00    1.64040885e+00
248      1.78669817e-06   -8.85151148e-01    1.37547721e+00
249      1.79603384e-06   -7.53469478e-01    1.10581742e+00
