Index      V(b)        I(v_c)     I(v_b)     
  0    2.000000e-01 2.166461e-13 2.370904e-13
  1    2.100000e-01 3.181088e-13 2.890963e-13
  2    2.200000e-01 4.670645e-13 3.524714e-13
  3    2.300000e-01 6.857418e-13 4.297721e-13
  4    2.400000e-01 1.006772e-12 5.241616e-13
  5    2.500000e-01 1.478056e-12 6.395692e-13
  6    2.600000e-01 2.169912e-12 7.808967e-13
  7    2.700000e-01 3.185560e-12 9.542893e-13
  8    2.800000e-01 4.676518e-12 1.167494e-12
  9    2.900000e-01 6.865197e-12 1.430338e-12
 10    3.000000e-01 1.007807e-11 1.755379e-12
 11    3.100000e-01 1.479434e-11 2.158777e-12
 12    3.200000e-01 2.171739e-11 2.661510e-12
 13    3.300000e-01 3.187965e-11 3.291044e-12
 14    3.400000e-01 4.679648e-11 4.083665e-12
 15    3.500000e-01 6.869202e-11 5.087762e-12
 16    3.600000e-01 1.008307e-10 6.368466e-12
 17    3.700000e-01 1.480035e-10 8.014255e-12
 18    3.800000e-01 2.172422e-10 1.014639e-11
 19    3.900000e-01 3.188665e-10 1.293249e-11
 20    4.000000e-01 4.680213e-10 1.660606e-11
 21    4.100000e-01 6.869325e-10 2.149482e-11
 22    4.200000e-01 1.008217e-09 2.806169e-11
 23    4.300000e-01 1.479738e-09 3.696453e-11
 24    4.400000e-01 2.171731e-09 4.914309e-11
 25    4.500000e-01 3.187259e-09 6.594591e-11
 26    4.600000e-01 4.677547e-09 8.931596e-11
 27    4.700000e-01 6.864483e-09 1.220621e-10
 28    4.800000e-01 1.007362e-08 1.682571e-10
 29    4.900000e-01 1.478260e-08 2.338207e-10
 30    5.000000e-01 2.169216e-08 3.273753e-10
 31    5.100000e-01 3.183025e-08 4.615025e-10
 32    5.200000e-01 4.670483e-08 6.545880e-10
 33    5.300000e-01 6.852774e-08 9.335319e-10
 34    5.400000e-01 1.005431e-07 1.337733e-09
 35    5.500000e-01 1.475084e-07 1.924946e-09
 36    5.600000e-01 2.164000e-07 2.779889e-09
 37    5.700000e-01 3.174460e-07 4.026912e-09
 38    5.800000e-01 4.656395e-07 5.848616e-09
 39    5.900000e-01 6.829517e-07 8.513241e-09
 40    6.000000e-01 1.001570e-06 1.241495e-08
 41    6.100000e-01 1.468623e-06 1.813306e-08
 42    6.200000e-01 2.153075e-06 2.651913e-08
 43    6.300000e-01 3.155745e-06 3.882495e-08
 44    6.400000e-01 4.623832e-06 5.689055e-08
 45    6.500000e-01 6.771854e-06 8.342012e-08
 46    6.600000e-01 9.911619e-06 1.223865e-07
 47    6.700000e-01 1.449465e-05 1.796230e-07
 48    6.800000e-01 2.117135e-05 2.636873e-07
 49    6.900000e-01 3.087205e-05 3.871176e-07
 50    7.000000e-01 4.491451e-05 5.682496e-07
 51    7.100000e-01 6.513892e-05 8.338272e-07
 52    7.200000e-01 9.406603e-05 1.222716e-06
 53    7.300000e-01 1.350611e-04 1.791124e-06
 54    7.400000e-01 1.924696e-04 2.619825e-06
 55    7.500000e-01 2.716754e-04 3.823969e-06
 56    7.600000e-01 3.790351e-04 5.566146e-06
 57    7.700000e-01 5.216697e-04 8.073337e-06
 58    7.800000e-01 7.071526e-04 1.165831e-05
 59    7.900000e-01 9.431712e-04 1.674564e-05
 60    8.000000e-01 1.237235e-03 2.390181e-05
 61    8.100000e-01 1.596444e-03 3.386757e-05
 62    8.200000e-01 2.027287e-03 4.758901e-05
 63    8.300000e-01 2.535399e-03 6.624181e-05
 64    8.400000e-01 3.125266e-03 9.124160e-05
 65    8.500000e-01 3.799882e-03 1.242325e-04
 66    8.600000e-01 4.560406e-03 1.670482e-04
 67    8.700000e-01 5.405914e-03 2.216436e-04
 68    8.800000e-01 6.333287e-03 2.900019e-04
 69    8.900000e-01 7.337243e-03 3.740358e-04
 70    9.000000e-01 8.409726e-03 4.756199e-04
 71    9.100000e-01 9.529777e-03 5.982522e-04
 72    9.200000e-01 1.064902e-02 7.496777e-04
 73    9.300000e-01 1.173586e-02 9.349156e-04
 74    9.400000e-01 1.278282e-02 1.154732e-03
 75    9.500000e-01 1.378874e-02 1.408326e-03
 76    9.600000e-01 1.475345e-02 1.694292e-03
 77    9.700000e-01 1.567693e-02 2.010941e-03
 78    9.800000e-01 1.655929e-02 2.356458e-03
 79    9.900000e-01 1.740086e-02 2.728989e-03
 80    1.000000e+00 1.820225e-02 3.126708e-03
 81    1.010000e+00 1.896430e-02 3.547853e-03
 82    1.020000e+00 1.968812e-02 3.990751e-03
 83    1.030000e+00 2.037498e-02 4.453830e-03
 84    1.040000e+00 2.102628e-02 4.935622e-03
 85    1.050000e+00 2.164356e-02 5.434766e-03
 86    1.060000e+00 2.222838e-02 5.950002e-03
 87    1.070000e+00 2.278235e-02 6.480168e-03
 88    1.080000e+00 2.330710e-02 7.024193e-03
 89    1.090000e+00 2.380420e-02 7.581091e-03
 90    1.100000e+00 2.427523e-02 8.149954e-03
 91    1.110000e+00 2.472170e-02 8.729948e-03
 92    1.120000e+00 2.514508e-02 9.320306e-03
 93    1.130000e+00 2.554677e-02 9.920322e-03
 94    1.140000e+00 2.592810e-02 1.052935e-02
 95    1.150000e+00 2.629034e-02 1.114678e-02
 96    1.160000e+00 2.663471e-02 1.177208e-02
 97    1.170000e+00 2.696231e-02 1.240473e-02
 98    1.180000e+00 2.727423e-02 1.304427e-02
 99    1.190000e+00 2.757146e-02 1.369027e-02
100    1.200000e+00 2.785493e-02 1.434233e-02
End of Xyce(TM) Simulation
