Index       V(C)              V(B)             I(V_C)            I(V_B)      
0        0.00000000e+00    7.00000000e-01   -1.04607734e-05    1.15600947e-05
1        5.00000000e-02    7.00000000e-01    3.29742499e-05    2.32356283e-06
2        1.00000000e-01    7.00000000e-01    4.10494913e-05    8.32425459e-07
3        1.50000000e-01    7.00000000e-01    4.25167018e-05    6.07113062e-07
4        2.00000000e-01    7.00000000e-01    4.29352153e-05    5.74109694e-07
5        2.50000000e-01    7.00000000e-01    4.31882056e-05    5.69302193e-07
6        3.00000000e-01    7.00000000e-01    4.34088739e-05    5.68604824e-07
7        3.50000000e-01    7.00000000e-01    4.36182707e-05    5.68510805e-07
8        4.00000000e-01    7.00000000e-01    4.38206058e-05    5.68507479e-07
9        4.50000000e-01    7.00000000e-01    4.40173446e-05    5.68518780e-07
10       5.00000000e-01    7.00000000e-01    4.42093579e-05    5.68532977e-07
11       5.50000000e-01    7.00000000e-01    4.43972922e-05    5.68548068e-07
12       6.00000000e-01    7.00000000e-01    4.45816614e-05    5.68563607e-07
13       6.50000000e-01    7.00000000e-01    4.47628857e-05    5.68579395e-07
14       7.00000000e-01    7.00000000e-01    4.49413144e-05    5.68595220e-07
15       7.50000000e-01    7.00000000e-01    4.51172422e-05    5.68610757e-07
16       8.00000000e-01    7.00000000e-01    4.52909205e-05    5.68625476e-07
17       8.50000000e-01    7.00000000e-01    4.54625663e-05    5.68638550e-07
18       9.00000000e-01    7.00000000e-01    4.56323687e-05    5.68648735e-07
19       9.50000000e-01    7.00000000e-01    4.58004941e-05    5.68654234e-07
20       1.00000000e+00    7.00000000e-01    4.59670904e-05    5.68652556e-07
21       1.05000000e+00    7.00000000e-01    4.61322898e-05    5.68640348e-07
22       1.10000000e+00    7.00000000e-01    4.62962122e-05    5.68613231e-07
23       1.15000000e+00    7.00000000e-01    4.64589667e-05    5.68565624e-07
24       1.20000000e+00    7.00000000e-01    4.66206540e-05    5.68490574e-07
25       1.25000000e+00    7.00000000e-01    4.67813676e-05    5.68379587e-07
26       1.30000000e+00    7.00000000e-01    4.69411953e-05    5.68222461e-07
27       1.35000000e+00    7.00000000e-01    4.71002201e-05    5.68007140e-07
28       1.40000000e+00    7.00000000e-01    4.72585216e-05    5.67719568e-07
29       1.45000000e+00    7.00000000e-01    4.74161762e-05    5.67343562e-07
30       1.50000000e+00    7.00000000e-01    4.75732585e-05    5.66860699e-07
31       1.55000000e+00    7.00000000e-01    4.77298412e-05    5.66250217e-07
32       1.60000000e+00    7.00000000e-01    4.78859964e-05    5.65488935e-07
33       1.65000000e+00    7.00000000e-01    4.80417954e-05    5.64551182e-07
34       1.70000000e+00    7.00000000e-01    4.81973093e-05    5.63408748e-07
35       1.75000000e+00    7.00000000e-01    4.83526095e-05    5.62030846e-07
36       1.80000000e+00    7.00000000e-01    4.85077678e-05    5.60384092e-07
37       1.85000000e+00    7.00000000e-01    4.86628568e-05    5.58432491e-07
38       1.90000000e+00    7.00000000e-01    4.88179499e-05    5.56137444e-07
39       1.95000000e+00    7.00000000e-01    4.89731214e-05    5.53457759e-07
40       2.00000000e+00    7.00000000e-01    4.91284472e-05    5.50349679e-07
41       2.05000000e+00    7.00000000e-01    4.92840042e-05    5.46766910e-07
42       2.10000000e+00    7.00000000e-01    4.94398708e-05    5.42660672e-07
43       2.15000000e+00    7.00000000e-01    4.95961267e-05    5.37979741e-07
44       2.20000000e+00    7.00000000e-01    4.97528533e-05    5.32670506e-07
45       2.25000000e+00    7.00000000e-01    4.99101336e-05    5.26677033e-07
46       2.30000000e+00    7.00000000e-01    5.00680518e-05    5.19941129e-07
47       2.35000000e+00    7.00000000e-01    5.02266941e-05    5.12402410e-07
48       2.40000000e+00    7.00000000e-01    5.03861478e-05    5.03998375e-07
49       2.45000000e+00    7.00000000e-01    5.05465021e-05    4.94664481e-07
50       2.50000000e+00    7.00000000e-01    5.07078477e-05    4.84334215e-07
51       2.55000000e+00    7.00000000e-01    5.08702764e-05    4.72939176e-07
52       2.60000000e+00    7.00000000e-01    5.10338820e-05    4.60409153e-07
53       2.65000000e+00    7.00000000e-01    5.11987594e-05    4.46672196e-07
54       2.70000000e+00    7.00000000e-01    5.13650049e-05    4.31654700e-07
55       2.75000000e+00    7.00000000e-01    5.15327162e-05    4.15281480e-07
56       2.80000000e+00    7.00000000e-01    5.17019924e-05    3.97475843e-07
57       2.85000000e+00    7.00000000e-01    5.18729337e-05    3.78159666e-07
58       2.90000000e+00    7.00000000e-01    5.20456415e-05    3.57253467e-07
59       2.95000000e+00    7.00000000e-01    5.22202186e-05    3.34676473e-07
60       3.00000000e+00    7.00000000e-01    5.23967687e-05    3.10346693e-07
61       3.05000000e+00    7.00000000e-01    5.25753966e-05    2.84180978e-07
62       3.10000000e+00    7.00000000e-01    5.27562082e-05    2.56095091e-07
63       3.15000000e+00    7.00000000e-01    5.29393104e-05    2.26003762e-07
64       3.20000000e+00    7.00000000e-01    5.31248111e-05    1.93820754e-07
65       3.25000000e+00    7.00000000e-01    5.33128188e-05    1.59458910e-07
66       3.30000000e+00    7.00000000e-01    5.35034434e-05    1.22830216e-07
67       3.35000000e+00    7.00000000e-01    5.36967951e-05    8.38458417e-08
68       3.40000000e+00    7.00000000e-01    5.38929854e-05    4.24161973e-08
69       3.45000000e+00    7.00000000e-01    5.40921261e-05   -1.54902724e-09
70       3.50000000e+00    7.00000000e-01    5.42943301e-05   -4.81408175e-08
71       3.55000000e+00    7.00000000e-01    5.44997108e-05   -9.74507956e-08
72       3.60000000e+00    7.00000000e-01    5.47083825e-05   -1.49571183e-07
73       3.65000000e+00    7.00000000e-01    5.49204599e-05   -2.04594767e-07
74       3.70000000e+00    7.00000000e-01    5.51360586e-05   -2.62614868e-07
75       3.75000000e+00    7.00000000e-01    5.53552947e-05   -3.23725312e-07
76       3.80000000e+00    7.00000000e-01    5.55782850e-05   -3.88020403e-07
77       3.85000000e+00    7.00000000e-01    5.58051466e-05   -4.55594901e-07
78       3.90000000e+00    7.00000000e-01    5.60359977e-05   -5.26543999e-07
79       3.95000000e+00    7.00000000e-01    5.62709567e-05   -6.00963304e-07
80       4.00000000e+00    7.00000000e-01    5.65101426e-05   -6.78948825e-07
81       4.05000000e+00    7.00000000e-01    5.67536751e-05   -7.60596951e-07
82       4.10000000e+00    7.00000000e-01    5.70016744e-05   -8.46004449e-07
83       4.15000000e+00    7.00000000e-01    5.72542613e-05   -9.35268447e-07
84       4.20000000e+00    7.00000000e-01    5.75115572e-05   -1.02848643e-06
85       4.25000000e+00    7.00000000e-01    5.77736839e-05   -1.12575624e-06
86       4.30000000e+00    7.00000000e-01    5.80407640e-05   -1.22717605e-06
87       4.35000000e+00    7.00000000e-01    5.83129205e-05   -1.33284440e-06
88       4.40000000e+00    7.00000000e-01    5.85902772e-05   -1.44286018e-06
89       4.45000000e+00    7.00000000e-01    5.88729585e-05   -1.55732263e-06
90       4.50000000e+00    7.00000000e-01    5.91610891e-05   -1.67633133e-06
91       4.55000000e+00    7.00000000e-01    5.94547948e-05   -1.79998626e-06
92       4.60000000e+00    7.00000000e-01    5.97542018e-05   -1.92838773e-06
93       4.65000000e+00    7.00000000e-01    6.00594370e-05   -2.06163649e-06
94       4.70000000e+00    7.00000000e-01    6.03706282e-05   -2.19983364e-06
95       4.75000000e+00    7.00000000e-01    6.06879037e-05   -2.34308073e-06
96       4.80000000e+00    7.00000000e-01    6.10113928e-05   -2.49147971e-06
97       4.85000000e+00    7.00000000e-01    6.13412254e-05   -2.64513299e-06
98       4.90000000e+00    7.00000000e-01    6.16775323e-05   -2.80414347e-06
99       4.95000000e+00    7.00000000e-01    6.20204453e-05   -2.96861450e-06
100      5.00000000e+00    7.00000000e-01    6.23700969e-05   -3.13864998e-06
0        0.00000000e+00    7.50000000e-01   -6.04933347e-05    7.24196774e-05
1        5.00000000e-02    7.50000000e-01    1.69048882e-04    1.77596161e-05
2        1.00000000e-01    7.50000000e-01    2.39272622e-04    6.48202243e-06
3        1.50000000e-01    7.50000000e-01    2.56161607e-04    4.28228393e-06
4        2.00000000e-01    7.50000000e-01    2.60313569e-04    3.90018195e-06
5        2.50000000e-01    7.50000000e-01    2.62024227e-04    3.84201604e-06
6        3.00000000e-01    7.50000000e-01    2.63295103e-04    3.83384916e-06
7        3.50000000e-01    7.50000000e-01    2.64455393e-04    3.83306755e-06
8        4.00000000e-01    7.50000000e-01    2.65563023e-04    3.83338875e-06
9        4.50000000e-01    7.50000000e-01    2.66632940e-04    3.83389001e-06
10       5.00000000e-01    7.50000000e-01    2.67672104e-04    3.83443305e-06
11       5.50000000e-01    7.50000000e-01    2.68685188e-04    3.83499547e-06
12       6.00000000e-01    7.50000000e-01    2.69675745e-04    3.83557250e-06
13       6.50000000e-01    7.50000000e-01    2.70646604e-04    3.83616226e-06
14       7.00000000e-01    7.50000000e-01    2.71600066e-04    3.83676332e-06
15       7.50000000e-01    7.50000000e-01    2.72538039e-04    3.83737410e-06
16       8.00000000e-01    7.50000000e-01    2.73462128e-04    3.83799245e-06
17       8.50000000e-01    7.50000000e-01    2.74373695e-04    3.83861523e-06
18       9.00000000e-01    7.50000000e-01    2.75273916e-04    3.83923773e-06
19       9.50000000e-01    7.50000000e-01    2.76163814e-04    3.83985305e-06
20       1.00000000e+00    7.50000000e-01    2.77044286e-04    3.84045129e-06
21       1.05000000e+00    7.50000000e-01    2.77916130e-04    3.84101872e-06
22       1.10000000e+00    7.50000000e-01    2.78780063e-04    3.84153684e-06
23       1.15000000e+00    7.50000000e-01    2.79636733e-04    3.84198136e-06
24       1.20000000e+00    7.50000000e-01    2.80486734e-04    3.84232123e-06
25       1.25000000e+00    7.50000000e-01    2.81330616e-04    3.84251758e-06
26       1.30000000e+00    7.50000000e-01    2.82168895e-04    3.84252272e-06
27       1.35000000e+00    7.50000000e-01    2.83002060e-04    3.84227919e-06
28       1.40000000e+00    7.50000000e-01    2.83830577e-04    3.84171884e-06
