Index       V(C)              V(B)             I(V_C)            I(V_B)      
0        0.00000000e+00    7.00000000e-01   -1.04592280e-05    1.15583376e-05
1        5.00000000e-02    7.00000000e-01    3.29723618e-05    2.32340089e-06
2        1.00000000e-01    7.00000000e-01    4.10459341e-05    8.32343949e-07
3        1.50000000e-01    7.00000000e-01    4.25112924e-05    6.07032169e-07
4        2.00000000e-01    7.00000000e-01    4.29279818e-05    5.74010696e-07
5        2.50000000e-01    7.00000000e-01    4.31791410e-05    5.69180433e-07
6        3.00000000e-01    7.00000000e-01    4.33979529e-05    5.68459154e-07
7        3.50000000e-01    7.00000000e-01    4.36054645e-05    5.68340838e-07
8        4.00000000e-01    7.00000000e-01    4.38058848e-05    5.68312982e-07
9        4.50000000e-01    7.00000000e-01    4.40006801e-05    5.68299556e-07
10       5.00000000e-01    7.00000000e-01    4.41907214e-05    5.68288836e-07
11       5.50000000e-01    7.00000000e-01    4.43766557e-05    5.68278826e-07
12       6.00000000e-01    7.00000000e-01    4.45589974e-05    5.68269085e-07
13       6.50000000e-01    7.00000000e-01    4.47381670e-05    5.68259414e-07
14       7.00000000e-01    7.00000000e-01    4.49145139e-05    5.68249607e-07
15       7.50000000e-01    7.00000000e-01    4.50883330e-05    5.68239338e-07
16       8.00000000e-01    7.00000000e-01    4.52598759e-05    5.68228081e-07
17       8.50000000e-01    7.00000000e-01    4.54293599e-05    5.68215011e-07
18       9.00000000e-01    7.00000000e-01    4.55969740e-05    5.68198884e-07
19       9.50000000e-01    7.00000000e-01    4.57628849e-05    5.68177911e-07
20       1.00000000e+00    7.00000000e-01    4.59272403e-05    5.68149600e-07
21       1.05000000e+00    7.00000000e-01    4.60901726e-05    5.68110604e-07
22       1.10000000e+00    7.00000000e-01    4.62518017e-05    5.68056549e-07
23       1.15000000e+00    7.00000000e-01    4.64122367e-05    5.67981862e-07
24       1.20000000e+00    7.00000000e-01    4.65715783e-05    5.67879600e-07
25       1.25000000e+00    7.00000000e-01    4.67299200e-05    5.67741279e-07
26       1.30000000e+00    7.00000000e-01    4.68873495e-05    5.67556716e-07
27       1.35000000e+00    7.00000000e-01    4.70439498e-05    5.67313872e-07
28       1.40000000e+00    7.00000000e-01    4.71998004e-05    5.66998715e-07
29       1.45000000e+00    7.00000000e-01    4.73549776e-05    5.66595091e-07
30       1.50000000e+00    7.00000000e-01    4.75095558e-05    5.66084612e-07
31       1.55000000e+00    7.00000000e-01    4.76636077e-05    5.65446557e-07
32       1.60000000e+00    7.00000000e-01    4.78172052e-05    5.64657793e-07
33       1.65000000e+00    7.00000000e-01    4.79704193e-05    5.63692705e-07
