Index   V(E)         V(B)           I(V_E)    I(V_B)            I(V_S)      
  0 0.000000e+00 7.00000000e-01  -9.80145e-07 2.463095e-04 -2.35735e-04
  1 5.000000e-02 7.00000000e-01  2.783961e-05 2.439674e-04 -2.34222e-04
  2 1.000000e-01 7.00000000e-01  3.251959e-05 2.435937e-04 -2.33977e-04
  3 1.500000e-01 7.00000000e-01  3.354406e-05 2.435151e-04 -2.33923e-04
  4 2.000000e-01 7.00000000e-01  3.401176e-05 2.434811e-04 -2.33898e-04
  5 2.500000e-01 7.00000000e-01  3.438425e-05 2.434548e-04 -2.33878e-04
  6 3.000000e-01 7.00000000e-01  3.473244e-05 2.434302e-04 -2.33859e-04
  7 3.500000e-01 7.00000000e-01  3.506892e-05 2.434066e-04 -2.33841e-04
  8 4.000000e-01 7.00000000e-01  3.539711e-05 2.433835e-04 -2.33823e-04
  9 4.500000e-01 7.00000000e-01  3.571872e-05 2.433609e-04 -2.33806e-04
 10 5.000000e-01 7.00000000e-01  3.603489e-05 2.433386e-04 -2.33789e-04
 11 5.500000e-01 7.00000000e-01  3.634654e-05 2.433167e-04 -2.33772e-04
 12 6.000000e-01 7.00000000e-01  3.665437e-05 2.432951e-04 -2.33756e-04
 13 6.500000e-01 7.00000000e-01  3.695897e-05 2.432737e-04 -2.33740e-04
 14 7.000000e-01 7.00000000e-01  3.726084e-05 2.432524e-04 -2.33723e-04
 15 7.500000e-01 7.00000000e-01  3.756039e-05 2.432314e-04 -2.33707e-04
 16 8.000000e-01 7.00000000e-01  3.785797e-05 2.432105e-04 -2.33691e-04
 17 8.500000e-01 7.00000000e-01  3.815389e-05 2.431897e-04 -2.33676e-04
 18 9.000000e-01 7.00000000e-01  3.844841e-05 2.431690e-04 -2.33660e-04
 19 9.500000e-01 7.00000000e-01  3.874176e-05 2.431484e-04 -2.33644e-04
 20 1.000000e+00 7.00000000e-01  3.903416e-05 2.431279e-04 -2.33628e-04
 21 1.050000e+00 7.00000000e-01  3.932578e-05 2.431074e-04 -2.33613e-04
 22 1.100000e+00 7.00000000e-01  3.961680e-05 2.430869e-04 -2.33597e-04
 23 1.150000e+00 7.00000000e-01  3.990735e-05 2.430665e-04 -2.33582e-04
 24 1.200000e+00 7.00000000e-01  4.019758e-05 2.430462e-04 -2.33566e-04
 25 1.250000e+00 7.00000000e-01  4.048761e-05 2.430258e-04 -2.33550e-04
 26 1.300000e+00 7.00000000e-01  4.077754e-05 2.430055e-04 -2.33535e-04
 27 1.350000e+00 7.00000000e-01  4.106749e-05 2.429851e-04 -2.33519e-04
 28 1.400000e+00 7.00000000e-01  4.135754e-05 2.429648e-04 -2.33504e-04
 29 1.450000e+00 7.00000000e-01  4.164778e-05 2.429444e-04 -2.33488e-04
 30 1.500000e+00 7.00000000e-01  4.193831e-05 2.429240e-04 -2.33473e-04
 31 1.550000e+00 7.00000000e-01  4.222918e-05 2.429036e-04 -2.33457e-04
 32 1.600000e+00 7.00000000e-01  4.252048e-05 2.428832e-04 -2.33442e-04
 33 1.650000e+00 7.00000000e-01  4.281226e-05 2.428627e-04 -2.33426e-04
 34 1.700000e+00 7.00000000e-01  4.310460e-05 2.428422e-04 -2.33410e-04
 35 1.750000e+00 7.00000000e-01  4.339754e-05 2.428217e-04 -2.33395e-04
 36 1.800000e+00 7.00000000e-01  4.369116e-05 2.428011e-04 -2.33379e-04
 37 1.850000e+00 7.00000000e-01  4.398549e-05 2.427805e-04 -2.33363e-04
 38 1.900000e+00 7.00000000e-01  4.428059e-05 2.427598e-04 -2.33347e-04
 39 1.950000e+00 7.00000000e-01  4.457650e-05 2.427390e-04 -2.33331e-04
 40 2.000000e+00 7.00000000e-01  4.487327e-05 2.427183e-04 -2.33316e-04
 41 2.050000e+00 7.00000000e-01  4.517095e-05 2.426974e-04 -2.33300e-04
 42 2.100000e+00 7.00000000e-01  4.546957e-05 2.426765e-04 -2.33284e-04
 43 2.150000e+00 7.00000000e-01  4.576918e-05 2.426555e-04 -2.33268e-04
 44 2.200000e+00 7.00000000e-01  4.606981e-05 2.426344e-04 -2.33251e-04
 45 2.250000e+00 7.00000000e-01  4.637149e-05 2.426133e-04 -2.33235e-04
 46 2.300000e+00 7.00000000e-01  4.667427e-05 2.425921e-04 -2.33219e-04
 47 2.350000e+00 7.00000000e-01  4.697817e-05 2.425708e-04 -2.33203e-04
 48 2.400000e+00 7.00000000e-01  4.728323e-05 2.425495e-04 -2.33186e-04
 49 2.450000e+00 7.00000000e-01  4.758949e-05 2.425280e-04 -2.33170e-04
 50 2.500000e+00 7.00000000e-01  4.789696e-05 2.425065e-04 -2.33154e-04
 51 2.550000e+00 7.00000000e-01  4.820568e-05 2.424849e-04 -2.33137e-04
 52 2.600000e+00 7.00000000e-01  4.851568e-05 2.424632e-04 -2.33120e-04
 53 2.650000e+00 7.00000000e-01  4.882698e-05 2.424414e-04 -2.33104e-04
 54 2.700000e+00 7.00000000e-01  4.913962e-05 2.424196e-04 -2.33087e-04
 55 2.750000e+00 7.00000000e-01  4.945361e-05 2.423976e-04 -2.33070e-04
 56 2.800000e+00 7.00000000e-01  4.976898e-05 2.423755e-04 -2.33053e-04
 57 2.850000e+00 7.00000000e-01  5.008577e-05 2.423534e-04 -2.33036e-04
 58 2.900000e+00 7.00000000e-01  5.040398e-05 2.423311e-04 -2.33019e-04
 59 2.950000e+00 7.00000000e-01  5.072365e-05 2.423088e-04 -2.33002e-04
 60 3.000000e+00 7.00000000e-01  5.104479e-05 2.422863e-04 -2.32985e-04
 61 3.050000e+00 7.00000000e-01  5.136744e-05 2.422638e-04 -2.32968e-04
 62 3.100000e+00 7.00000000e-01  5.169161e-05 2.422411e-04 -2.32951e-04
 63 3.150000e+00 7.00000000e-01  5.201731e-05 2.422184e-04 -2.32933e-04
 64 3.200000e+00 7.00000000e-01  5.234458e-05 2.421955e-04 -2.32916e-04
 65 3.250000e+00 7.00000000e-01  5.267344e-05 2.421725e-04 -2.32898e-04
 66 3.300000e+00 7.00000000e-01  5.300389e-05 2.421495e-04 -2.32880e-04
 67 3.350000e+00 7.00000000e-01  5.333597e-05 2.421263e-04 -2.32863e-04
 68 3.400000e+00 7.00000000e-01  5.366969e-05 2.421030e-04 -2.32845e-04
 69 3.450000e+00 7.00000000e-01  5.400507e-05 2.420795e-04 -2.32827e-04
 70 3.500000e+00 7.00000000e-01  5.434212e-05 2.420560e-04 -2.32809e-04
 71 3.550000e+00 7.00000000e-01  5.468087e-05 2.420324e-04 -2.32791e-04
 72 3.600000e+00 7.00000000e-01  5.502134e-05 2.420086e-04 -2.32772e-04
 73 3.650000e+00 7.00000000e-01  5.536353e-05 2.419847e-04 -2.32754e-04
 74 3.700000e+00 7.00000000e-01  5.570747e-05 2.419607e-04 -2.32736e-04
 75 3.750000e+00 7.00000000e-01  5.605318e-05 2.419366e-04 -2.32717e-04
 76 3.800000e+00 7.00000000e-01  5.640066e-05 2.419124e-04 -2.32699e-04
 77 3.850000e+00 7.00000000e-01  5.674994e-05 2.418880e-04 -2.32680e-04
 78 3.900000e+00 7.00000000e-01  5.710103e-05 2.418635e-04 -2.32661e-04
 79 3.950000e+00 7.00000000e-01  5.745394e-05 2.418389e-04 -2.32642e-04
