Index       V(E)              V(B)             I(V_E)            I(V_B)      
0        0.00000000e+00    7.00000000e-01   -1.09910958e-06    1.15583376e-05
1        5.00000000e-02    7.00000000e-01    3.00226524e-05    1.06226896e-05
2        1.00000000e-01    7.00000000e-01    3.50739083e-05    1.04781848e-05
3        1.50000000e-01    7.00000000e-01    3.61734891e-05    1.04504603e-05
4        2.00000000e-01    7.00000000e-01    3.66711235e-05    1.04402507e-05
5        2.50000000e-01    7.00000000e-01    3.70658004e-05    1.04329076e-05
6        3.00000000e-01    7.00000000e-01    3.74341770e-05    1.04262054e-05
7        3.50000000e-01    7.00000000e-01    3.77898599e-05    1.04197659e-05
8        4.00000000e-01    7.00000000e-01    3.81365500e-05    1.04134984e-05
9        4.50000000e-01    7.00000000e-01    3.84760662e-05    1.04073652e-05
10       5.00000000e-01    7.00000000e-01    3.88096592e-05    1.04013420e-05
11       5.50000000e-01    7.00000000e-01    3.91382913e-05    1.03954110e-05
12       6.00000000e-01    7.00000000e-01    3.94627326e-05    1.03895580e-05
13       6.50000000e-01    7.00000000e-01    3.97836133e-05    1.03837715e-05
14       7.00000000e-01    7.00000000e-01    4.01014577e-05    1.03780419e-05
15       7.50000000e-01    7.00000000e-01    4.04167082e-05    1.03723613e-05
16       8.00000000e-01    7.00000000e-01    4.07297420e-05    1.03667228e-05
17       8.50000000e-01    7.00000000e-01    4.10408844e-05    1.03611204e-05
18       9.00000000e-01    7.00000000e-01    4.13504187e-05    1.03555490e-05
19       9.50000000e-01    7.00000000e-01    4.16585933e-05    1.03500042e-05
20       1.00000000e+00    7.00000000e-01    4.19656277e-05    1.03444820e-05
21       1.05000000e+00    7.00000000e-01    4.22717172e-05    1.03389787e-05
22       1.10000000e+00    7.00000000e-01    4.25770368e-05    1.03334913e-05
23       1.15000000e+00    7.00000000e-01    4.28817440e-05    1.03280170e-05
24       1.20000000e+00    7.00000000e-01    4.31859811e-05    1.03225530e-05
25       1.25000000e+00    7.00000000e-01    4.34898777e-05    1.03170972e-05
26       1.30000000e+00    7.00000000e-01    4.37935522e-05    1.03116474e-05
27       1.35000000e+00    7.00000000e-01    4.40971129e-05    1.03062016e-05
28       1.40000000e+00    7.00000000e-01    4.44006598e-05    1.03007580e-05
29       1.45000000e+00    7.00000000e-01    4.47042850e-05    1.02953150e-05
30       1.50000000e+00    7.00000000e-01    4.50080741e-05    1.02898711e-05
31       1.55000000e+00    7.00000000e-01    4.53121065e-05    1.02844248e-05
32       1.60000000e+00    7.00000000e-01    4.56164563e-05    1.02789748e-05
33       1.65000000e+00    7.00000000e-01    4.59211929e-05    1.02735199e-05
34       1.70000000e+00    7.00000000e-01    4.62263813e-05    1.02680589e-05
35       1.75000000e+00    7.00000000e-01    4.65320825e-05    1.02625907e-05
36       1.80000000e+00    7.00000000e-01    4.68383542e-05    1.02571143e-05
37       1.85000000e+00    7.00000000e-01    4.71452507e-05    1.02516289e-05
38       1.90000000e+00    7.00000000e-01    4.74528234e-05    1.02461333e-05
39       1.95000000e+00    7.00000000e-01    4.77611212e-05    1.02406268e-05
40       2.00000000e+00    7.00000000e-01    4.80701903e-05    1.02351087e-05
41       2.05000000e+00    7.00000000e-01    4.83800751e-05    1.02295780e-05
42       2.10000000e+00    7.00000000e-01    4.86908174e-05    1.02240341e-05
43       2.15000000e+00    7.00000000e-01    4.90024576e-05    1.02184762e-05
44       2.20000000e+00    7.00000000e-01    4.93150340e-05    1.02129038e-05
45       2.25000000e+00    7.00000000e-01    4.96285836e-05    1.02073161e-05
46       2.30000000e+00    7.00000000e-01    4.99431417e-05    1.02017126e-05
47       2.35000000e+00    7.00000000e-01    5.02587421e-05    1.01960927e-05
48       2.40000000e+00    7.00000000e-01    5.05754177e-05    1.01904557e-05
49       2.45000000e+00    7.00000000e-01    5.08931999e-05    1.01848012e-05
50       2.50000000e+00    7.00000000e-01    5.12121190e-05    1.01791287e-05
51       2.55000000e+00    7.00000000e-01    5.15322043e-05    1.01734376e-05
52       2.60000000e+00    7.00000000e-01    5.18534842e-05    1.01677276e-05
53       2.65000000e+00    7.00000000e-01    5.21759860e-05    1.01619980e-05
