Index         V(1)             V(2)             V(3)
0       1.00000000e+00   7.50000000e-01   -1.50000000e+00  
1       2.00000000e+00   1.50000000e+00   -3.00000000e+00  
2       3.00000000e+00   2.25000000e+00   -4.50000000e+00  
3       4.00000000e+00   3.00000000e+00   -6.00000000e+00  
4       5.00000000e+00   3.75000000e+00   -7.50000000e+00  
5       6.00000000e+00   4.50000000e+00   -9.00000000e+00  
6       7.00000000e+00   5.25000000e+00   -1.05000000e+01  
7       8.00000000e+00   6.00000000e+00   -1.20000000e+01  
8       9.00000000e+00   6.75000000e+00   -1.35000000e+01  
9       1.00000000e+01   7.50000000e+00   -1.50000000e+01  
10      1.10000000e+01   8.25000000e+00   -1.65000000e+01  
11      1.20000000e+01   9.00000000e+00   -1.80000000e+01  
End of Xyce(TM) Simulation
