Index         V(1)             V(2)             V(3)             V(4)
0       1.00000000e+00   9.97506234e-01   2.00000000e+00   1.92307692e+00   
1       2.00000000e+00   1.99501247e+00   4.00000000e+00   3.84615385e+00   
2       3.00000000e+00   2.99251870e+00   6.00000000e+00   5.76923077e+00   
3       4.00000000e+00   3.99002494e+00   8.00000000e+00   7.69230769e+00   
4       5.00000000e+00   4.98753117e+00   1.00000000e+01   9.61538462e+00   
5       6.00000000e+00   5.98503741e+00   1.20000000e+01   1.15384615e+01   
6       7.00000000e+00   6.98254364e+00   1.40000000e+01   1.34615385e+01   
7       8.00000000e+00   7.98004988e+00   1.60000000e+01   1.53846154e+01   
8       9.00000000e+00   8.97755611e+00   1.80000000e+01   1.73076923e+01   
9       1.00000000e+01   9.97506234e+00   2.00000000e+01   1.92307692e+01   
End of Xyce(TM) Simulation
