Index         TIME             V(1)             V(2)             V(3)             V(4)
0       0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   
1       1.00000000e-10   1.00000000e-09   9.97506234e-10   2.00000000e-09   1.92307692e-09   
2       3.00000000e-10   3.00000000e-09   2.99251870e-09   6.00000000e-09   5.76923077e-09   
3       7.00000000e-10   7.00000000e-09   6.98254364e-09   1.40000000e-08   1.34615385e-08   
4       1.50000000e-09   1.50000000e-08   1.49625935e-08   3.00000000e-08   2.88461538e-08   
5       3.10000000e-09   3.10000000e-08   3.09226933e-08   6.20000000e-08   5.96153846e-08   
6       6.30000000e-09   6.30000000e-08   6.28428928e-08   1.26000000e-07   1.21153846e-07   
7       1.27000000e-08   1.27000000e-07   1.26683292e-07   2.54000000e-07   2.44230769e-07   
8       2.55000000e-08   2.55000000e-07   2.54364090e-07   5.10000000e-07   4.90384615e-07   
9       5.11000000e-08   5.11000000e-07   5.09725686e-07   1.02200000e-06   9.82692308e-07   
10      1.02300000e-07   1.02300000e-06   1.02044888e-06   2.04600000e-06   1.96730769e-06   
11      2.04700000e-07   2.04700000e-06   2.04189526e-06   4.09400000e-06   3.93653846e-06   
12      4.09500000e-07   4.09500000e-06   4.08478803e-06   8.19000000e-06   7.87500000e-06   
13      8.19100000e-07   8.19100000e-06   8.17057357e-06   1.63820000e-05   1.57519231e-05   
14      1.63830000e-06   1.63830000e-05   1.63421446e-05   3.27660000e-05   3.15057692e-05   
15      3.27670000e-06   3.27670000e-05   3.26852868e-05   6.55340000e-05   6.30134615e-05   
16      6.55350000e-06   6.55350000e-05   6.53715711e-05   1.31070000e-04   1.26028846e-04   
17      1.31071000e-05   1.31071000e-04   1.30744140e-04   2.62142000e-04   2.52059615e-04   
18      2.62143000e-05   2.62143000e-04   2.61489277e-04   5.24286000e-04   5.04121154e-04   
19      5.24287000e-05   5.24287000e-04   5.22979551e-04   1.04857400e-03   1.00824423e-03   
20      1.04857500e-04   1.04857500e-03   1.04596010e-03   2.09715000e-03   2.01649038e-03   
21      2.09715100e-04   2.09715100e-03   2.09192120e-03   4.19430200e-03   4.03298269e-03   
22      4.19430300e-04   4.19430300e-03   4.18384339e-03   8.38860600e-03   8.06596731e-03   
23      8.38860700e-04   8.38860700e-03   8.36768778e-03   1.67772140e-02   1.61319365e-02   
24      1.67772150e-03   1.67772150e-02   1.67353766e-02   3.35544300e-02   3.22638750e-02   
25      3.35544310e-03   3.35544310e-02   3.34707541e-02   6.71088620e-02   6.45277519e-02   
26      6.71088630e-03   6.71088630e-02   6.69415092e-02   1.34217726e-01   1.29055506e-01   
27      1.34217727e-02   1.34217727e-01   1.33883019e-01   2.68435454e-01   2.58111013e-01   
28      2.68435455e-02   2.68435455e-01   2.67766040e-01   5.36870910e-01   5.16222029e-01   
29      5.36870911e-02   5.36870911e-01   5.35532081e-01   1.07374182e+00   1.03244406e+00   
30      1.07374182e-01   1.07374182e+00   1.07106416e+00   2.14748365e+00   2.06488812e+00   
31      2.07374182e-01   2.07374182e+00   2.06857040e+00   4.14748365e+00   3.98796504e+00   
32      3.07374182e-01   3.07374182e+00   3.06607663e+00   6.14748365e+00   5.91104197e+00   
33      4.07374182e-01   4.07374182e+00   4.06358287e+00   8.14748365e+00   7.83411889e+00   
34      5.07374182e-01   5.07374182e+00   5.06108910e+00   1.01474836e+01   9.75719581e+00   
35      6.07374182e-01   6.07374182e+00   6.05859533e+00   1.21474836e+01   1.16802727e+01   
36      7.07374182e-01   7.07374182e+00   7.05610157e+00   1.41474836e+01   1.36033497e+01   
37      8.07374182e-01   8.07374182e+00   8.05360780e+00   1.61474836e+01   1.55264266e+01   
38      9.07374182e-01   9.07374182e+00   9.05111404e+00   1.81474836e+01   1.74495035e+01   
39      1.00000000e+00   1.00000000e+01   9.97506234e+00   2.00000000e+01   1.92307692e+01   
End of Xyce(TM) Simulation
