Index        V(1)             V(3)             V(2)            I(VID)
0       0.00000000e+00   4.00000000e+00   0.00000000e+00   2.62129012e-25   
1       1.00000000e+00   4.00000000e+00   1.00000000e+00   2.16843258e-03   
2       2.00000000e+00   4.00000000e+00   2.00000000e+00   2.16843259e-03   
3       3.00000000e+00   4.00000000e+00   3.00000000e+00   2.16843259e-03   
4       4.00000000e+00   4.00000000e+00   4.00000000e+00   2.16843259e-03   
5       5.00000000e+00   4.00000000e+00   5.00000000e+00   2.16843259e-03   
6       6.00000000e+00   4.00000000e+00   6.00000000e+00   2.16843259e-03   
7       7.00000000e+00   4.00000000e+00   7.00000000e+00   2.16843260e-03   
8       8.00000000e+00   4.00000000e+00   8.00000000e+00   2.16843260e-03   
9       9.00000000e+00   4.00000000e+00   9.00000000e+00   2.16843260e-03   
10      1.00000000e+01   4.00000000e+00   1.00000000e+01   2.16843260e-03   
11      0.00000000e+00   5.00000000e+00   0.00000000e+00   2.39712741e-25   
12      1.00000000e+00   5.00000000e+00   1.00000000e+00   6.32063039e-01   
13      2.00000000e+00   5.00000000e+00   2.00000000e+00   6.70992347e-01   
14      3.00000000e+00   5.00000000e+00   3.00000000e+00   6.71777188e-01   
15      4.00000000e+00   5.00000000e+00   4.00000000e+00   6.71792438e-01   
16      5.00000000e+00   5.00000000e+00   5.00000000e+00   6.71792734e-01   
17      6.00000000e+00   5.00000000e+00   6.00000000e+00   6.71792740e-01   
18      7.00000000e+00   5.00000000e+00   7.00000000e+00   6.71792740e-01   
19      8.00000000e+00   5.00000000e+00   8.00000000e+00   6.71792740e-01   
20      9.00000000e+00   5.00000000e+00   9.00000000e+00   6.71792740e-01   
21      1.00000000e+01   5.00000000e+00   1.00000000e+01   6.71792740e-01   
22      0.00000000e+00   6.00000000e+00   0.00000000e+00   1.88821746e-25   
23      1.00000000e+00   6.00000000e+00   1.00000000e+00   1.29428300e+00   
24      2.00000000e+00   6.00000000e+00   2.00000000e+00   1.87651854e+00   
25      3.00000000e+00   6.00000000e+00   3.00000000e+00   1.99041442e+00   
26      4.00000000e+00   6.00000000e+00   4.00000000e+00   2.00557319e+00   
27      5.00000000e+00   6.00000000e+00   5.00000000e+00   2.00749184e+00   
28      6.00000000e+00   6.00000000e+00   6.00000000e+00   2.00773386e+00   
29      7.00000000e+00   6.00000000e+00   7.00000000e+00   2.00776439e+00   
30      8.00000000e+00   6.00000000e+00   8.00000000e+00   2.00776824e+00   
31      9.00000000e+00   6.00000000e+00   9.00000000e+00   2.00776872e+00   
32      1.00000000e+01   6.00000000e+00   1.00000000e+01   2.00776878e+00   
33      0.00000000e+00   7.00000000e+00   0.00000000e+00   -8.87538948e-23  
34      1.00000000e+00   7.00000000e+00   1.00000000e+00   1.58595206e+00   
35      2.00000000e+00   7.00000000e+00   2.00000000e+00   2.78129282e+00   
36      3.00000000e+00   7.00000000e+00   3.00000000e+00   3.38080955e+00   
37      4.00000000e+00   7.00000000e+00   4.00000000e+00   3.57399233e+00   
38      5.00000000e+00   7.00000000e+00   5.00000000e+00   3.62369972e+00   
39      6.00000000e+00   7.00000000e+00   6.00000000e+00   3.63575038e+00   
40      7.00000000e+00   7.00000000e+00   7.00000000e+00   3.63864008e+00   
41      8.00000000e+00   7.00000000e+00   8.00000000e+00   3.63933202e+00   
42      9.00000000e+00   7.00000000e+00   9.00000000e+00   3.63949766e+00   
43      1.00000000e+01   7.00000000e+00   1.00000000e+01   3.63953732e+00   
44      0.00000000e+00   8.00000000e+00   0.00000000e+00   -2.38378977e-20  
45      1.00000000e+00   8.00000000e+00   1.00000000e+00   1.74480831e+00   
46      2.00000000e+00   8.00000000e+00   2.00000000e+00   3.26404138e+00   
47      3.00000000e+00   8.00000000e+00   3.00000000e+00   4.37298021e+00   
48      4.00000000e+00   8.00000000e+00   4.00000000e+00   4.98990160e+00   
49      5.00000000e+00   8.00000000e+00   5.00000000e+00   5.25159106e+00   
50      6.00000000e+00   8.00000000e+00   6.00000000e+00   5.34611818e+00   
51      7.00000000e+00   8.00000000e+00   7.00000000e+00   5.37822194e+00   
52      8.00000000e+00   8.00000000e+00   8.00000000e+00   5.38892794e+00   
53      9.00000000e+00   8.00000000e+00   9.00000000e+00   5.39248153e+00   
54      1.00000000e+01   8.00000000e+00   1.00000000e+01   5.39365987e+00   
End of Xyce(TM) Simulation
