Index        V(1)             V(3)             V(2)            I(VID)
0       0.00000000e+00   -3.35000000e+00  0.00000000e+00   -1.53884675e-25  
1       -5.00000000e-01  -3.35000000e+00  -5.00000000e-01  -1.22469137e-01  
2       -1.00000000e+00  -3.35000000e+00  -1.00000000e+00  -1.25388755e-01  
3       -1.50000000e+00  -3.35000000e+00  -1.50000000e+00  -1.28243303e-01  
4       -2.00000000e+00  -3.35000000e+00  -2.00000000e+00  -1.31097084e-01  
5       -2.50000000e+00  -3.35000000e+00  -2.50000000e+00  -1.33950110e-01  
6       -3.00000000e+00  -3.35000000e+00  -3.00000000e+00  -1.36802384e-01  
7       -3.50000000e+00  -3.35000000e+00  -3.50000000e+00  -1.39653904e-01  
8       -4.00000000e+00  -3.35000000e+00  -4.00000000e+00  -1.42504673e-01  
9       -4.50000000e+00  -3.35000000e+00  -4.50000000e+00  -1.45354689e-01  
10      -5.00000000e+00  -3.35000000e+00  -5.00000000e+00  -1.48203954e-01  
11      0.00000000e+00   -3.60000000e+00  0.00000000e+00   -1.37324906e-25  
12      -5.00000000e-01  -3.60000000e+00  -5.00000000e-01  -6.34319477e-01  
13      -1.00000000e+00  -3.60000000e+00  -1.00000000e+00  -6.69857290e-01  
14      -1.50000000e+00  -3.60000000e+00  -1.50000000e+00  -6.85206924e-01  
15      -2.00000000e+00  -3.60000000e+00  -2.00000000e+00  -7.00332413e-01  
16      -2.50000000e+00  -3.60000000e+00  -2.50000000e+00  -7.15446350e-01  
17      -3.00000000e+00  -3.60000000e+00  -3.00000000e+00  -7.30550936e-01  
18      -3.50000000e+00  -3.60000000e+00  -3.50000000e+00  -7.45646205e-01  
19      -4.00000000e+00  -3.60000000e+00  -4.00000000e+00  -7.60732167e-01  
20      -4.50000000e+00  -3.60000000e+00  -4.50000000e+00  -7.75808834e-01  
21      -5.00000000e+00  -3.60000000e+00  -5.00000000e+00  -7.90876216e-01  
22      0.00000000e+00   -3.85000000e+00  0.00000000e+00   -1.22986571e-25  
23      -5.00000000e-01  -3.85000000e+00  -5.00000000e-01  -1.34418767e+00  
24      -1.00000000e+00  -3.85000000e+00  -1.00000000e+00  -1.63211926e+00  
25      -1.50000000e+00  -3.85000000e+00  -1.50000000e+00  -1.68402670e+00  
26      -2.00000000e+00  -3.85000000e+00  -2.00000000e+00  -1.72164628e+00  
27      -2.50000000e+00  -3.85000000e+00  -2.50000000e+00  -1.75854000e+00  
28      -3.00000000e+00  -3.85000000e+00  -3.00000000e+00  -1.79536567e+00  
29      -3.50000000e+00  -3.85000000e+00  -3.50000000e+00  -1.83215478e+00  
30      -4.00000000e+00  -3.85000000e+00  -4.00000000e+00  -1.86890889e+00  
31      -4.50000000e+00  -3.85000000e+00  -4.50000000e+00  -1.90562814e+00  
32      -5.00000000e+00  -3.85000000e+00  -5.00000000e+00  -1.94231260e+00  
33      0.00000000e+00   -4.10000000e+00  0.00000000e+00   -1.11475512e-25  
34      -5.00000000e-01  -4.10000000e+00  -5.00000000e-01  -1.94192841e+00  
35      -1.00000000e+00  -4.10000000e+00  -1.00000000e+00  -2.84043151e+00  
36      -1.50000000e+00  -4.10000000e+00  -1.50000000e+00  -3.05484283e+00  
37      -2.00000000e+00  -4.10000000e+00  -2.00000000e+00  -3.13819445e+00  
38      -2.50000000e+00  -4.10000000e+00  -2.50000000e+00  -3.20665194e+00  
39      -3.00000000e+00  -4.10000000e+00  -3.00000000e+00  -3.27349983e+00  
40      -3.50000000e+00  -4.10000000e+00  -3.50000000e+00  -3.34010963e+00  
41      -4.00000000e+00  -4.10000000e+00  -4.00000000e+00  -3.40662133e+00  
42      -4.50000000e+00  -4.10000000e+00  -4.50000000e+00  -3.47304932e+00  
43      -5.00000000e+00  -4.10000000e+00  -5.00000000e+00  -3.53939523e+00  
End of Xyce(TM) Simulation
