Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}   
0       -1.00000000e-01    0.00000000e+00   -5.38512421e-08
1       -9.90000000e-02    0.00000000e+00   -5.19211322e-08
2       -9.80000000e-02    0.00000000e+00   -5.00585473e-08
3       -9.70000000e-02    0.00000000e+00   -4.82611883e-08
4       -9.60000000e-02    0.00000000e+00   -4.65268310e-08
5       -9.50000000e-02    0.00000000e+00   -4.48533238e-08
6       -9.40000000e-02    0.00000000e+00   -4.32385859e-08
7       -9.30000000e-02    0.00000000e+00   -4.16806045e-08
8       -9.20000000e-02    0.00000000e+00   -4.01774329e-08
9       -9.10000000e-02    0.00000000e+00   -3.87271888e-08
10      -9.00000000e-02    0.00000000e+00   -3.73280518e-08
11      -8.90000000e-02    0.00000000e+00   -3.59782618e-08
12      -8.80000000e-02    0.00000000e+00   -3.46761170e-08
13      -8.70000000e-02    0.00000000e+00   -3.34199720e-08
14      -8.60000000e-02    0.00000000e+00   -3.22082360e-08
15      -8.50000000e-02    0.00000000e+00   -3.10393712e-08
16      -8.40000000e-02    0.00000000e+00   -2.99118912e-08
17      -8.30000000e-02    0.00000000e+00   -2.88243589e-08
18      -8.20000000e-02    0.00000000e+00   -2.77753855e-08
19      -8.10000000e-02    0.00000000e+00   -2.67636284e-08
20      -8.00000000e-02    0.00000000e+00   -2.57877902e-08
21      -7.90000000e-02    0.00000000e+00   -2.48466169e-08
22      -7.80000000e-02    0.00000000e+00   -2.39388966e-08
23      -7.70000000e-02    0.00000000e+00   -2.30634581e-08
24      -7.60000000e-02    0.00000000e+00   -2.22191697e-08
25      -7.50000000e-02    0.00000000e+00   -2.14049376e-08
26      -7.40000000e-02    0.00000000e+00   -2.06197051e-08
27      -7.30000000e-02    0.00000000e+00   -1.98624508e-08
28      -7.20000000e-02    0.00000000e+00   -1.91321879e-08
29      -7.10000000e-02    0.00000000e+00   -1.84279631e-08
30      -7.00000000e-02    0.00000000e+00   -1.77488548e-08
31      -6.90000000e-02    0.00000000e+00   -1.70939729e-08
32      -6.80000000e-02    0.00000000e+00   -1.64624572e-08
33      -6.70000000e-02    0.00000000e+00   -1.58534765e-08
34      -6.60000000e-02    0.00000000e+00   -1.52662277e-08
35      -6.50000000e-02    0.00000000e+00   -1.46999348e-08
36      -6.40000000e-02    0.00000000e+00   -1.41538479e-08
37      -6.30000000e-02    0.00000000e+00   -1.36272424e-08
38      -6.20000000e-02    0.00000000e+00   -1.31194181e-08
39      -6.10000000e-02    0.00000000e+00   -1.26296985e-08
40      -6.00000000e-02    0.00000000e+00   -1.21574295e-08
41      -5.90000000e-02    0.00000000e+00   -1.17019793e-08
42      -5.80000000e-02    0.00000000e+00   -1.12627372e-08
43      -5.70000000e-02    0.00000000e+00   -1.08391129e-08
44      -5.60000000e-02    0.00000000e+00   -1.04305358e-08
45      -5.50000000e-02    0.00000000e+00   -1.00364545e-08
46      -5.40000000e-02    0.00000000e+00   -9.65633600e-09
47      -5.30000000e-02    0.00000000e+00   -9.28966496e-09
48      -5.20000000e-02    0.00000000e+00   -8.93594328e-09
49      -5.10000000e-02    0.00000000e+00   -8.59468943e-09
50      -5.00000000e-02    0.00000000e+00   -8.26543791e-09
51      -4.90000000e-02    0.00000000e+00   -7.94773870e-09
52      -4.80000000e-02    0.00000000e+00   -7.64115675e-09
53      -4.70000000e-02    0.00000000e+00   -7.34527149e-09
54      -4.60000000e-02    0.00000000e+00   -7.05967638e-09
55      -4.50000000e-02    0.00000000e+00   -6.78397840e-09
56      -4.40000000e-02    0.00000000e+00   -6.51779766e-09
57      -4.30000000e-02    0.00000000e+00   -6.26076690e-09
58      -4.20000000e-02    0.00000000e+00   -6.01253108e-09
59      -4.10000000e-02    0.00000000e+00   -5.77274688e-09
60      -4.00000000e-02    0.00000000e+00   -5.54108223e-09
61      -3.90000000e-02    0.00000000e+00   -5.31721578e-09
62      -3.80000000e-02    0.00000000e+00   -5.10083628e-09
63      -3.70000000e-02    0.00000000e+00   -4.89164199e-09
64      -3.60000000e-02    0.00000000e+00   -4.68933991e-09
65      -3.50000000e-02    0.00000000e+00   -4.49364504e-09
66      -3.40000000e-02    0.00000000e+00   -4.30427949e-09
67      -3.30000000e-02    0.00000000e+00   -4.12097164e-09
68      -3.20000000e-02    0.00000000e+00   -3.94345519e-09
69      -3.10000000e-02    0.00000000e+00   -3.77146836e-09
70      -3.00000000e-02    0.00000000e+00   -3.60475314e-09
71      -2.90000000e-02    0.00000000e+00   -3.44305471e-09
72      -2.80000000e-02    0.00000000e+00   -3.28612117e-09
73      -2.70000000e-02    0.00000000e+00   -3.13370351e-09
74      -2.60000000e-02    0.00000000e+00   -2.98555599e-09
75      -2.50000000e-02    0.00000000e+00   -2.84143680e-09
76      -2.40000000e-02    0.00000000e+00   -2.70110907e-09
77      -2.30000000e-02    0.00000000e+00   -2.56434203e-09
78      -2.20000000e-02    0.00000000e+00   -2.43091233e-09
79      -2.10000000e-02    0.00000000e+00   -2.30060530e-09
80      -2.00000000e-02    0.00000000e+00   -2.17321600e-09
81      -1.90000000e-02    0.00000000e+00   -2.04855008e-09
82      -1.80000000e-02    0.00000000e+00   -1.92642416e-09
83      -1.70000000e-02    0.00000000e+00   -1.80666590e-09
84      -1.60000000e-02    0.00000000e+00   -1.68911360e-09
85      -1.50000000e-02    0.00000000e+00   -1.57361546e-09
86      -1.40000000e-02    0.00000000e+00   -1.46002851e-09
87      -1.30000000e-02    0.00000000e+00   -1.34821736e-09
88      -1.20000000e-02    0.00000000e+00   -1.23805274e-09
89      -1.10000000e-02    0.00000000e+00   -1.12941000e-09
90      -1.00000000e-02    0.00000000e+00   -1.02216769e-09
91      -9.00000000e-03    0.00000000e+00   -9.16206123e-10
92      -8.00000000e-03    0.00000000e+00   -8.11406098e-10
93      -7.00000000e-03    0.00000000e+00   -7.07647830e-10
94      -6.00000000e-03    0.00000000e+00   -6.04810011e-10
95      -5.00000000e-03    0.00000000e+00   -5.02769113e-10
96      -4.00000000e-03    0.00000000e+00   -4.01398909e-10
97      -3.00000000e-03    0.00000000e+00   -3.00570239e-10
98      -2.00000000e-03    0.00000000e+00   -2.00151020e-10
99      -1.00000000e-03    0.00000000e+00   -1.00006534e-10
100      0.00000000e+00    0.00000000e+00   -7.90564845e-25
101      1.00000000e-03    0.00000000e+00    1.00006534e-10
102      2.00000000e-03    0.00000000e+00    2.00151021e-10
103      3.00000000e-03    0.00000000e+00    3.00570240e-10
104      4.00000000e-03    0.00000000e+00    4.01398911e-10
105      5.00000000e-03    0.00000000e+00    5.02769116e-10
106      6.00000000e-03    0.00000000e+00    6.04810016e-10
107      7.00000000e-03    0.00000000e+00    7.07647836e-10
108      8.00000000e-03    0.00000000e+00    8.11406106e-10
109      9.00000000e-03    0.00000000e+00    9.16206133e-10
110      1.00000000e-02    0.00000000e+00    1.02216771e-09
111      1.10000000e-02    0.00000000e+00    1.12941002e-09
112      1.20000000e-02    0.00000000e+00    1.23805275e-09
113      1.30000000e-02    0.00000000e+00    1.34821738e-09
114      1.40000000e-02    0.00000000e+00    1.46002853e-09
115      1.50000000e-02    0.00000000e+00    1.57361548e-09
116      1.60000000e-02    0.00000000e+00    1.68911363e-09
117      1.70000000e-02    0.00000000e+00    1.80666594e-09
118      1.80000000e-02    0.00000000e+00    1.92642421e-09
119      1.90000000e-02    0.00000000e+00    2.04855013e-09
120      2.00000000e-02    0.00000000e+00    2.17321605e-09
121      2.10000000e-02    0.00000000e+00    2.30060535e-09
122      2.20000000e-02    0.00000000e+00    2.43091240e-09
123      2.30000000e-02    0.00000000e+00    2.56434210e-09
124      2.40000000e-02    0.00000000e+00    2.70110915e-09
125      2.50000000e-02    0.00000000e+00    2.84143689e-09
126      2.60000000e-02    0.00000000e+00    2.98555608e-09
127      2.70000000e-02    0.00000000e+00    3.13370361e-09
128      2.80000000e-02    0.00000000e+00    3.28612128e-09
129      2.90000000e-02    0.00000000e+00    3.44305483e-09
130      3.00000000e-02    0.00000000e+00    3.60475327e-09
131      3.10000000e-02    0.00000000e+00    3.77146850e-09
132      3.20000000e-02    0.00000000e+00    3.94345534e-09
133      3.30000000e-02    0.00000000e+00    4.12097180e-09
134      3.40000000e-02    0.00000000e+00    4.30427967e-09
135      3.50000000e-02    0.00000000e+00    4.49364524e-09
136      3.60000000e-02    0.00000000e+00    4.68934013e-09
137      3.70000000e-02    0.00000000e+00    4.89164223e-09
138      3.80000000e-02    0.00000000e+00    5.10083654e-09
139      3.90000000e-02    0.00000000e+00    5.31721606e-09
140      4.00000000e-02    0.00000000e+00    5.54108255e-09
141      4.10000000e-02    0.00000000e+00    5.77274722e-09
142      4.20000000e-02    0.00000000e+00    6.01253145e-09
143      4.30000000e-02    0.00000000e+00    6.26076731e-09
144      4.40000000e-02    0.00000000e+00    6.51779811e-09
145      4.50000000e-02    0.00000000e+00    6.78397889e-09
146      4.60000000e-02    0.00000000e+00    7.05967690e-09
147      4.70000000e-02    0.00000000e+00    7.34527206e-09
148      4.80000000e-02    0.00000000e+00    7.64115737e-09
149      4.90000000e-02    0.00000000e+00    7.94773937e-09
150      5.00000000e-02    0.00000000e+00    8.26543865e-09
151      5.10000000e-02    0.00000000e+00    8.59469023e-09
152      5.20000000e-02    0.00000000e+00    8.93594414e-09
153      5.30000000e-02    0.00000000e+00    9.28966589e-09
154      5.40000000e-02    0.00000000e+00    9.65633701e-09
155      5.50000000e-02    0.00000000e+00    1.00364556e-08
156      5.60000000e-02    0.00000000e+00    1.04305370e-08
157      5.70000000e-02    0.00000000e+00    1.08391141e-08
158      5.80000000e-02    0.00000000e+00    1.12627386e-08
159      5.90000000e-02    0.00000000e+00    1.17019808e-08
160      6.00000000e-02    0.00000000e+00    1.21574311e-08
161      6.10000000e-02    0.00000000e+00    1.26297002e-08
162      6.20000000e-02    0.00000000e+00    1.31194200e-08
163      6.30000000e-02    0.00000000e+00    1.36272444e-08
164      6.40000000e-02    0.00000000e+00    1.41538500e-08
165      6.50000000e-02    0.00000000e+00    1.46999371e-08
166      6.60000000e-02    0.00000000e+00    1.52662302e-08
167      6.70000000e-02    0.00000000e+00    1.58534791e-08
168      6.80000000e-02    0.00000000e+00    1.64624600e-08
169      6.90000000e-02    0.00000000e+00    1.70939759e-08
170      7.00000000e-02    0.00000000e+00    1.77488579e-08
171      7.10000000e-02    0.00000000e+00    1.84279664e-08
172      7.20000000e-02    0.00000000e+00    1.91321915e-08
173      7.30000000e-02    0.00000000e+00    1.98624545e-08
174      7.40000000e-02    0.00000000e+00    2.06197091e-08
175      7.50000000e-02    0.00000000e+00    2.14049419e-08
176      7.60000000e-02    0.00000000e+00    2.22191742e-08
177      7.70000000e-02    0.00000000e+00    2.30634629e-08
178      7.80000000e-02    0.00000000e+00    2.39389017e-08
179      7.90000000e-02    0.00000000e+00    2.48466223e-08
180      8.00000000e-02    0.00000000e+00    2.57877959e-08
181      8.10000000e-02    0.00000000e+00    2.67636344e-08
182      8.20000000e-02    0.00000000e+00    2.77753918e-08
183      8.30000000e-02    0.00000000e+00    2.88243656e-08
184      8.40000000e-02    0.00000000e+00    2.99118983e-08
185      8.50000000e-02    0.00000000e+00    3.10393787e-08
186      8.60000000e-02    0.00000000e+00    3.22082438e-08
187      8.70000000e-02    0.00000000e+00    3.34199802e-08
188      8.80000000e-02    0.00000000e+00    3.46761257e-08
189      8.90000000e-02    0.00000000e+00    3.59782710e-08
190      9.00000000e-02    0.00000000e+00    3.73280614e-08
191      9.10000000e-02    0.00000000e+00    3.87271989e-08
192      9.20000000e-02    0.00000000e+00    4.01774435e-08
193      9.30000000e-02    0.00000000e+00    4.16806156e-08
194      9.40000000e-02    0.00000000e+00    4.32385976e-08
195      9.50000000e-02    0.00000000e+00    4.48533361e-08
196      9.60000000e-02    0.00000000e+00    4.65268438e-08
197      9.70000000e-02    0.00000000e+00    4.82612018e-08
198      9.80000000e-02    0.00000000e+00    5.00585614e-08
199      9.90000000e-02    0.00000000e+00    5.19211470e-08
200      1.00000000e-01    0.00000000e+00    5.38512576e-08
201     -1.00000000e-01    2.00000000e-01   -1.25534207e-05
202     -9.90000000e-02    2.00000000e-01   -1.23111697e-05
203     -9.80000000e-02    2.00000000e-01   -1.20719731e-05
204     -9.70000000e-02    2.00000000e-01   -1.18358202e-05
205     -9.60000000e-02    2.00000000e-01   -1.16027001e-05
206     -9.50000000e-02    2.00000000e-01   -1.13726016e-05
207     -9.40000000e-02    2.00000000e-01   -1.11455129e-05
208     -9.30000000e-02    2.00000000e-01   -1.09214219e-05
209     -9.20000000e-02    2.00000000e-01   -1.07003161e-05
210     -9.10000000e-02    2.00000000e-01   -1.04821827e-05
211     -9.00000000e-02    2.00000000e-01   -1.02670084e-05
212     -8.90000000e-02    2.00000000e-01   -1.00547796e-05
213     -8.80000000e-02    2.00000000e-01   -9.84548208e-06
214     -8.70000000e-02    2.00000000e-01   -9.63910150e-06
215     -8.60000000e-02    2.00000000e-01   -9.43562293e-06
216     -8.50000000e-02    2.00000000e-01   -9.23503108e-06
217     -8.40000000e-02    2.00000000e-01   -9.03731024e-06
218     -8.30000000e-02    2.00000000e-01   -8.84244427e-06
219     -8.20000000e-02    2.00000000e-01   -8.65041664e-06
220     -8.10000000e-02    2.00000000e-01   -8.46121036e-06
221     -8.00000000e-02    2.00000000e-01   -8.27480802e-06
222     -7.90000000e-02    2.00000000e-01   -8.09119181e-06
223     -7.80000000e-02    2.00000000e-01   -7.91034343e-06
224     -7.70000000e-02    2.00000000e-01   -7.73224420e-06
225     -7.60000000e-02    2.00000000e-01   -7.55687495e-06
226     -7.50000000e-02    2.00000000e-01   -7.38421609e-06
227     -7.40000000e-02    2.00000000e-01   -7.21424759e-06
228     -7.30000000e-02    2.00000000e-01   -7.04694895e-06
229     -7.20000000e-02    2.00000000e-01   -6.88229922e-06
230     -7.10000000e-02    2.00000000e-01   -6.72027698e-06
231     -7.00000000e-02    2.00000000e-01   -6.56086037e-06
232     -6.90000000e-02    2.00000000e-01   -6.40402706e-06
233     -6.80000000e-02    2.00000000e-01   -6.24975422e-06
234     -6.70000000e-02    2.00000000e-01   -6.09801859e-06
235     -6.60000000e-02    2.00000000e-01   -5.94879640e-06
236     -6.50000000e-02    2.00000000e-01   -5.80206343e-06
237     -6.40000000e-02    2.00000000e-01   -5.65779495e-06
238     -6.30000000e-02    2.00000000e-01   -5.51596576e-06
239     -6.20000000e-02    2.00000000e-01   -5.37655017e-06
240     -6.10000000e-02    2.00000000e-01   -5.23952201e-06
241     -6.00000000e-02    2.00000000e-01   -5.10485460e-06
242     -5.90000000e-02    2.00000000e-01   -4.97252081e-06
243     -5.80000000e-02    2.00000000e-01   -4.84249297e-06
244     -5.70000000e-02    2.00000000e-01   -4.71474297e-06
245     -5.60000000e-02    2.00000000e-01   -4.58924217e-06
246     -5.50000000e-02    2.00000000e-01   -4.46596148e-06
247     -5.40000000e-02    2.00000000e-01   -4.34487132e-06
248     -5.30000000e-02    2.00000000e-01   -4.22594162e-06
249     -5.20000000e-02    2.00000000e-01   -4.10914186e-06
250     -5.10000000e-02    2.00000000e-01   -3.99444102e-06
251     -5.00000000e-02    2.00000000e-01   -3.88180765e-06
252     -4.90000000e-02    2.00000000e-01   -3.77120979e-06
253     -4.80000000e-02    2.00000000e-01   -3.66261506e-06
254     -4.70000000e-02    2.00000000e-01   -3.55599057e-06
255     -4.60000000e-02    2.00000000e-01   -3.45130295e-06
256     -4.50000000e-02    2.00000000e-01   -3.34851835e-06
257     -4.40000000e-02    2.00000000e-01   -3.24760236e-06
258     -4.30000000e-02    2.00000000e-01   -3.14852000e-06
259     -4.20000000e-02    2.00000000e-01   -3.05123568e-06
260     -4.10000000e-02    2.00000000e-01   -2.95571307e-06
261     -4.00000000e-02    2.00000000e-01   -2.86191508e-06
262     -3.90000000e-02    2.00000000e-01   -2.76980370e-06
263     -3.80000000e-02    2.00000000e-01   -2.67933990e-06
264     -3.70000000e-02    2.00000000e-01   -2.59048349e-06
265     -3.60000000e-02    2.00000000e-01   -2.50319294e-06
266     -3.50000000e-02    2.00000000e-01   -2.41742527e-06
267     -3.40000000e-02    2.00000000e-01   -2.33313588e-06
268     -3.30000000e-02    2.00000000e-01   -2.25027844e-06
269     -3.20000000e-02    2.00000000e-01   -2.16880484e-06
270     -3.10000000e-02    2.00000000e-01   -2.08866516e-06
271     -3.00000000e-02    2.00000000e-01   -2.00980773e-06
272     -2.90000000e-02    2.00000000e-01   -1.93217927e-06
273     -2.80000000e-02    2.00000000e-01   -1.85572519e-06
274     -2.70000000e-02    2.00000000e-01   -1.78038989e-06
275     -2.60000000e-02    2.00000000e-01   -1.70611723e-06
276     -2.50000000e-02    2.00000000e-01   -1.63285105e-06
277     -2.40000000e-02    2.00000000e-01   -1.56053569e-06
278     -2.30000000e-02    2.00000000e-01   -1.48911663e-06
279     -2.20000000e-02    2.00000000e-01   -1.41854098e-06
280     -2.10000000e-02    2.00000000e-01   -1.34875803e-06
281     -2.00000000e-02    2.00000000e-01   -1.27971956e-06
282     -1.90000000e-02    2.00000000e-01   -1.21138023e-06
