Index     V(DRAIN)           V(GATE)        {-I(VDRAIN)}   
0       -1.00000000e-01    0.00000000e+00   -4.01029065e-10
1       -9.90000000e-02    0.00000000e+00   -3.86710470e-10
2       -9.80000000e-02    0.00000000e+00   -3.72898963e-10
3       -9.70000000e-02    0.00000000e+00   -3.59576667e-10
4       -9.60000000e-02    0.00000000e+00   -3.46726330e-10
5       -9.50000000e-02    0.00000000e+00   -3.34331304e-10
6       -9.40000000e-02    0.00000000e+00   -3.22375523e-10
7       -9.30000000e-02    0.00000000e+00   -3.10843484e-10
8       -9.20000000e-02    0.00000000e+00   -2.99720225e-10
9       -9.10000000e-02    0.00000000e+00   -2.88991308e-10
10      -9.00000000e-02    0.00000000e+00   -2.78642803e-10
11      -8.90000000e-02    0.00000000e+00   -2.68661265e-10
12      -8.80000000e-02    0.00000000e+00   -2.59033720e-10
13      -8.70000000e-02    0.00000000e+00   -2.49747650e-10
14      -8.60000000e-02    0.00000000e+00   -2.40790973e-10
15      -8.50000000e-02    0.00000000e+00   -2.32152034e-10
16      -8.40000000e-02    0.00000000e+00   -2.23819581e-10
17      -8.30000000e-02    0.00000000e+00   -2.15782762e-10
18      -8.20000000e-02    0.00000000e+00   -2.08031099e-10
19      -8.10000000e-02    0.00000000e+00   -2.00554487e-10
20      -8.00000000e-02    0.00000000e+00   -1.93343170e-10
21      -7.90000000e-02    0.00000000e+00   -1.86387737e-10
22      -7.80000000e-02    0.00000000e+00   -1.79679104e-10
23      -7.70000000e-02    0.00000000e+00   -1.73208508e-10
24      -7.60000000e-02    0.00000000e+00   -1.66967490e-10
25      -7.50000000e-02    0.00000000e+00   -1.60947887e-10
26      -7.40000000e-02    0.00000000e+00   -1.55141824e-10
27      -7.30000000e-02    0.00000000e+00   -1.49541700e-10
28      -7.20000000e-02    0.00000000e+00   -1.44140178e-10
29      -7.10000000e-02    0.00000000e+00   -1.38930181e-10
30      -7.00000000e-02    0.00000000e+00   -1.33904875e-10
31      -6.90000000e-02    0.00000000e+00   -1.29057667e-10
32      -6.80000000e-02    0.00000000e+00   -1.24382194e-10
33      -6.70000000e-02    0.00000000e+00   -1.19872312e-10
34      -6.60000000e-02    0.00000000e+00   -1.15522093e-10
35      -6.50000000e-02    0.00000000e+00   -1.11325814e-10
36      -6.40000000e-02    0.00000000e+00   -1.07277952e-10
37      -6.30000000e-02    0.00000000e+00   -1.03373172e-10
38      -6.20000000e-02    0.00000000e+00   -9.96063274e-11
39      -6.10000000e-02    0.00000000e+00   -9.59724459e-11
40      -6.00000000e-02    0.00000000e+00   -9.24667280e-11
41      -5.90000000e-02    0.00000000e+00   -8.90845385e-11
42      -5.80000000e-02    0.00000000e+00   -8.58214009e-11
43      -5.70000000e-02    0.00000000e+00   -8.26729912e-11
44      -5.60000000e-02    0.00000000e+00   -7.96351324e-11
45      -5.50000000e-02    0.00000000e+00   -7.67037888e-11
