Index   TIME           V(1)           
0       0.00000000e+00  0.00000000e+00  
1       1.00000000e-07  0.00000000e+00  
2       2.00000000e-07  0.00000000e+00  
3       3.00000000e-07  0.00000000e+00  
4       4.00000000e-07  0.00000000e+00  
5       5.00000000e-07  0.00000000e+00  
6       6.00000000e-07  0.00000000e+00  
7       7.00000000e-07  0.00000000e+00  
8       8.00000000e-07  0.00000000e+00  
9       9.00000000e-07  0.00000000e+00  
10      1.00000000e-06  0.00000000e+00  
11      1.10000000e-06  4.75812910e-01  
12      1.20000000e-06  9.06346235e-01  
13      1.30000000e-06  1.29590890e+00  
14      1.40000000e-06  1.64839977e+00  
15      1.50000000e-06  1.96734670e+00  
16      1.60000000e-06  2.25594182e+00  
17      1.70000000e-06  2.51707348e+00  
18      1.80000000e-06  2.75335518e+00  
19      1.90000000e-06  2.96715170e+00  
20      2.00000000e-06  3.16060279e+00  
21      2.10000000e-06  3.33564458e+00  
22      2.20000000e-06  3.49402894e+00  
23      2.30000000e-06  3.63734103e+00  
24      2.40000000e-06  3.76701518e+00  
25      2.50000000e-06  3.88434920e+00  
26      2.60000000e-06  3.99051741e+00  
27      2.70000000e-06  4.08658238e+00  
28      2.80000000e-06  4.17350556e+00  
29      2.90000000e-06  4.25215690e+00  
30      3.00000000e-06  4.32332358e+00  
31      3.10000000e-06  4.38771786e+00  
32      3.20000000e-06  4.44598421e+00  
33      3.30000000e-06  4.49870578e+00  
34      3.40000000e-06  4.54641023e+00  
35      3.50000000e-06  4.58957501e+00  
36      3.60000000e-06  4.62863211e+00  
37      3.70000000e-06  4.66397244e+00  
38      3.80000000e-06  4.69594969e+00  
39      3.90000000e-06  4.72488390e+00  
40      4.00000000e-06  4.75106466e+00  
41      4.10000000e-06  4.77475399e+00  
42      4.20000000e-06  4.79618898e+00  
43      4.30000000e-06  4.81558416e+00  
44      4.40000000e-06  4.83313365e+00  
45      4.50000000e-06  4.84901308e+00  
46      4.60000000e-06  4.86338139e+00  
47      4.70000000e-06  4.87638237e+00  
48      4.80000000e-06  4.88814614e+00  
49      4.90000000e-06  4.89879044e+00  
50      5.00000000e-06  4.90842181e+00  
End of Xyce(TM) Simulation
