Index       TIME              V(1)              V(2)              V(3)              V(4)              V(5)              V(6)       
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        5.00000000e-03    7.50000000e-03    7.50000000e-03    7.50000000e-03    0.00000000e+00    0.00000000e+00    0.00000000e+00
2        1.50000000e-02    2.25000000e-02    2.25000000e-02    2.25000000e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00
3        3.50000000e-02    5.25000000e-02    5.25000000e-02    5.25000000e-02    0.00000000e+00    0.00000000e+00    0.00000000e+00
4        7.50000000e-02    1.12500000e-01    1.12500000e-01    1.12500000e-01    0.00000000e+00    0.00000000e+00    0.00000000e+00
5        1.55000000e-01    2.32500000e-01    2.32500000e-01    2.32500000e-01    0.00000000e+00    0.00000000e+00    0.00000000e+00
6        3.15000000e-01    4.72500000e-01    4.72500000e-01    4.72500000e-01    0.00000000e+00    0.00000000e+00    0.00000000e+00
7        6.35000000e-01    9.52500000e-01    9.52500000e-01    9.52500000e-01    0.00000000e+00    0.00000000e+00    0.00000000e+00
8        1.00000000e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
9        1.00400000e+00    1.50600000e+00    1.50600000e+00    1.50600000e+00    6.00000000e-03    6.00000000e-03    6.00000000e-03
10       1.00800000e+00    1.51200000e+00    1.51200000e+00    1.51200000e+00    1.20000000e-02    1.20000000e-02    1.20000000e-02
11       1.01600000e+00    1.52400000e+00    1.52400000e+00    1.52400000e+00    2.40000000e-02    2.40000000e-02    2.40000000e-02
12       1.03200000e+00    1.54800000e+00    1.54800000e+00    1.54800000e+00    4.80000000e-02    4.80000000e-02    4.80000000e-02
13       1.06400000e+00    1.59600000e+00    1.59600000e+00    1.59600000e+00    9.60000000e-02    9.60000000e-02    9.60000000e-02
14       1.12800000e+00    1.69200000e+00    1.69200000e+00    1.69200000e+00    1.92000000e-01    1.92000000e-01    1.92000000e-01
15       1.25600000e+00    1.88400000e+00    1.88400000e+00    1.88400000e+00    3.84000000e-01    3.84000000e-01    3.84000000e-01
16       1.51200000e+00    2.26800000e+00    2.26800000e+00    2.26800000e+00    7.68000000e-01    7.68000000e-01    7.68000000e-01
17       2.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00    1.50000000e+00    1.50000000e+00    1.50000000e+00
18       2.01305596e+00    2.98694404e+00    2.98694404e+00    2.98694404e+00    1.51958394e+00    1.51958394e+00    1.51958394e+00
19       2.02339764e+00    2.97660236e+00    2.97660236e+00    2.97660236e+00    1.53509647e+00    1.53509647e+00    1.53509647e+00
20       2.04408101e+00    2.95591899e+00    2.95591899e+00    2.95591899e+00    1.56612151e+00    1.56612151e+00    1.56612151e+00
21       2.08544774e+00    2.91455226e+00    2.91455226e+00    2.91455226e+00    1.62817161e+00    1.62817161e+00    1.62817161e+00
22       2.16818119e+00    2.83181881e+00    2.83181881e+00    2.83181881e+00    1.75227179e+00    1.75227179e+00    1.75227179e+00
23       2.33364811e+00    2.66635189e+00    2.66635189e+00    2.66635189e+00    2.00047217e+00    2.00047217e+00    2.00047217e+00
24       2.66458194e+00    2.33541806e+00    2.33541806e+00    2.33541806e+00    2.49687291e+00    2.49687291e+00    2.49687291e+00
25       3.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    3.00000000e+00    3.00000000e+00    3.00000000e+00
26       3.01993101e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    2.98006899e+00    2.98006899e+00    2.98006899e+00
27       3.03600599e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    2.96399401e+00    2.96399401e+00    2.96399401e+00
28       3.06815597e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    2.93184403e+00    2.93184403e+00    2.93184403e+00
29       3.13245593e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    2.86754407e+00    2.86754407e+00    2.86754407e+00
30       3.26105585e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    2.73894415e+00    2.73894415e+00    2.73894415e+00
31       3.51825568e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    2.48174432e+00    2.48174432e+00    2.48174432e+00
32       4.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
33       4.00006250e+00    2.01875000e+00    2.01875000e+00    2.01875000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
34       4.00012500e+00    2.03750000e+00    2.03750000e+00    2.03750000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
35       4.00025000e+00    2.07500000e+00    2.07500000e+00    2.07500000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
36       4.00050000e+00    2.15000000e+00    2.15000000e+00    2.15000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
37       4.00100000e+00    2.30000000e+00    2.30000000e+00    2.30000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
38       4.00200000e+00    2.60000000e+00    2.60000000e+00    2.60000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
39       4.00400000e+00    3.20000000e+00    3.20000000e+00    3.20000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
40       4.00800000e+00    4.40000000e+00    4.40000000e+00    4.40000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
41       4.01000000e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
42       4.01080000e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
43       4.01240000e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
44       4.01560000e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
45       4.02200000e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
46       4.03480000e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
47       4.06040000e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
48       4.11160000e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
49       4.21400000e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
50       4.41880000e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
51       4.50000000e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
52       4.50006250e+00    4.95625000e+00    4.95625000e+00    4.95625000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
53       4.50012500e+00    4.91250000e+00    4.91250000e+00    4.91250000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
54       4.50025000e+00    4.82500000e+00    4.82500000e+00    4.82500000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
55       4.50050000e+00    4.65000000e+00    4.65000000e+00    4.65000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
56       4.50100000e+00    4.30000000e+00    4.30000000e+00    4.30000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
57       4.50200000e+00    3.60000000e+00    3.60000000e+00    3.60000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
58       4.50400000e+00    2.20000000e+00    2.20000000e+00    2.20000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
59       4.50800000e+00   -6.00000000e-01   -6.00000000e-01   -6.00000000e-01    2.00000000e+00    2.00000000e+00    2.00000000e+00
60       4.51000000e+00   -2.00000000e+00   -2.00000000e+00   -2.00000000e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
61       4.51080000e+00   -1.99903614e+00   -1.99903614e+00   -1.99903614e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
62       4.51240000e+00   -1.99710843e+00   -1.99710843e+00   -1.99710843e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
63       4.51560000e+00   -1.99325301e+00   -1.99325301e+00   -1.99325301e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
64       4.52200000e+00   -1.98554217e+00   -1.98554217e+00   -1.98554217e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
65       4.53480000e+00   -1.97012048e+00   -1.97012048e+00   -1.97012048e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
66       4.56040000e+00   -1.93927711e+00   -1.93927711e+00   -1.93927711e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
67       4.61160000e+00   -1.87759036e+00   -1.87759036e+00   -1.87759036e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
68       4.71400000e+00   -1.75421687e+00   -1.75421687e+00   -1.75421687e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
69       4.91880000e+00   -1.50746988e+00   -1.50746988e+00   -1.50746988e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
70       5.00000000e+00   -1.40963855e+00   -1.40963855e+00   -1.40963855e+00    2.00000000e+00    2.00000000e+00    2.00000000e+00
71       5.00006250e+00   -1.40956325e+00   -1.40956325e+00   -1.40956325e+00    2.01875000e+00    2.01875000e+00    2.01875000e+00
72       5.00012500e+00   -1.40948795e+00   -1.40948795e+00   -1.40948795e+00    2.03750000e+00    2.03750000e+00    2.03750000e+00
73       5.00025000e+00   -1.40933735e+00   -1.40933735e+00   -1.40933735e+00    2.07500000e+00    2.07500000e+00    2.07500000e+00
74       5.00050000e+00   -1.40903614e+00   -1.40903614e+00   -1.40903614e+00    2.15000000e+00    2.15000000e+00    2.15000000e+00
75       5.00100000e+00   -1.40843373e+00   -1.40843373e+00   -1.40843373e+00    2.30000000e+00    2.30000000e+00    2.30000000e+00
76       5.00200000e+00   -1.40722892e+00   -1.40722892e+00   -1.40722892e+00    2.60000000e+00    2.60000000e+00    2.60000000e+00
77       5.00400000e+00   -1.40481928e+00   -1.40481928e+00   -1.40481928e+00    3.20000000e+00    3.20000000e+00    3.20000000e+00
78       5.00800000e+00   -1.40000000e+00   -1.40000000e+00   -1.40000000e+00    4.40000000e+00    4.40000000e+00    4.40000000e+00
79       5.01000000e+00   -1.39759036e+00   -1.39759036e+00   -1.39759036e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00
80       5.01080000e+00   -1.39662651e+00   -1.39662651e+00   -1.39662651e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00
81       5.01240000e+00   -1.39469880e+00   -1.39469880e+00   -1.39469880e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00
82       5.01560000e+00   -1.39084337e+00   -1.39084337e+00   -1.39084337e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00
83       5.02200000e+00   -1.38313253e+00   -1.38313253e+00   -1.38313253e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00
84       5.03480000e+00   -1.36771084e+00   -1.36771084e+00   -1.36771084e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00
85       5.06040000e+00   -1.33686747e+00   -1.33686747e+00   -1.33686747e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00
86       5.11160000e+00   -1.27518072e+00   -1.27518072e+00   -1.27518072e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00
87       5.21400000e+00   -1.15180723e+00   -1.15180723e+00   -1.15180723e+00    5.00000000e+00    5.00000000e+00    5.00000000e+00
88       5.41880000e+00   -9.05060241e-01   -9.05060241e-01   -9.05060241e-01    5.00000000e+00    5.00000000e+00    5.00000000e+00
89       5.50000000e+00   -8.07228916e-01   -8.07228916e-01   -8.07228916e-01    5.00000000e+00    5.00000000e+00    5.00000000e+00
90       5.50006250e+00   -8.07153614e-01   -8.07153614e-01   -8.07153614e-01    4.95625000e+00    4.95625000e+00    4.95625000e+00
91       5.50012500e+00   -8.07078313e-01   -8.07078313e-01   -8.07078313e-01    4.91250000e+00    4.91250000e+00    4.91250000e+00
92       5.50025000e+00   -8.06927711e-01   -8.06927711e-01   -8.06927711e-01    4.82500000e+00    4.82500000e+00    4.82500000e+00
93       5.50050000e+00   -8.06626506e-01   -8.06626506e-01   -8.06626506e-01    4.65000000e+00    4.65000000e+00    4.65000000e+00
94       5.50100000e+00   -8.06024096e-01   -8.06024096e-01   -8.06024096e-01    4.30000000e+00    4.30000000e+00    4.30000000e+00
95       5.50200000e+00   -8.04819277e-01   -8.04819277e-01   -8.04819277e-01    3.60000000e+00    3.60000000e+00    3.60000000e+00
96       5.50400000e+00   -8.02409639e-01   -8.02409639e-01   -8.02409639e-01    2.20000000e+00    2.20000000e+00    2.20000000e+00
97       5.50800000e+00   -7.97590361e-01   -7.97590361e-01   -7.97590361e-01   -6.00000000e-01   -6.00000000e-01   -6.00000000e-01
98       5.51000000e+00   -7.95180723e-01   -7.95180723e-01   -7.95180723e-01   -2.00000000e+00   -2.00000000e+00   -2.00000000e+00
99       5.51080000e+00   -7.94216867e-01   -7.94216867e-01   -7.94216867e-01   -1.99903614e+00   -1.99903614e+00   -1.99903614e+00
100      5.51160000e+00   -7.93253012e-01   -7.93253012e-01   -7.93253012e-01   -1.99807229e+00   -1.99807229e+00   -1.99807229e+00
