Index        TIME           V(VINP)
0.000000e+00  0.000000e+00  0.000000e+00
1.000000e+00  1.000000e-09  3.000000e-09
2.000000e+00  3.000000e-09  2.900000e-08
3.000000e+00  7.000000e-09  1.600000e-07
4.000000e+00  1.500000e-08  7.330000e-07
5.000000e+00  2.300000e-08  1.723000e-06
6.000000e+00  3.100000e-08  3.130000e-06
7.000000e+00  4.700000e-08  7.195000e-06
8.000000e+00  7.900000e-08  2.032700e-05
9.000000e+00  1.430000e-07  6.660100e-05
1.000000e+01  2.710000e-07  2.391890e-04
1.100000e+01  5.270000e-07  9.044720e-04
1.200000e+01  1.039000e-06  3.514718e-03
1.300000e+01  1.461344e-06  6.950459e-03
1.400000e+01  1.883688e-06  1.154316e-02
1.500000e+01  2.263798e-06  1.666313e-02
1.600000e+01  2.605896e-06  2.206772e-02
1.700000e+01  2.947995e-06  2.822443e-02
1.800000e+01  3.255884e-06  3.440617e-02
1.900000e+01  3.563773e-06  4.119251e-02
2.000000e+01  3.840873e-06  4.781506e-02
2.100000e+01  4.117972e-06  5.492326e-02
2.200000e+01  4.395072e-06  6.251498e-02
2.300000e+01  4.672172e-06  7.058790e-02
2.400000e+01  4.856906e-06  7.623595e-02
2.500000e+01  5.041639e-06  8.209604e-02
2.600000e+01  5.226372e-06  8.816742e-02
2.700000e+01  5.377060e-06  9.327568e-02
2.800000e+01  5.527749e-06  9.852352e-02
2.900000e+01  5.678437e-06  1.039105e-01
3.000000e+01  5.829125e-06  1.094360e-01
3.100000e+01  5.979813e-06  1.150996e-01
3.200000e+01  6.130501e-06  1.209008e-01
3.300000e+01  6.281190e-06  1.268391e-01
3.400000e+01  6.431878e-06  1.329139e-01
3.500000e+01  6.582566e-06  1.391248e-01
3.600000e+01  6.733254e-06  1.454710e-01
3.700000e+01  6.883943e-06  1.519521e-01
3.800000e+01  7.034631e-06  1.585676e-01
3.900000e+01  7.185319e-06  1.653166e-01
4.000000e+01  7.336007e-06  1.721988e-01
4.100000e+01  7.486695e-06  1.792136e-01
4.200000e+01  7.712728e-06  1.899826e-01
4.300000e+01  7.938760e-06  2.010461e-01
4.400000e+01  8.164792e-06  2.124018e-01
4.500000e+01  8.390825e-06  2.240475e-01
4.600000e+01  8.616857e-06  2.359809e-01
4.700000e+01  8.842889e-06  2.481994e-01
4.800000e+01  9.068922e-06  2.607006e-01
4.900000e+01  9.294954e-06  2.734821e-01
5.000000e+01  9.520986e-06  2.865412e-01
5.100000e+01  9.747019e-06  2.998753e-01
5.200000e+01  9.973051e-06  3.134817e-01
5.300000e+01  1.019908e-05  3.273577e-01
5.400000e+01  1.042512e-05  3.415004e-01
5.500000e+01  1.065115e-05  3.559071e-01
5.600000e+01  1.087718e-05  3.705748e-01
5.700000e+01  1.110321e-05  3.855005e-01
5.800000e+01  1.132924e-05  4.006813e-01
5.900000e+01  1.155528e-05  4.161140e-01
6.000000e+01  1.178131e-05  4.317956e-01
6.100000e+01  1.200734e-05  4.477229e-01
6.200000e+01  1.223337e-05  4.638928e-01
6.300000e+01  1.245941e-05  4.803018e-01
6.400000e+01  1.268544e-05  4.969468e-01
6.500000e+01  1.291147e-05  5.138243e-01
6.600000e+01  1.327312e-05  5.413036e-01
6.700000e+01  1.363477e-05  5.693553e-01
6.800000e+01  1.399643e-05  5.979650e-01
6.900000e+01  1.435808e-05  6.271179e-01
7.000000e+01  1.471973e-05  6.567989e-01
7.100000e+01  1.503508e-05  6.830987e-01
7.200000e+01  1.535042e-05  7.097780e-01
7.300000e+01  1.566577e-05  7.368265e-01
7.400000e+01  1.598112e-05  7.642335e-01
7.500000e+01  1.629646e-05  7.919881e-01
7.600000e+01  1.661181e-05  8.200797e-01
7.700000e+01  1.692716e-05  8.484970e-01
7.800000e+01  1.724250e-05  8.772290e-01
7.900000e+01  1.755785e-05  9.062643e-01
8.000000e+01  1.787320e-05  9.355916e-01
