Index       TIME              V(1)              V(2)              V(3)       
0        0.00000000e+00    5.00000000e+00    2.50000000e+00    0.00000000e+00
1        1.00000000e-10    5.00000000e+00    2.50000000e+00    0.00000000e+00
2        3.00000000e-10    5.00000000e+00    2.50000000e+00    0.00000000e+00
3        7.00000000e-10    5.00000000e+00    2.50000000e+00    0.00000000e+00
4        1.50000000e-09    5.00000000e+00    2.50000000e+00    0.00000000e+00
5        3.10000000e-09    5.00000000e+00    2.50000000e+00    0.00000000e+00
6        6.30000000e-09    5.00000000e+00    2.50000000e+00    0.00000000e+00
7        1.27000000e-08    5.00000000e+00    2.50000000e+00    0.00000000e+00
8        2.55000000e-08    5.00000000e+00    2.50000000e+00    0.00000000e+00
9        5.11000000e-08    5.00000000e+00    2.50000000e+00    0.00000000e+00
10       1.02300000e-07    5.00000000e+00    2.50000000e+00    0.00000000e+00
11       2.04700000e-07    5.00000000e+00    2.50000000e+00    0.00000000e+00
12       4.09500000e-07    5.00000000e+00    2.50000000e+00    0.00000000e+00
13       8.19100000e-07    5.00000000e+00    2.50000000e+00    0.00000000e+00
14       1.63830000e-06    5.00000000e+00    2.50000000e+00    0.00000000e+00
15       3.27670000e-06    5.00000000e+00    2.50000000e+00    0.00000000e+00
16       6.55350000e-06    5.00000000e+00    2.50000000e+00    0.00000000e+00
17       1.31071000e-05    5.00000000e+00    2.50000000e+00    0.00000000e+00
18       2.62143000e-05    5.00000000e+00    2.50000000e+00    0.00000000e+00
19       5.24287000e-05    5.00000000e+00    2.50000000e+00    0.00000000e+00
20       1.04857500e-04    5.00000000e+00    2.50000000e+00    0.00000000e+00
21       2.09715100e-04    5.00000000e+00    2.50000000e+00    0.00000000e+00
22       4.19430300e-04    5.00000000e+00    2.50000000e+00    0.00000000e+00
23       8.38860700e-04    5.00000000e+00    2.50000000e+00    0.00000000e+00
24       1.67772150e-03    5.00000000e+00    2.50000000e+00    0.00000000e+00
25       3.35544310e-03    5.00000000e+00    2.50000000e+00    0.00000000e+00
26       6.71088630e-03    5.00000000e+00    2.50000000e+00    0.00000000e+00
27       1.34217727e-02    5.00000000e+00    2.50000000e+00    0.00000000e+00
28       2.68435455e-02    5.00000000e+00    2.50000000e+00    0.00000000e+00
29       5.36870911e-02    5.00000000e+00    2.50000000e+00    0.00000000e+00
30       1.00000000e-01    5.00000000e+00    2.50000000e+00    0.00000000e+00
31       1.02450112e-01    5.00000000e+00    2.50000000e+00    2.45011215e-02
32       1.04540775e-01    5.00000000e+00    2.50000000e+00    4.54077543e-02
33       1.08722102e-01    5.00000000e+00    2.50000000e+00    8.72210201e-02
34       1.17084755e-01    5.00000000e+00    2.50000000e+00    1.70847552e-01
35       1.21266082e-01    5.00000000e+00    2.51326409e+00    2.12660817e-01
36       1.21987688e-01    5.00000000e+00    2.52291672e+00    2.19876879e-01
37       1.21998963e-01    5.00000000e+00    3.19445019e+00    2.19989630e-01
38       1.21999537e-01    5.00000000e+00    3.19448160e+00    2.19995373e-01
39       1.22000112e-01    5.00000000e+00    3.19451301e+00    2.20001116e-01
40       1.22000686e-01    5.00000000e+00    3.19454442e+00    2.20006859e-01
41       1.22001834e-01    5.00000000e+00    3.19460724e+00    2.20018344e-01
42       1.22004132e-01    5.00000000e+00    3.19473289e+00    2.20041316e-01
43       1.22008726e-01    5.00000000e+00    3.19498421e+00    2.20087259e-01
44       1.22017914e-01    5.00000000e+00    3.19548690e+00    2.20179145e-01
45       1.22036292e-01    5.00000000e+00    3.19649256e+00    2.20362917e-01
46       1.22073046e-01    5.00000000e+00    3.19850495e+00    2.20730460e-01
47       1.22146555e-01    5.00000000e+00    3.20253399e+00    2.21465548e-01
48       1.22293572e-01    5.00000000e+00    3.21060881e+00    2.22935723e-01
49       1.22587607e-01    5.00000000e+00    3.22682342e+00    2.25876073e-01
50       1.23175677e-01    5.00000000e+00    3.25949612e+00    2.31756773e-01
51       1.24351817e-01    5.00000000e+00    3.32568264e+00    2.43518174e-01
52       1.26704097e-01    5.00000000e+00    3.46033911e+00    2.67040975e-01
53       1.31408658e-01    5.00000000e+00    3.73012678e+00    3.14086576e-01
54       1.36113218e-01    5.00000000e+00    3.98527213e+00    3.61132178e-01
55       1.40817778e-01    5.00000000e+00    4.21149230e+00    4.08177780e-01
56       1.45522338e-01    5.00000000e+00    4.40088429e+00    4.55223382e-01
57       1.50226898e-01    5.00000000e+00    4.55188979e+00    5.02268983e-01
58       1.54931459e-01    5.00000000e+00    4.66762245e+00    5.49314585e-01
59       1.59636019e-01    5.00000000e+00    4.75366456e+00    5.96360187e-01
60       1.64340579e-01    5.00000000e+00    4.81622514e+00    6.43405789e-01
61       1.69045139e-01    5.00000000e+00    4.86100353e+00    6.90451390e-01
62       1.73749699e-01    5.00000000e+00    4.89268990e+00    7.37496992e-01
63       1.78454259e-01    5.00000000e+00    4.91487906e+00    7.84542594e-01
64       1.87863380e-01    5.00000000e+00    4.94043476e+00    8.78633797e-01
65       2.00000000e-01    5.00000000e+00    4.95049505e+00    1.00000000e+00
66       2.01881824e-01    5.00000000e+00    4.95049505e+00    1.00000000e+00
67       2.05645472e-01    5.00000000e+00    4.95049505e+00    1.00000000e+00
68       2.13172768e-01    5.00000000e+00    4.95049505e+00    1.00000000e+00
69       2.28227361e-01    5.00000000e+00    4.95049505e+00    1.00000000e+00
70       2.58336546e-01    5.00000000e+00    4.95049505e+00    1.00000000e+00
71       3.00000000e-01    5.00000000e+00    4.95049505e+00    1.00000000e+00
72       3.06021837e-01    5.00000000e+00    4.95049505e+00    9.93978163e-01
73       3.12043674e-01    5.00000000e+00    4.95049505e+00    9.87956326e-01
74       3.24087348e-01    5.00000000e+00    4.95049505e+00    9.75912652e-01
75       3.48174696e-01    5.00000000e+00    4.95049505e+00    9.51825304e-01
76       3.96349392e-01    5.00000000e+00    4.95049505e+00    9.03650608e-01
77       4.00000000e-01    5.00000000e+00    4.95049505e+00    9.00000000e-01
78       4.03650608e-01    5.00000000e+00    4.95049505e+00    9.00000000e-01
79       4.10951823e-01    5.00000000e+00    4.95049505e+00    9.00000000e-01
80       4.25554254e-01    5.00000000e+00    4.95049505e+00    9.00000000e-01
81       4.54759115e-01    5.00000000e+00    4.95049505e+00    9.00000000e-01
