Index        TIME           {V(1)+2}
0       0.00000000e+00   2.58000000e+00   
1       1.00000000e-11   2.57763330e+00   
2       2.00000000e-11   2.57294565e+00   
3       3.00000000e-11   2.56710365e+00   
4       4.00000000e-11   2.55896750e+00   
5       5.00000000e-11   2.54857087e+00   
6       6.00000000e-11   2.53595652e+00   
7       7.00000000e-11   2.52117603e+00   
8       8.00000000e-11   2.50428962e+00   
9       9.00000000e-11   2.48536588e+00   
10      1.00000000e-10   2.46448147e+00   
11      1.10000000e-10   2.44172083e+00   
12      1.20000000e-10   2.41717580e+00   
13      1.30000000e-10   2.39094530e+00   
14      1.40000000e-10   2.36313488e+00   
15      1.50000000e-10   2.33385639e+00   
16      1.60000000e-10   2.30322747e+00   
17      1.70000000e-10   2.27137116e+00   
18      1.80000000e-10   2.23841543e+00   
19      1.90000000e-10   2.20449268e+00   
20      2.00000000e-10   2.16973927e+00   
21      2.10000000e-10   2.13429499e+00   
22      2.20000000e-10   2.09830258e+00   
23      2.30000000e-10   2.06190711e+00   
24      2.40000000e-10   2.02525552e+00   
25      2.50000000e-10   1.98849596e+00   
26      2.60000000e-10   1.95177728e+00   
27      2.70000000e-10   1.91524836e+00   
28      2.80000000e-10   1.87905755e+00   
29      2.90000000e-10   1.84335201e+00   
30      3.00000000e-10   1.80827714e+00   
31      3.10000000e-10   1.77397590e+00   
32      3.20000000e-10   1.74058821e+00   
33      3.30000000e-10   1.70825034e+00   
34      3.40000000e-10   1.67709434e+00   
35      3.50000000e-10   1.64724742e+00   
36      3.60000000e-10   1.61883141e+00   
37      3.70000000e-10   1.59196225e+00   
38      3.80000000e-10   1.56674948e+00   
39      3.90000000e-10   1.54329577e+00   
40      4.00000000e-10   1.52169650e+00   
41      4.10000000e-10   1.50203937e+00   
42      4.20000000e-10   1.48440400e+00   
43      4.30000000e-10   1.46886170e+00   
44      4.40000000e-10   1.45547508e+00   
45      4.50000000e-10   1.44429792e+00   
46      4.60000000e-10   1.43537489e+00   
47      4.70000000e-10   1.42874142e+00   
48      4.80000000e-10   1.42442358e+00   
49      4.90000000e-10   1.42243800e+00   
50      5.00000000e-10   1.42279184e+00   
51      5.10000000e-10   1.42548276e+00   
52      5.20000000e-10   1.43049898e+00   
53      5.30000000e-10   1.43781934e+00   
54      5.40000000e-10   1.44741343e+00   
55      5.50000000e-10   1.45924173e+00   
56      5.60000000e-10   1.47325578e+00   
57      5.70000000e-10   1.48939840e+00   
58      5.80000000e-10   1.50760397e+00   
59      5.90000000e-10   1.52779867e+00   
60      6.00000000e-10   1.54990079e+00   
61      6.10000000e-10   1.57382108e+00   
62      6.20000000e-10   1.59946312e+00   
63      6.30000000e-10   1.62672366e+00   
64      6.40000000e-10   1.65549304e+00   
65      6.50000000e-10   1.68565565e+00   
66      6.60000000e-10   1.71709029e+00   
67      6.70000000e-10   1.74967071e+00   
68      6.80000000e-10   1.78326602e+00   
69      6.90000000e-10   1.81774121e+00   
70      7.00000000e-10   1.85295764e+00   
71      7.10000000e-10   1.88877355e+00   
72      7.20000000e-10   1.92504464e+00   
73      7.30000000e-10   1.96162455e+00   
74      7.40000000e-10   1.99836548e+00   
75      7.50000000e-10   2.03511877e+00   
76      7.60000000e-10   2.07173546e+00   
77      7.70000000e-10   2.10806692e+00   
78      7.80000000e-10   2.14396548e+00   
79      7.90000000e-10   2.17928504e+00   
80      8.00000000e-10   2.21388168e+00   
81      8.10000000e-10   2.24761432e+00   
82      8.20000000e-10   2.28034529e+00   
83      8.30000000e-10   2.31194096e+00   
84      8.40000000e-10   2.34227233e+00   
85      8.50000000e-10   2.37121555e+00   
86      8.60000000e-10   2.39865253e+00   
87      8.70000000e-10   2.42447136e+00   
88      8.80000000e-10   2.44856686e+00   
89      8.90000000e-10   2.47084100e+00   
90      9.00000000e-10   2.49120329e+00   
91      9.10000000e-10   2.50957116e+00   
92      9.20000000e-10   2.52587030e+00   
93      9.30000000e-10   2.54003496e+00   
94      9.40000000e-10   2.55200816e+00   
95      9.50000000e-10   2.56174198e+00   
96      9.60000000e-10   2.56919764e+00   
97      9.70000000e-10   2.57434572e+00   
98      9.80000000e-10   2.57716622e+00   
99      9.90000000e-10   2.57764857e+00   
100     1.00000000e-09   2.57579175e+00   
101     1.01000000e-09   2.57160415e+00   
102     1.02000000e-09   2.56510360e+00   
103     1.03000000e-09   2.55631722e+00   
104     1.04000000e-09   2.54528130e+00   
105     1.05000000e-09   2.53204113e+00   
106     1.06000000e-09   2.51665080e+00   
107     1.07000000e-09   2.49917295e+00   
108     1.08000000e-09   2.47967852e+00   
109     1.09000000e-09   2.45824644e+00   
110     1.10000000e-09   2.43496330e+00   
111     1.11000000e-09   2.40992302e+00   
112     1.12000000e-09   2.38322647e+00   
113     1.13000000e-09   2.35498106e+00   
114     1.14000000e-09   2.32530034e+00   
115     1.15000000e-09   2.29430356e+00   
116     1.16000000e-09   2.26211525e+00   
117     1.17000000e-09   2.22886469e+00   
118     1.18000000e-09   2.19468550e+00   
119     1.19000000e-09   2.15971508e+00   
120     1.20000000e-09   2.12409415e+00   
121     1.21000000e-09   2.08796617e+00   
122     1.22000000e-09   2.05147686e+00   
123     1.23000000e-09   2.01477355e+00   
124     1.24000000e-09   1.97800470e+00   
125     1.25000000e-09   1.94131924e+00   
126     1.26000000e-09   1.90486599e+00   
127     1.27000000e-09   1.86879305e+00   
128     1.28000000e-09   1.83324716e+00   
129     1.29000000e-09   1.79837311e+00   
130     1.30000000e-09   1.76431308e+00   
131     1.31000000e-09   1.73120603e+00   
132     1.32000000e-09   1.69918711e+00   
133     1.33000000e-09   1.66838706e+00   
134     1.34000000e-09   1.63893164e+00   
135     1.35000000e-09   1.61094107e+00   
136     1.36000000e-09   1.58452953e+00   
137     1.37000000e-09   1.55980466e+00   
138     1.38000000e-09   1.53686711e+00   
139     1.39000000e-09   1.51581012e+00   
140     1.40000000e-09   1.49671913e+00   
141     1.41000000e-09   1.47967144e+00   
142     1.42000000e-09   1.46473591e+00   
143     1.43000000e-09   1.45197266e+00   
144     1.44000000e-09   1.44143290e+00   
145     1.45000000e-09   1.43315868e+00   
146     1.46000000e-09   1.42718278e+00   
147     1.47000000e-09   1.42352858e+00   
148     1.48000000e-09   1.42221003e+00   
149     1.49000000e-09   1.42323156e+00   
150     1.50000000e-09   1.42658812e+00   
151     1.51000000e-09   1.43226527e+00   
152     1.52000000e-09   1.44023917e+00   
153     1.53000000e-09   1.45047681e+00   
154     1.54000000e-09   1.46293606e+00   
155     1.55000000e-09   1.47756597e+00   
156     1.56000000e-09   1.49430691e+00   
157     1.57000000e-09   1.51309088e+00   
158     1.58000000e-09   1.53384174e+00   
159     1.59000000e-09   1.55647562e+00   
160     1.60000000e-09   1.58090114e+00   
161     1.61000000e-09   1.60701989e+00   
162     1.62000000e-09   1.63472673e+00   
163     1.63000000e-09   1.66391025e+00   
164     1.64000000e-09   1.69445316e+00   
165     1.65000000e-09   1.72623278e+00   
166     1.66000000e-09   1.75912145e+00   
167     1.67000000e-09   1.79298703e+00   
168     1.68000000e-09   1.82769341e+00   
169     1.69000000e-09   1.86310098e+00   
170     1.70000000e-09   1.89906719e+00   
171     1.71000000e-09   1.93544706e+00   
172     1.72000000e-09   1.97209375e+00   
173     1.73000000e-09   2.00885912e+00   
174     1.74000000e-09   2.04559434e+00   
175     1.75000000e-09   2.08215046e+00   
176     1.76000000e-09   2.11837904e+00   
177     1.77000000e-09   2.15413278e+00   
178     1.78000000e-09   2.18926610e+00   
179     1.79000000e-09   2.22363581e+00   
180     1.80000000e-09   2.25710172e+00   
181     1.81000000e-09   2.28952724e+00   
182     1.82000000e-09   2.32077996e+00   
183     1.83000000e-09   2.35073228e+00   
184     1.84000000e-09   2.37926194e+00   
185     1.85000000e-09   2.40625252e+00   
186     1.86000000e-09   2.43159398e+00   
187     1.87000000e-09   2.45518312e+00   
188     1.88000000e-09   2.47692400e+00   
189     1.89000000e-09   2.49672834e+00   
190     1.90000000e-09   2.51451589e+00   
191     1.91000000e-09   2.53021473e+00   
192     1.92000000e-09   2.54376160e+00   
193     1.93000000e-09   2.55510206e+00   
194     1.94000000e-09   2.56419077e+00   
195     1.95000000e-09   2.57099163e+00   
196     1.96000000e-09   2.57547787e+00   
197     1.97000000e-09   2.57763218e+00   
198     1.98000000e-09   2.57744673e+00   
199     1.99000000e-09   2.57492317e+00   
200     2.00000000e-09   2.57007261e+00   
201     2.01000000e-09   2.56291553e+00   
202     2.02000000e-09   2.55348169e+00   
203     2.03000000e-09   2.54180998e+00   
204     2.04000000e-09   2.52794824e+00   
205     2.05000000e-09   2.51195301e+00   
206     2.06000000e-09   2.49388936e+00   
207     2.07000000e-09   2.47383054e+00   
208     2.08000000e-09   2.45185771e+00   
209     2.09000000e-09   2.42805962e+00   
210     2.10000000e-09   2.40253220e+00   
211     2.11000000e-09   2.37537826e+00   
212     2.12000000e-09   2.34670703e+00   
213     2.13000000e-09   2.31663373e+00   
214     2.14000000e-09   2.28527919e+00   
215     2.15000000e-09   2.25276937e+00   
216     2.16000000e-09   2.21923485e+00   
217     2.17000000e-09   2.18481040e+00   
218     2.18000000e-09   2.14963444e+00   
219     2.19000000e-09   2.11384855e+00   
220     2.20000000e-09   2.07759693e+00   
221     2.21000000e-09   2.04102581e+00   
222     2.22000000e-09   2.00428295e+00   
223     2.23000000e-09   1.96751701e+00   
224     2.24000000e-09   1.93087698e+00   
225     2.25000000e-09   1.89451157e+00   
226     2.26000000e-09   1.85856856e+00   
227     2.27000000e-09   1.82319424e+00   
228     2.28000000e-09   1.78853272e+00   
229     2.29000000e-09   1.75472536e+00   
230     2.30000000e-09   1.72191012e+00   
231     2.31000000e-09   1.69022097e+00   
232     2.32000000e-09   1.65978730e+00   
233     2.33000000e-09   1.63073336e+00   
234     2.34000000e-09   1.60317772e+00   
235     2.35000000e-09   1.57723277e+00   
236     2.36000000e-09   1.55300420e+00   
237     2.37000000e-09   1.53059062e+00   
238     2.38000000e-09   1.51008308e+00   
239     2.39000000e-09   1.49156475e+00   
240     2.40000000e-09   1.47511056e+00   
241     2.41000000e-09   1.46078692e+00   
242     2.42000000e-09   1.44865143e+00   
243     2.43000000e-09   1.43875271e+00   
244     2.44000000e-09   1.43113019e+00   
245     2.45000000e-09   1.42581399e+00   
246     2.46000000e-09   1.42282479e+00   
247     2.47000000e-09   1.42217382e+00   
248     2.48000000e-09   1.42386283e+00   
249     2.49000000e-09   1.42788407e+00   
250     2.50000000e-09   1.43422039e+00   
251     2.51000000e-09   1.44284533e+00   
252     2.52000000e-09   1.45372325e+00   
253     2.53000000e-09   1.46680949e+00   
254     2.54000000e-09   1.48205057e+00   
255     2.55000000e-09   1.49938443e+00   
256     2.56000000e-09   1.51874072e+00   
257     2.57000000e-09   1.54004106e+00   
258     2.58000000e-09   1.56319936e+00   
259     2.59000000e-09   1.58812220e+00   
260     2.60000000e-09   1.61470919e+00   
261     2.61000000e-09   1.64285334e+00   
262     2.62000000e-09   1.67244150e+00   
263     2.63000000e-09   1.70335478e+00   
264     2.64000000e-09   1.73546901e+00   
265     2.65000000e-09   1.76865518e+00   
266     2.66000000e-09   1.80277997e+00   
267     2.67000000e-09   1.83770617e+00   
268     2.68000000e-09   1.87329326e+00   
269     2.69000000e-09   1.90939793e+00   
270     2.70000000e-09   1.94587458e+00   
271     2.71000000e-09   1.98257591e+00   
272     2.72000000e-09   2.01935353e+00   
273     2.73000000e-09   2.05605846e+00   
274     2.74000000e-09   2.09254183e+00   
275     2.75000000e-09   2.12865543e+00   
276     2.76000000e-09   2.16425237e+00   
277     2.77000000e-09   2.19918765e+00   
278     2.78000000e-09   2.23331887e+00   
279     2.79000000e-09   2.26650678e+00   
280     2.80000000e-09   2.29861588e+00   
281     2.81000000e-09   2.32951509e+00   
282     2.82000000e-09   2.35907823e+00   
283     2.83000000e-09   2.38718465e+00   
284     2.84000000e-09   2.41371967e+00   
285     2.85000000e-09   2.43857516e+00   
