Index       TIME              V(1)              I(L1)             V(3)              V(2)              I(VS)      
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00
1        4.76190476e-06    0.00000000e+00    0.00000000e+00    2.13713467e-04    5.79136864e-04    3.65423397e-07
2        9.52380952e-06    0.00000000e+00    0.00000000e+00    8.54850042e-04    1.10188201e-03    2.47031971e-07
3        1.42857143e-05    0.00000000e+00    0.00000000e+00    1.92339825e-03    1.58285446e-03   -3.40543790e-07
4        1.90476190e-05    0.00000000e+00    0.00000000e+00    3.41933895e-03    2.03550915e-03   -1.38382979e-06
5        2.38095238e-05    0.00000000e+00    0.00000000e+00    5.34264536e-03    2.47222375e-03   -2.87042161e-06
6        2.85714286e-05    0.00000000e+00    0.00000000e+00    7.69328306e-03    2.90437908e-03   -4.78890398e-06
7        3.33333333e-05    0.00000000e+00    0.00000000e+00    1.04712099e-02    3.34243392e-03   -7.12877603e-06
8        3.80952381e-05    0.00000000e+00    0.00000000e+00    1.36763763e-02    3.79599430e-03   -9.88038198e-06
9        4.28571429e-05    0.00000000e+00    0.00000000e+00    1.73087247e-02    4.27387792e-03   -1.30348468e-05
10       4.76190476e-05    0.00000000e+00    0.00000000e+00    2.13681901e-02    4.78417380e-03   -1.65840163e-05
11       5.23809524e-05    0.00000000e+00    0.00000000e+00    2.58546999e-02    5.33429768e-03   -2.05204022e-05
12       5.71428571e-05    0.00000000e+00    0.00000000e+00    3.07681737e-02    5.93104336e-03   -2.48371303e-05
13       6.19047619e-05    0.00000000e+00    0.00000000e+00    3.61085235e-02    6.58063034e-03   -2.95278932e-05
14       6.66666667e-05    0.00000000e+00    0.00000000e+00    4.18756537e-02    7.28874794e-03   -3.45869058e-05
15       7.14285714e-05    0.00000000e+00    0.00000000e+00    4.80694611e-02    8.06059623e-03   -4.00088649e-05
16       7.61904762e-05    0.00000000e+00    0.00000000e+00    5.46898347e-02    8.90092390e-03   -4.57889108e-05
17       8.09523810e-05    0.00000000e+00    0.00000000e+00    6.17366559e-02    9.81406342e-03   -5.19225925e-05
18       8.57142857e-05    0.00000000e+00    0.00000000e+00    6.92097987e-02    1.08039636e-02   -5.84058351e-05
19       9.04761905e-05    0.00000000e+00    0.00000000e+00    7.71091291e-02    1.18742195e-02   -6.52349096e-05
20       9.52380952e-05    0.00000000e+00    0.00000000e+00    8.54345056e-02    1.30281007e-02   -7.24064050e-05
21       1.00000000e-04    0.00000000e+00    0.00000000e+00    0.00000000e+00    1.28628188e-02    1.28628188e-05
22       1.04761905e-04    0.00000000e+00    0.00000000e+00    4.48798281e-03    1.27333912e-02    8.24540839e-06
23       1.09523810e-04    0.00000000e+00    0.00000000e+00    8.97592544e-03    1.26885829e-02    3.71265748e-06
24       1.12500000e-04    0.00000000e+00    0.00000000e+00    1.17808394e-02    1.27074475e-02    9.26608092e-07
25       1.17261905e-04    0.00000000e+00    0.00000000e+00    1.62686263e-02    1.27753419e-02   -3.49328440e-06
26       1.18750000e-04    0.00000000e+00    0.00000000e+00    1.76710456e-02    1.28029503e-02   -4.86809534e-06
27       1.23511905e-04    0.00000000e+00    0.00000000e+00    2.21586367e-02    1.29559064e-02   -9.20273026e-06
28       1.25000000e-04    0.00000000e+00    0.00000000e+00    2.35609556e-02    1.30217441e-02   -1.05392115e-05
29       1.29761905e-04    0.00000000e+00    0.00000000e+00    2.80482755e-02    1.32707310e-02   -1.47775445e-05
30       1.31250000e-04    0.00000000e+00    0.00000000e+00    2.94505065e-02    1.33624993e-02   -1.60880072e-05
31       1.36011905e-04    0.00000000e+00    0.00000000e+00    3.39374874e-02    1.36880630e-02   -2.02494244e-05
32       1.37500000e-04    0.00000000e+00    0.00000000e+00    3.53396305e-02    1.37965983e-02   -2.15430322e-05
33       1.42261905e-04    0.00000000e+00    0.00000000e+00    3.98262072e-02    1.41913521e-02   -2.56348551e-05
34       1.47023810e-04    0.00000000e+00    0.00000000e+00    4.43124274e-02    1.46764207e-02   -2.96360067e-05
35       1.50000000e-04    0.00000000e+00    0.00000000e+00    4.71160859e-02    1.50139919e-02   -3.21020940e-05
36       1.54761905e-04    0.00000000e+00    0.00000000e+00    5.16016382e-02    1.55927393e-02   -3.60088990e-05
37       1.59523810e-04    0.00000000e+00    0.00000000e+00    5.60867287e-02    1.62307041e-02   -3.98560246e-05
38       1.62500000e-04    0.00000000e+00    0.00000000e+00    5.88896943e-02    1.66554026e-02   -4.22342916e-05
39       1.67261905e-04    0.00000000e+00    0.00000000e+00    6.33739512e-02    1.72444253e-02   -4.61295259e-05
40       1.72023810e-04    0.00000000e+00    0.00000000e+00    6.78576408e-02    1.80496943e-02   -4.98079465e-05
41       1.76785714e-04    0.00000000e+00    0.00000000e+00    7.23407230e-02    1.89078776e-02   -5.34328454e-05
42       1.81547619e-04    0.00000000e+00    0.00000000e+00    7.68231576e-02    1.98191395e-02   -5.70040181e-05
43       1.86309524e-04    0.00000000e+00    0.00000000e+00    8.13049044e-02    2.07846364e-02   -6.05202680e-05
44       1.87500000e-04    0.00000000e+00    0.00000000e+00    8.24251830e-02    2.10384688e-02   -6.13867142e-05
45       1.92261905e-04    0.00000000e+00    0.00000000e+00    8.69060113e-02    2.20745635e-02   -6.48314477e-05
46       1.97023810e-04    0.00000000e+00    0.00000000e+00    5.60663943e-02    2.26182298e-02   -3.34481645e-05
47       2.01785714e-04    0.00000000e+00    0.00000000e+00    1.68299355e-03    2.23127493e-02    2.06297558e-05
48       2.06547619e-04    0.00000000e+00    0.00000000e+00    6.17096130e-03    2.20953358e-02    1.59243745e-05
49       2.11309524e-04    0.00000000e+00    0.00000000e+00    1.06588738e-02    2.19706189e-02    1.13117451e-05
50       2.12500000e-04    0.00000000e+00    0.00000000e+00    1.17808394e-02    2.19543833e-02    1.01735439e-05
51       2.17261905e-04    0.00000000e+00    0.00000000e+00    1.62686263e-02    2.11545697e-02    4.88594340e-06
52       2.22023810e-04    0.00000000e+00    0.00000000e+00    2.07562676e-02    2.11040364e-02    3.47768732e-07
53       2.26785714e-04    0.00000000e+00    0.00000000e+00    2.52437231e-02    2.11195448e-02   -4.12417836e-06
54       2.31547619e-04    0.00000000e+00    0.00000000e+00    2.97309527e-02    2.12066905e-02   -8.52426218e-06
