Index       V(2)              I(VD)      
0        0.00000000e+00   -3.41718798e-11
1        5.00000000e-02   -1.90605326e-10
2        1.00000000e-01   -1.05412736e-09
3        1.50000000e-01   -5.70487994e-09
4        2.00000000e-01   -2.94311167e-08
5        2.50000000e-01   -1.37899282e-07
6        3.00000000e-01   -5.46407822e-07
7        3.50000000e-01   -1.68660443e-06
8        4.00000000e-01   -3.81892268e-06
9        4.50000000e-01   -6.53661053e-06
10       5.00000000e-01   -9.28935373e-06
11       5.50000000e-01   -1.18510825e-05
12       6.00000000e-01   -1.42040241e-05
13       6.50000000e-01   -1.63858781e-05
14       7.00000000e-01   -1.84346684e-05
15       7.50000000e-01   -2.03785187e-05
16       8.00000000e-01   -2.22370357e-05
17       8.50000000e-01   -2.40240731e-05
18       9.00000000e-01   -2.57497894e-05
19       9.50000000e-01   -2.74219342e-05
20       1.00000000e+00   -2.90466210e-05
21       1.05000000e+00   -3.06287981e-05
22       1.10000000e+00   -3.21725471e-05
23       1.15000000e+00   -3.36812824e-05
24       1.20000000e+00   -3.51578917e-05
End of Xyce(TM) Simulation
