Index       V(1)              I(VD)      
0        0.00000000e+00    0.00000000e+00
1        5.00000000e-02   -5.00060016e-14
2        1.00000000e-01   -1.00048023e-13
3        1.50000000e-01   -1.50342240e-13
4        2.00000000e-01   -2.02402236e-13
5        2.50000000e-01   -2.66825567e-13
6        3.00000000e-01   -4.17812383e-13
7        3.50000000e-01   -1.17488462e-12
8        4.00000000e-01   -6.17554222e-12
9        4.50000000e-01   -4.08882108e-11
10       5.00000000e-01   -2.83633362e-10
11       5.50000000e-01   -1.98294481e-09
12       6.00000000e-01   -1.38805933e-08
13       6.50000000e-01   -9.71832160e-08
14       7.00000000e-01   -6.80436988e-07
15       7.50000000e-01   -4.76416331e-06
16       8.00000000e-01   -3.33569003e-05
17       8.50000000e-01   -2.33552641e-04
18       9.00000000e-01   -1.63524898e-03
19       9.50000000e-01   -1.14494069e-02
20       1.00000000e+00   -8.01645014e-02
21       1.05000000e+00   -5.61282111e-01
22       1.10000000e+00   -3.92988919e+00
23       1.15000000e+00   -2.75156268e+01
24       1.20000000e+00   -1.92654215e+02
End of Xyce(TM) Simulation
