Index       V(1)              V(2)       
0        0.00000000e+00    0.00000000e+00
1        1.00000000e+00    3.33333333e-01
2        2.00000000e+00    6.66666667e-01
3        3.00000000e+00    1.00000000e+00
4        4.00000000e+00    1.33333333e+00
5        5.00000000e+00    1.66666667e+00
6        6.00000000e+00    2.00000000e+00
7        7.00000000e+00    2.33333333e+00
8        8.00000000e+00    2.66666667e+00
9        9.00000000e+00    3.00000000e+00
10       1.00000000e+01    3.33333333e+00
End of Xyce(TM) Simulation
