Index       TIME            V(X1.A2)          V(X1.A1)          V(X2.A1)           V(X2.B)            V(3)       
0        0.00000000e+00    0.00000000e+00    0.00000000e+00    0.00000000e+00    5.00000000e-01    5.00000000e-01
1        5.00000000e-06    1.88539326e-01    1.27359551e-01    3.72078652e-01    4.94438202e-01    4.94438202e-01
2        5.15625000e-06    1.88571849e-01    1.27433316e-01    3.71987447e-01    4.94264513e-01    4.94264513e-01
3        5.26663421e-06    1.88594847e-01    1.27485443e-01    3.71923059e-01    4.94141868e-01    4.94141868e-01
4        5.48740262e-06    1.88640887e-01    1.27589725e-01    3.71794370e-01    4.93896693e-01    4.93896693e-01
5        5.92893944e-06    1.88733229e-01    1.27798466e-01    3.71537519e-01    4.93407045e-01    4.93407045e-01
6        6.81201309e-06    1.88918964e-01    1.28216647e-01    3.71025915e-01    4.92430550e-01    4.92430550e-01
7        8.57816039e-06    1.89294625e-01    1.29055803e-01    3.70011090e-01    4.90488733e-01    4.90488733e-01
8        1.21104550e-05    1.90062624e-01    1.30745234e-01    3.68014792e-01    4.86649571e-01    4.86649571e-01
9        1.91750442e-05    1.91664665e-01    1.34168125e-01    3.64154287e-01    4.79147367e-01    4.79147367e-01
10       3.33042225e-05    1.95127709e-01    1.41186547e-01    3.56951196e-01    4.64833520e-01    4.64833520e-01
11       4.74334009e-05    1.98927849e-01    1.48429700e-01    3.50422297e-01    4.51418596e-01    4.51418596e-01
12       6.15625793e-05    2.03054431e-01    1.55890481e-01    3.44546283e-01    4.38874185e-01    4.38874185e-01
13       7.56917577e-05    2.07497139e-01    1.63562012e-01    3.39302520e-01    4.27172775e-01    4.27172775e-01
14       8.98209360e-05    2.12245981e-01    1.71437633e-01    3.34671026e-01    4.16287723e-01    4.16287723e-01
15       1.03950114e-04    2.17291283e-01    1.79510893e-01    3.30632451e-01    4.06193229e-01    4.06193229e-01
16       1.18079293e-04    2.22623674e-01    1.87775547e-01    3.27168055e-01    3.96864309e-01    3.96864309e-01
17       1.32208471e-04    2.28234082e-01    1.96225545e-01    3.24259692e-01    3.88276766e-01    3.88276766e-01
18       1.46337650e-04    2.34113720e-01    2.04855030e-01    3.21889790e-01    3.80407170e-01    3.80407170e-01
19       1.60466828e-04    2.40254079e-01    2.13658328e-01    3.20041330e-01    3.73232830e-01    3.73232830e-01
20       1.74596006e-04    2.46646919e-01    2.22629948e-01    3.18697832e-01    3.66731774e-01    3.66731774e-01
21       1.88725185e-04    2.53284261e-01    2.31764569e-01    3.17843338e-01    3.60882723e-01    3.60882723e-01
22       2.02854363e-04    2.60158378e-01    2.41057040e-01    3.17462393e-01    3.55665070e-01    3.55665070e-01
23       2.16983541e-04    2.67261786e-01    2.50502371e-01    3.17540031e-01    3.51058861e-01    3.51058861e-01
24       2.31112720e-04    2.74587239e-01    2.60095733e-01    3.18061759e-01    3.47044772e-01    3.47044772e-01
25       2.45241898e-04    2.82127719e-01    2.69832446e-01    3.19013541e-01    3.43604088e-01    3.43604088e-01
26       2.59371077e-04    2.89876431e-01    2.79707980e-01    3.20381785e-01    3.40718688e-01    3.40718688e-01
27       2.73500255e-04    2.97826793e-01    2.89717947e-01    3.22153331e-01    3.38371023e-01    3.38371023e-01
28       2.87629433e-04    3.05972432e-01    2.99858099e-01    3.24315431e-01    3.36544097e-01    3.36544097e-01
29       3.01758612e-04    3.14307177e-01    3.10124322e-01    3.26855743e-01    3.35221454e-01    3.35221454e-01
30       3.15887790e-04    3.22825052e-01    3.20512631e-01    3.29762313e-01    3.34387154e-01    3.34387154e-01
31       3.30016968e-04    3.31520267e-01    3.31019168e-01    3.33023567e-01    3.34025766e-01    3.34025766e-01
32       3.58275325e-04    3.49417895e-01    3.52370371e-01    3.40560464e-01    3.34655510e-01    3.34655510e-01
33       3.86533682e-04    3.67960222e-01    3.74151375e-01    3.49386762e-01    3.37004455e-01    3.37004455e-01
34       4.14792039e-04    3.87107133e-01    3.96335435e-01    3.59422227e-01    3.40965623e-01    3.40965623e-01
35       4.43050395e-04    4.06821007e-01    4.18897470e-01    3.70591618e-01    3.46438693e-01    3.46438693e-01
36       4.71308752e-04    4.27066565e-01    4.41813960e-01    3.82824377e-01    3.53329585e-01    3.53329585e-01
37       4.99567109e-04    4.47810722e-01    4.65062851e-01    3.96054334e-01    3.61550076e-01    3.61550076e-01
38       5.27825466e-04    4.69022452e-01    4.88623457e-01    4.10219439e-01    3.71017431e-01    3.71017431e-01
39       5.56083822e-04    4.90672662e-01    5.12476382e-01    4.25261502e-01    3.81654062e-01    3.81654062e-01
40       5.84342179e-04    5.12734067e-01    5.36603437e-01    4.41125954e-01    3.93387212e-01    3.93387212e-01
41       6.12600536e-04    5.35181078e-01    5.60987564e-01    4.57761621e-01    4.06148649e-01    4.06148649e-01
42       6.40858893e-04    5.57989703e-01    5.85612766e-01    4.75120514e-01    4.19874388e-01    4.19874388e-01
43       6.69117249e-04    5.81137440e-01    6.10464043e-01    4.93157630e-01    4.34504424e-01    4.34504424e-01
44       7.25633963e-04    6.28358157e-01    6.60783426e-01    5.31082351e-01    4.66231814e-01    4.66231814e-01
45       7.82150676e-04    6.76700860e-01    7.11850799e-01    5.71251043e-01    5.00951165e-01    5.00951165e-01
46       8.38667390e-04    7.26030129e-01    7.63575883e-01    6.13392869e-01    5.38301362e-01    5.38301362e-01
47       8.95184103e-04    7.76226892e-01    8.15879296e-01    6.57269680e-01    5.77964872e-01    5.77964872e-01
48       9.51700817e-04    8.27186444e-01    8.68691235e-01    7.02672071e-01    6.19662490e-01    6.19662490e-01
49       1.00000000e-03    8.71272712e-01    9.14181808e-01    7.42545425e-01    6.56727233e-01    6.56727233e-01
50       1.00369916e-03    8.72345924e-01    9.14897283e-01    7.44691848e-01    6.59589131e-01    6.59589131e-01
51       1.00702841e-03    8.73304561e-01    9.15536374e-01    7.46609122e-01    6.62145496e-01    6.62145496e-01
52       1.01368690e-03    8.75207437e-01    9.16804958e-01    7.50414874e-01    6.67219832e-01    6.67219832e-01
53       1.02700389e-03    8.78928089e-01    9.19285392e-01    7.57856177e-01    6.77141570e-01    6.77141570e-01
54       1.05363785e-03    8.86041490e-01    9.24027660e-01    7.72082980e-01    6.96110639e-01    6.96110639e-01
55       1.10690579e-03    8.99050262e-01    9.32700174e-01    7.98100523e-01    7.30800698e-01    7.30800698e-01
56       1.16017373e-03    9.10574036e-01    9.40382690e-01    8.21148071e-01    7.61530761e-01    7.61530761e-01
57       1.21344167e-03    9.20782329e-01    9.47188220e-01    8.41564659e-01    7.88752879e-01    7.88752879e-01
58       1.26670961e-03    9.29825310e-01    9.53216873e-01    8.59650620e-01    8.12867494e-01    8.12867494e-01
59       1.31997754e-03    9.37836002e-01    9.58557335e-01    8.75672004e-01    8.34229339e-01    8.34229339e-01
60       1.37324548e-03    9.44932245e-01    9.63288163e-01    8.89864490e-01    8.53152653e-01    8.53152653e-01
61       1.42651342e-03    9.51218426e-01    9.67478951e-01    9.02436853e-01    8.69915804e-01    8.69915804e-01
62       1.47978136e-03    9.56787018e-01    9.71191345e-01    9.13574035e-01    8.84765380e-01    8.84765380e-01
63       1.53304929e-03    9.61719934e-01    9.74479956e-01    9.23439868e-01    8.97919824e-01    8.97919824e-01
64       1.58631723e-03    9.66089741e-01    9.77393160e-01    9.32179481e-01    9.09572642e-01    9.09572642e-01
65       1.69285311e-03    9.73413669e-01    9.82275780e-01    9.46827339e-01    9.29103118e-01    9.29103118e-01
66       1.79938898e-03    9.79155778e-01    9.86103852e-01    9.58311556e-01    9.44415408e-01    9.44415408e-01
67       1.90592486e-03    9.83657707e-01    9.89105138e-01    9.67315415e-01    9.56420553e-01    9.56420553e-01
68       2.01246073e-03    9.87187311e-01    9.91458207e-01    9.74374622e-01    9.65832830e-01    9.65832830e-01
69       2.11899661e-03    9.89954592e-01    9.93303062e-01    9.79909185e-01    9.73212246e-01    9.73212246e-01
70       2.22553248e-03    9.92124197e-01    9.94749464e-01    9.84248393e-01    9.78997858e-01    9.78997858e-01
71       2.43860424e-03    9.95194647e-01    9.96796431e-01    9.90389294e-01    9.87185725e-01    9.87185725e-01
72       2.86474774e-03    9.98330244e-01    9.98886829e-01    9.96660488e-01    9.95547318e-01    9.95547318e-01
73       3.29089124e-03    9.99419796e-01    9.99613197e-01    9.98839592e-01    9.98452790e-01    9.98452790e-01
74       3.71703474e-03    9.99798392e-01    9.99865595e-01    9.99596784e-01    9.99462378e-01    9.99462378e-01
75       4.14317824e-03    9.99929946e-01    9.99953297e-01    9.99859891e-01    9.99813188e-01    9.99813188e-01
76       4.99546525e-03    9.99998879e-01    9.99999253e-01    9.99997759e-01    9.99997011e-01    9.99997011e-01
77       5.84775225e-03    9.99999982e-01    9.99999988e-01    9.99999964e-01    9.99999952e-01    9.99999952e-01
78       6.00000000e-03    9.99999987e-01    9.99999992e-01    9.99999975e-01    9.99999966e-01    9.99999966e-01
79       6.00625000e-03    9.96060912e-01    9.95290608e-01    9.98371824e-01    9.99912432e-01    9.99912432e-01
80       6.01250000e-03    9.92089471e-01    9.90559647e-01    9.96678941e-01    9.99738588e-01    9.99738588e-01
81       6.02500000e-03    9.84082763e-01    9.81055175e-01    9.93165525e-01    9.99220701e-01    9.99220701e-01
82       6.05000000e-03    9.67696975e-01    9.61797983e-01    9.85393949e-01    9.97191933e-01    9.97191933e-01
83       6.07500000e-03    9.50835263e-01    9.42223509e-01    9.76670527e-01    9.93894036e-01    9.93894036e-01
84       6.10000000e-03    9.33523923e-01    9.22349282e-01    9.67047846e-01    9.89397128e-01    9.89397128e-01
85       6.15000000e-03    8.97661135e-01    8.81774090e-01    9.45322271e-01    9.77096361e-01    9.77096361e-01
86       6.20000000e-03    8.60278218e-01    8.40185478e-01    9.20556435e-01    9.60741914e-01    9.60741914e-01
87       6.25000000e-03    8.21538624e-01    7.97692416e-01    8.93077249e-01    9.40769665e-01    9.40769665e-01
88       6.30000000e-03    7.81588235e-01    7.54392156e-01    8.63176469e-01    9.17568626e-01    9.17568626e-01
89       6.35000000e-03    7.40557242e-01    7.10371494e-01    8.31114483e-01    8.91485978e-01    8.91485978e-01
90       6.40000000e-03    6.98561839e-01    6.65707893e-01    7.97123679e-01    8.62831572e-01    8.62831572e-01
91       6.45000000e-03    6.55705728e-01    6.20470485e-01    7.61411455e-01    8.31881940e-01    8.31881940e-01
92       6.50000000e-03    6.12081456e-01    5.74720971e-01    7.24162912e-01    7.98883882e-01    7.98883882e-01
93       6.55000000e-03    5.67771622e-01    5.28514415e-01    6.85543244e-01    7.64057658e-01    7.64057658e-01
94       6.60000000e-03    5.22849942e-01    4.81899961e-01    6.45699884e-01    7.27599846e-01    7.27599846e-01
95       6.65000000e-03    4.77382206e-01    4.34921471e-01    6.04764413e-01    6.89685884e-01    6.89685884e-01
96       6.70000000e-03    4.31427130e-01    3.87618087e-01    5.62854261e-01    6.50472348e-01    6.50472348e-01
97       6.75000000e-03    3.85037116e-01    3.40024744e-01    5.20074233e-01    6.10098977e-01    6.10098977e-01
98       6.80000000e-03    3.38258932e-01    2.92172621e-01    4.76517864e-01    5.68690485e-01    5.68690485e-01
99       6.85000000e-03    2.91134316e-01    2.44089544e-01    4.32268631e-01    5.26358175e-01    5.26358175e-01
100      6.90000000e-03    2.43700518e-01    1.95800345e-01    3.87401036e-01    4.83201382e-01    4.83201382e-01
101      7.00000000e-03    1.48047351e-01    9.86982341e-02    2.96094702e-01    3.94792936e-01    3.94792936e-01
102      7.00625000e-03    1.45973859e-01    9.73159059e-02    2.91947718e-01    3.89263624e-01    3.89263624e-01
103      7.01250000e-03    1.43929407e-01    9.59529380e-02    2.87858814e-01    3.83811752e-01    3.83811752e-01
104      7.02500000e-03    1.39897771e-01    9.32651807e-02    2.79795542e-01    3.73060723e-01    3.73060723e-01
105      7.05000000e-03    1.32168612e-01    8.81124083e-02    2.64337225e-01    3.52449633e-01    3.52449633e-01
106      7.07500000e-03    1.24866479e-01    8.32443194e-02    2.49732958e-01    3.32977278e-01    3.32977278e-01
107      7.10000000e-03    1.17967779e-01    7.86451857e-02    2.35935557e-01    3.14580743e-01    3.14580743e-01
108      7.12500000e-03    1.11450222e-01    7.43001478e-02    2.22900444e-01    2.97200591e-01    2.97200591e-01
109      7.15000000e-03    1.05292751e-01    7.01951673e-02    2.10585502e-01    2.80780669e-01    2.80780669e-01
110      7.17500000e-03    9.94754719e-02    6.63169813e-02    1.98950944e-01    2.65267925e-01    2.65267925e-01
111      7.20000000e-03    9.39795895e-02    6.26530596e-02    1.87959179e-01    2.50612239e-01    2.50612239e-01
112      7.22500000e-03    8.87873470e-02    5.91915646e-02    1.77574694e-01    2.36766259e-01    2.36766259e-01
113      7.25000000e-03    8.38819687e-02    5.59213125e-02    1.67763937e-01    2.23685250e-01    2.23685250e-01
114      7.27500000e-03    7.92476058e-02    5.28317372e-02    1.58495212e-01    2.11326949e-01    2.11326949e-01
115      7.30000000e-03    7.48692850e-02    4.99128567e-02    1.49738570e-01    1.99651427e-01    1.99651427e-01
116      7.32500000e-03    7.07328604e-02    4.71552403e-02    1.41465721e-01    1.88620961e-01    1.88620961e-01
117      7.35000000e-03    6.68249676e-02    4.45499784e-02    1.33649935e-01    1.78199914e-01    1.78199914e-01
118      7.37500000e-03    6.31329804e-02    4.20886536e-02    1.26265961e-01    1.68354614e-01    1.68354614e-01
119      7.40000000e-03    5.96449705e-02    3.97633136e-02    1.19289941e-01    1.59053255e-01    1.59053255e-01
120      7.42500000e-03    5.63496682e-02    3.75664455e-02    1.12699336e-01    1.50265782e-01    1.50265782e-01
121      7.45000000e-03    5.32364269e-02    3.54909513e-02    1.06472854e-01    1.41963805e-01    1.41963805e-01
122      7.47500000e-03    5.02951878e-02    3.35301252e-02    1.00590376e-01    1.34120501e-01    1.34120501e-01
123      7.50000000e-03    4.75164482e-02    3.16776321e-02    9.50328963e-02    1.26710528e-01    1.26710528e-01
124      7.52500000e-03    4.48912300e-02    2.99274867e-02    8.97824601e-02    1.19709947e-01    1.19709947e-01
125      7.55000000e-03    4.24110516e-02    2.82740344e-02    8.48221032e-02    1.13096138e-01    1.13096138e-01
126      7.57500000e-03    4.00678996e-02    2.67119330e-02    8.01357991e-02    1.06847732e-01    1.06847732e-01
127      7.60000000e-03    3.78542035e-02    2.52361356e-02    7.57084069e-02    1.00944543e-01    1.00944543e-01
128      7.62500000e-03    3.57628110e-02    2.38418740e-02    7.15256220e-02    9.53674960e-02    9.53674960e-02
129      7.65000000e-03    3.37869651e-02    2.25246434e-02    6.75739302e-02    9.00985736e-02    9.00985736e-02
130      7.67500000e-03    3.19202819e-02    2.12801880e-02    6.38405639e-02    8.51207518e-02    8.51207518e-02
131      7.70000000e-03    3.01567304e-02    2.01044870e-02    6.03134609e-02    8.04179478e-02    8.04179478e-02
132      7.72500000e-03    2.84906127e-02    1.89937418e-02    5.69812255e-02    7.59749673e-02    7.59749673e-02
133      7.75000000e-03    2.69165457e-02    1.79443638e-02    5.38330915e-02    7.17774553e-02    7.17774553e-02
134      7.77500000e-03    2.54294438e-02    1.69529625e-02    5.08588875e-02    6.78118500e-02    6.78118500e-02
135      7.80000000e-03    2.40245021e-02    1.60163347e-02    4.80490042e-02    6.40653390e-02    6.40653390e-02
136      7.82500000e-03    2.26971816e-02    1.51314544e-02    4.53943631e-02    6.05258175e-02    6.05258175e-02
137      7.85000000e-03    2.14431936e-02    1.42954624e-02    4.28863873e-02    5.71818497e-02    5.71818497e-02
138      7.87500000e-03    2.02584868e-02    1.35056579e-02    4.05169736e-02    5.40226315e-02    5.40226315e-02
139      7.90000000e-03    1.91392334e-02    1.27594889e-02    3.82784668e-02    5.10379557e-02    5.10379557e-02
140      7.92500000e-03    1.80818172e-02    1.20545448e-02    3.61636343e-02    4.82181791e-02    4.82181791e-02
141      7.95000000e-03    1.70828217e-02    1.13885478e-02    3.41656435e-02    4.55541913e-02    4.55541913e-02
142      7.97500000e-03    1.61390194e-02    1.07593463e-02    3.22780389e-02    4.30373852e-02    4.30373852e-02
143      8.00000000e-03    1.52473609e-02    1.01649073e-02    3.04947218e-02    4.06596291e-02    4.06596291e-02
144      8.02500000e-03    1.44049653e-02    9.60331019e-03    2.88099306e-02    3.84132407e-02    3.84132407e-02
145      8.05000000e-03    1.36091108e-02    9.07274056e-03    2.72182217e-02    3.62909623e-02    3.62909623e-02
146      8.07500000e-03    1.28572263e-02    8.57148418e-03    2.57144525e-02    3.42859367e-02    3.42859367e-02
147      8.10000000e-03    1.21468823e-02    8.09792152e-03    2.42937645e-02    3.23916861e-02    3.23916861e-02
148      8.12500000e-03    1.14757838e-02    7.65052254e-03    2.29515676e-02    3.06020902e-02    3.06020902e-02
149      8.15000000e-03    1.08417626e-02    7.22784173e-03    2.16835252e-02    2.89113669e-02    2.89113669e-02
150      8.17500000e-03    1.02427702e-02    6.82851346e-03    2.04855404e-02    2.73140538e-02    2.73140538e-02
151      8.20000000e-03    9.67687129e-03    6.45124752e-03    1.93537426e-02    2.58049901e-02    2.58049901e-02
152      8.22500000e-03    9.14223751e-03    6.09482501e-03    1.82844750e-02    2.43793000e-02    2.43793000e-02
153      8.25000000e-03    8.63714152e-03    5.75809435e-03    1.72742830e-02    2.30323774e-02    2.30323774e-02
154      8.27500000e-03    8.15995138e-03    5.43996759e-03    1.63199028e-02    2.17598703e-02    2.17598703e-02
155      8.30000000e-03    7.70912534e-03    5.13941689e-03    1.54182507e-02    2.05576676e-02    2.05576676e-02
156      8.32500000e-03    7.28320681e-03    4.85547121e-03    1.45664136e-02    1.94218848e-02    1.94218848e-02
157      8.35000000e-03    6.88081969e-03    4.58721313e-03    1.37616394e-02    1.83488525e-02    1.83488525e-02
158      8.37500000e-03    6.50066391e-03    4.33377594e-03    1.30013278e-02    1.73351038e-02    1.73351038e-02
159      8.40000000e-03    6.14151121e-03    4.09434080e-03    1.22830224e-02    1.63773632e-02    1.63773632e-02
160      8.42500000e-03    5.80220120e-03    3.86813413e-03    1.16044024e-02    1.54725365e-02    1.54725365e-02
161      8.45000000e-03    5.48163759e-03    3.65442506e-03    1.09632752e-02    1.46177002e-02    1.46177002e-02
162      8.47500000e-03    5.17878469e-03    3.45252313e-03    1.03575694e-02    1.38100925e-02    1.38100925e-02
163      8.50000000e-03    4.89266399e-03    3.26177599e-03    9.78532797e-03    1.30471040e-02    1.30471040e-02
164      8.52500000e-03    4.62235106e-03    3.08156737e-03    9.24470212e-03    1.23262695e-02    1.23262695e-02
165      8.55000000e-03    4.36697255e-03    2.91131503e-03    8.73394510e-03    1.16452601e-02    1.16452601e-02
166      8.57500000e-03    4.12570335e-03    2.75046890e-03    8.25140669e-03    1.10018756e-02    1.10018756e-02
167      8.60000000e-03    3.89776393e-03    2.59850929e-03    7.79552787e-03    1.03940372e-02    1.03940372e-02
168      8.62500000e-03    3.68241786e-03    2.45494524e-03    7.36483572e-03    9.81978096e-03    9.81978096e-03
169      8.65000000e-03    3.47896936e-03    2.31931291e-03    6.95793872e-03    9.27725163e-03    9.27725163e-03
170      8.67500000e-03    3.28676111e-03    2.19117407e-03    6.57352222e-03    8.76469629e-03    8.76469629e-03
171      8.70000000e-03    3.10517210e-03    2.07011473e-03    6.21034419e-03    8.28045893e-03    8.28045893e-03
172      8.72500000e-03    2.93361563e-03    1.95574375e-03    5.86723126e-03    7.82297501e-03    7.82297501e-03
173      8.75000000e-03    2.77153742e-03    1.84769161e-03    5.54307483e-03    7.39076644e-03    7.39076644e-03
174      8.77500000e-03    2.61841380e-03    1.74560920e-03    5.23682760e-03    6.98243681e-03    6.98243681e-03
175      8.80000000e-03    2.47375006e-03    1.64916670e-03    4.94750011e-03    6.59666682e-03    6.59666682e-03
176      8.82500000e-03    2.33707878e-03    1.55805252e-03    4.67415756e-03    6.23221009e-03    6.23221009e-03
177      8.85000000e-03    2.20795841e-03    1.47197227e-03    4.41591682e-03    5.88788909e-03    5.88788909e-03
178      8.87500000e-03    2.08597176e-03    1.39064784e-03    4.17194351e-03    5.56259135e-03    5.56259135e-03
179      8.90000000e-03    1.97072470e-03    1.31381646e-03    3.94144939e-03    5.25526586e-03    5.25526586e-03
180      8.92500000e-03    1.86184488e-03    1.24122992e-03    3.72368976e-03    4.96491968e-03    4.96491968e-03
181      8.95000000e-03    1.75898052e-03    1.17265368e-03    3.51796104e-03    4.69061472e-03    4.69061472e-03
182      8.97500000e-03    1.66179928e-03    1.10786618e-03    3.32359855e-03    4.43146474e-03    4.43146474e-03
183      9.00000000e-03    1.56998716e-03    1.04665811e-03    3.13997432e-03    4.18663243e-03    4.18663243e-03
184      9.02500000e-03    1.48324754e-03    9.88831693e-04    2.96649508e-03    3.95532677e-03    3.95532677e-03
185      9.05000000e-03    1.40130016e-03    9.34200108e-04    2.80260032e-03    3.73680043e-03    3.73680043e-03
186      9.07500000e-03    1.32388026e-03    8.82586843e-04    2.64776053e-03    3.53034737e-03    3.53034737e-03
187      9.10000000e-03    1.25073771e-03    8.33825139e-04    2.50147542e-03    3.33530055e-03    3.33530055e-03
188      9.12500000e-03    1.18163618e-03    7.87757451e-04    2.36327235e-03    3.15102981e-03    3.15102981e-03
189      9.15000000e-03    1.11635241e-03    7.44234940e-04    2.23270482e-03    2.97693976e-03    2.97693976e-03
190      9.17500000e-03    1.05467548e-03    7.03116988e-04    2.10935096e-03    2.81246795e-03    2.81246795e-03
191      9.20000000e-03    9.96406118e-04    6.64270745e-04    1.99281224e-03    2.65708298e-03    2.65708298e-03
192      9.22500000e-03    9.41356056e-04    6.27570704e-04    1.88271211e-03    2.51028282e-03    2.51028282e-03
193      9.25000000e-03    8.89347434e-04    5.92898290e-04    1.77869487e-03    2.37159316e-03    2.37159316e-03
194      9.27500000e-03    8.40212217e-04    5.60141478e-04    1.68042443e-03    2.24056591e-03    2.24056591e-03
195      9.30000000e-03    7.93791652e-04    5.29194435e-04    1.58758330e-03    2.11677774e-03    2.11677774e-03
196      9.32500000e-03    7.49935760e-04    4.99957173e-04    1.49987152e-03    1.99982869e-03    1.99982869e-03
197      9.35000000e-03    7.08502845e-04    4.72335230e-04    1.41700569e-03    1.88934092e-03    1.88934092e-03
198      9.37500000e-03    6.69359042e-04    4.46239361e-04    1.33871808e-03    1.78495744e-03    1.78495744e-03
199      9.40000000e-03    6.32377879e-04    4.21585253e-04    1.26475576e-03    1.68634101e-03    1.68634101e-03
200      9.42500000e-03    5.97439875e-04    3.98293250e-04    1.19487975e-03    1.59317300e-03    1.59317300e-03
201      9.45000000e-03    5.64432147e-04    3.76288098e-04    1.12886429e-03    1.50515239e-03    1.50515239e-03
202      9.47500000e-03    5.33248050e-04    3.55498700e-04    1.06649610e-03    1.42199480e-03    1.42199480e-03
203      9.50000000e-03    5.03786832e-04    3.35857888e-04    1.00757366e-03    1.34343155e-03    1.34343155e-03
204      9.52500000e-03    4.75953305e-04    3.17302204e-04    9.51906611e-04    1.26920881e-03    1.26920881e-03
205      9.55000000e-03    4.49657543e-04    2.99771695e-04    8.99315085e-04    1.19908678e-03    1.19908678e-03
206      9.57500000e-03    4.24814584e-04    2.83209723e-04    8.49629169e-04    1.13283889e-03    1.13283889e-03
207      9.60000000e-03    4.01344165e-04    2.67562777e-04    8.02688331e-04    1.07025111e-03    1.07025111e-03
208      9.62500000e-03    3.79170455e-04    2.52780303e-04    7.58340909e-04    1.01112121e-03    1.01112121e-03
209      9.65000000e-03    3.58221811e-04    2.38814540e-04    7.16443621e-04    9.55258162e-04    9.55258162e-04
210      9.67500000e-03    3.38430550e-04    2.25620367e-04    6.76861101e-04    9.02481468e-04    9.02481468e-04
211      9.70000000e-03    3.19732730e-04    2.13155153e-04    6.39465460e-04    8.52620613e-04    8.52620613e-04
212      9.72500000e-03    3.02067938e-04    2.01378626e-04    6.04135877e-04    8.05514502e-04    8.05514502e-04
213      9.75000000e-03    2.85379102e-04    1.90252735e-04    5.70758204e-04    7.61010938e-04    7.61010938e-04
214      9.80000000e-03    2.54693177e-04    1.69795451e-04    5.09386354e-04    6.79181805e-04    6.79181805e-04
215      9.85000000e-03    2.27306814e-04    1.51537876e-04    4.54613628e-04    6.06151504e-04    6.06151504e-04
216      9.90000000e-03    2.02865221e-04    1.35243481e-04    4.05730442e-04    5.40973923e-04    5.40973923e-04
217      9.95000000e-03    1.81051756e-04    1.20701171e-04    3.62103513e-04    4.82804684e-04    4.82804684e-04
218      1.00000000e-02    1.61583826e-04    1.07722550e-04    3.23167651e-04    4.30890202e-04    4.30890202e-04
End of Xyce(TM) Simulation
