Index       V(2)             I(VDS)      
0        0.00000000e+00    7.31107717e-07
1        1.00000000e-01   -1.01383365e-03
2        2.00000000e-01   -1.80537817e-03
3        3.00000000e-01   -2.39449739e-03
4        4.00000000e-01   -2.80256661e-03
5        5.00000000e-01   -3.05954431e-03
6        6.00000000e-01   -3.21660638e-03
7        7.00000000e-01   -3.32451144e-03
8        8.00000000e-01   -3.40831828e-03
9        9.00000000e-01   -3.47883233e-03
10       1.00000000e+00   -3.54132457e-03
11       1.10000000e+00   -3.59860436e-03
12       1.20000000e+00   -3.65227562e-03
End of Xyce(TM) Simulation
