Index	    FREQ               VP(1)
0      -1.000000000e-08    -9.293491900e+01
1      -9.000000000e-07    -9.178880744e+01
2      -8.000000000e-07    -9.108985017e+01
3      -7.000000000e-07    -9.065107736e+01
4      -6.000000000e-07    -9.037351125e+01
5      -5.000000000e-07    -9.020008483e+01
6      -4.000000000e-07    -9.009555948e+01
7      -3.000000000e-07    -9.003676921e+01
8      -2.000000000e-07    -9.000730919e+01
9      -1.000000000e-07     3.336226390e-03
10      0.000000000e+00     1.800000000e+02
11      1.000000000e+07    -3.336226390e-03
12      2.000000000e+07     9.000730919e+01
13      3.000000000e+07     9.003676921e+01
14      4.000000000e+07     9.009555948e+01
15      5.000000000e+07     9.020008483e+01
16      6.000000000e+07     9.037351125e+01
17      7.000000000e+07     9.065107736e+01
18      8.000000000e+07     9.108985017e+01
19      9.000000000e+07     9.178880744e+01
20      1.000000000e+08     9.293491900e+01

