Index     FREQ                Re(V(1))          Im(V(1))
0    -1.000000000e+08    1.941975152e-09   2.089888466e-10
1    -9.000000000e+07    1.607229399e-09   1.258270184e-10
2    -8.000000000e+07    1.372365634e-09   7.750463255e-11
3    -7.000000000e+07    1.202319949e-09   4.802984750e-11
4    -6.000000000e+07    1.076846851e-09   2.954493012e-11
5    -5.000000000e+07    9.836095595e-10   1.782956871e-11
6    -4.000000000e+07    9.147990695e-10   1.044300056e-11
7    -3.000000000e+07    8.653643470e-10   5.877461540e-12
8    -2.000000000e+07    8.320379085e-10   3.146946290e-12
9    -1.000000000e+07    3.142880139e-04   -2.190677529e-01
10    0.000000000e+00    0.000000000e+00   0.000000000e+00
11    1.000000000e+07    3.142880139e-04   2.190677529e-01
12    2.000000000e+07    8.320379085e-10   -3.146946290e-12
13    3.000000000e+07    8.653643470e-10   -5.877461540e-12
14    4.000000000e+07    9.147990695e-10   -1.044300056e-11
15    5.000000000e+07    9.836095595e-10   -1.782956871e-11
16    6.000000000e+07    1.076846851e-09   -2.954493012e-11
17    7.000000000e+07    1.202319949e-09   -4.802984750e-11
18    8.000000000e+07    1.372365634e-09   -7.750463255e-11
19    9.000000000e+07    1.607229399e-09   -1.258270184e-10
20    1.000000000e+08    1.941975152e-09   -2.089888466e-10
End of Xyce(TM) Simulation
