Index     TIME               V(1)             V(2)
0    0.000000000e+00    6.285976210e-04   3.590120992e-01
1    1.000000000e-09    -2.688340039e-02   -2.847914533e-01
2    2.000000000e-09    -5.428930570e-02   -2.217568413e+00
3    3.000000000e-09    -8.148095825e-02   -5.431689578e+00
4    4.000000000e-09    -1.083510429e-01   -9.914469676e+00
5    5.000000000e-09    -1.347935138e-01   -1.564821752e+01
6    6.000000000e-09    -1.607040130e-01   -2.261030567e+01
7    7.000000000e-09    -1.859802835e-01   -3.077325937e+01
8    8.000000000e-09    -2.105225719e-01   -4.010486456e+01
9    9.000000000e-09    -2.342340227e-01   -5.056829466e+01
10    1.000000000e-08    -2.570210592e-01   -6.212225566e+01
11    1.100000000e-08    -2.787937526e-01   -7.472114911e+01
12    1.200000000e-08    -2.994661768e-01   -8.831525228e+01
13    1.300000000e-08    -3.189567469e-01   -1.028509147e+02
14    1.400000000e-08    -3.371885414e-01   -1.182707702e+02
15    1.500000000e-08    -3.540896066e-01   -1.345139634e+02
16    1.600000000e-08    -3.695932406e-01   -1.515163900e+02
17    1.700000000e-08    -3.836382573e-01   -1.692109497e+02
18    1.800000000e-08    -3.961692275e-01   -1.875278106e+02
19    1.900000000e-08    -4.071366981e-01   -2.063946849e+02
20    2.000000000e-08    -4.164973862e-01   -2.257371138e+02
21    2.100000000e-08    -4.242143506e-01   -2.454787613e+02
22    2.200000000e-08    -4.302571361e-01   -2.655417157e+02
23    2.300000000e-08    -4.346018944e-01   -2.858467974e+02
24    2.400000000e-08    -4.372314782e-01   -3.063138712e+02
25    2.500000000e-08    -4.381355088e-01   -3.268621628e+02
26    2.600000000e-08    -4.373104178e-01   -3.474105778e+02
27    2.700000000e-08    -4.347594611e-01   -3.678780212e+02
28    2.800000000e-08    -4.304927065e-01   -3.881837177e+02
29    2.900000000e-08    -4.245269935e-01   -4.082475302e+02
30    3.000000000e-08    -4.168858667e-01   -4.279902761e+02
31    3.100000000e-08    -4.075994828e-01   -4.473340395e+02
32    3.200000000e-08    -3.967044910e-01   -4.662024790e+02
33    3.300000000e-08    -3.842438887e-01   -4.845211294e+02
34    3.400000000e-08    -3.702668515e-01   -5.022176951e+02
35    3.500000000e-08    -3.548285397e-01   -5.192223359e+02
36    3.600000000e-08    -3.379898810e-01   -5.354679424e+02
37    3.700000000e-08    -3.198173296e-01   -5.508904010e+02
38    3.800000000e-08    -3.003826047e-01   -5.654288465e+02
39    3.900000000e-08    -2.797624068e-01   -5.790259023e+02
40    4.000000000e-08    -2.580381149e-01   -5.916279071e+02
41    4.100000000e-08    -2.352954654e-01   -6.031851263e+02
42    4.200000000e-08    -2.116242131e-01   -6.136519485e+02
43    4.300000000e-08    -1.871177772e-01   -6.229870657e+02
44    4.400000000e-08    -1.618728729e-01   -6.311536364e+02
45    4.500000000e-08    -1.359891298e-01   -6.381194311e+02
46    4.600000000e-08    -1.095686989e-01   -6.438569591e+02
47    4.700000000e-08    -8.271584956e-02   -6.483435774e+02
48    4.800000000e-08    -5.553655810e-02   -6.515615793e+02
49    4.900000000e-08    -2.813808936e-02   -6.534982651e+02
50    5.000000000e-08    -6.285730689e-04   -6.541459912e+02
51    5.100000000e-08    2.688342303e-02   -6.535022013e+02
52    5.200000000e-08    5.428932177e-02   -6.515694357e+02
53    5.300000000e-08    8.148096503e-02   -6.483553220e+02
54    5.400000000e-08    1.083510404e-01   -6.438725450e+02
55    5.500000000e-08    1.347935044e-01   -6.381387963e+02
56    5.600000000e-08    1.607040009e-01   -6.311767046e+02
57    5.700000000e-08    1.859802728e-01   -6.230137464e+02
58    5.800000000e-08    2.105225658e-01   -6.136821372e+02
59    5.900000000e-08    2.342340221e-01   -6.032187045e+02
60    6.000000000e-08    2.570210629e-01   -5.916647426e+02
61    6.100000000e-08    2.787937580e-01   -5.790658493e+02
62    6.200000000e-08    2.994661809e-01   -5.654717466e+02
63    6.300000000e-08    3.189567475e-01   -5.509360839e+02
64    6.400000000e-08    3.371885380e-01   -5.355162272e+02
65    6.500000000e-08    3.540896002e-01   -5.192730317e+02
66    6.600000000e-08    3.695932335e-01   -5.022706022e+02
67    6.700000000e-08    3.836382518e-01   -4.845760397e+02
68    6.800000000e-08    3.961692252e-01   -4.662591767e+02
69    6.900000000e-08    4.071366990e-01   -4.473923012e+02
70    7.000000000e-08    4.164973892e-01   -4.280498719e+02
71    7.100000000e-08    4.242143536e-01   -4.083082243e+02
72    7.200000000e-08    4.302571371e-01   -3.882452693e+02
73    7.300000000e-08    4.346018924e-01   -3.679401863e+02
74    7.400000000e-08    4.372314733e-01   -3.474731104e+02
75    7.500000000e-08    4.381355025e-01   -3.269248162e+02
76    7.600000000e-08    4.373104121e-01   -3.063763986e+02
77    7.700000000e-08    4.347594579e-01   -2.859089532e+02
78    7.800000000e-08    4.304927064e-01   -2.656032554e+02
79    7.900000000e-08    4.245269959e-01   -2.455394424e+02
80    8.000000000e-08    4.168858699e-01   -2.257966964e+02
81    8.100000000e-08    4.075994847e-01   -2.064529325e+02
82    8.200000000e-08    3.967044900e-01   -1.875844917e+02
83    8.300000000e-08    3.842438843e-01   -1.692658392e+02
84    8.400000000e-08    3.702668448e-01   -1.515692707e+02
85    8.500000000e-08    3.548285329e-01   -1.345646271e+02
86    8.600000000e-08    3.379898764e-01   -1.183190183e+02
87    8.700000000e-08    3.198173287e-01   -1.028965585e+02
88    8.800000000e-08    3.003826075e-01   -8.835811288e+01
89    8.900000000e-08    2.797624117e-01   -7.476105745e+01
90    9.000000000e-08    2.580381193e-01   -6.215905281e+01
91    9.100000000e-08    2.352954664e-01   -5.060183267e+01
92    9.200000000e-08    2.116242089e-01   -4.013500786e+01
93    9.300000000e-08    1.871177682e-01   -3.079988655e+01
94    9.400000000e-08    1.618728614e-01   -2.263331121e+01
95    9.500000000e-08    1.359891198e-01   -1.566751299e+01
96    9.600000000e-08    1.095686945e-01   -9.929984140e+00
97    9.700000000e-08    8.271585385e-02   -5.443369096e+00
98    9.800000000e-08    5.553657185e-02   -2.225374755e+00
99    9.900000000e-08    2.813811061e-02   -2.887004442e-01
100    1.000000000e-07    6.285976210e-04   3.590120992e-01
101    1.010000000e-07    -2.688340039e-02   -2.847914533e-01
102    1.020000000e-07    -5.428930570e-02   -2.217568413e+00
103    1.030000000e-07    -8.148095825e-02   -5.431689578e+00
104    1.040000000e-07    -1.083510429e-01   -9.914469676e+00
105    1.050000000e-07    -1.347935138e-01   -1.564821752e+01
106    1.060000000e-07    -1.607040130e-01   -2.261030567e+01
107    1.070000000e-07    -1.859802835e-01   -3.077325937e+01
108    1.080000000e-07    -2.105225719e-01   -4.010486456e+01
109    1.090000000e-07    -2.342340227e-01   -5.056829466e+01
110    1.100000000e-07    -2.570210592e-01   -6.212225566e+01
111    1.110000000e-07    -2.787937526e-01   -7.472114911e+01
112    1.120000000e-07    -2.994661768e-01   -8.831525228e+01
113    1.130000000e-07    -3.189567469e-01   -1.028509147e+02
114    1.140000000e-07    -3.371885414e-01   -1.182707702e+02
115    1.150000000e-07    -3.540896066e-01   -1.345139634e+02
116    1.160000000e-07    -3.695932406e-01   -1.515163900e+02
117    1.170000000e-07    -3.836382573e-01   -1.692109497e+02
118    1.180000000e-07    -3.961692275e-01   -1.875278106e+02
119    1.190000000e-07    -4.071366981e-01   -2.063946849e+02
120    1.200000000e-07    -4.164973862e-01   -2.257371138e+02
121    1.210000000e-07    -4.242143506e-01   -2.454787613e+02
122    1.220000000e-07    -4.302571361e-01   -2.655417157e+02
123    1.230000000e-07    -4.346018944e-01   -2.858467974e+02
124    1.240000000e-07    -4.372314782e-01   -3.063138712e+02
125    1.250000000e-07    -4.381355088e-01   -3.268621628e+02
126    1.260000000e-07    -4.373104178e-01   -3.474105778e+02
127    1.270000000e-07    -4.347594611e-01   -3.678780212e+02
128    1.280000000e-07    -4.304927065e-01   -3.881837177e+02
129    1.290000000e-07    -4.245269935e-01   -4.082475302e+02
130    1.300000000e-07    -4.168858667e-01   -4.279902761e+02
131    1.310000000e-07    -4.075994828e-01   -4.473340395e+02
132    1.320000000e-07    -3.967044910e-01   -4.662024790e+02
133    1.330000000e-07    -3.842438887e-01   -4.845211294e+02
134    1.340000000e-07    -3.702668515e-01   -5.022176951e+02
135    1.350000000e-07    -3.548285397e-01   -5.192223359e+02
136    1.360000000e-07    -3.379898810e-01   -5.354679424e+02
