Index       TIME              V(1)              V(2)              I(V1)      
0        0.00000000e+00    0.00000000e+00    3.45126646e-31   -1.73333695e-33
1        4.76190476e-06    2.94755174e-01    1.47377587e+00   -5.89510349e-03
2        9.52380952e-06    5.63320058e-01    2.81660029e+00   -1.12664012e-02
3        1.42857143e-05    7.81831482e-01    3.90915741e+00   -1.56366296e-02
4        1.90476190e-05    9.30873749e-01    4.65436874e+00   -1.86174750e-02
5        2.38095238e-05    9.97203797e-01    4.98601899e+00   -1.99440759e-02
6        2.85714286e-05    9.74927912e-01    4.87463956e+00   -1.94985582e-02
7        3.33333333e-05    8.66025404e-01    4.33012702e+00   -1.73205081e-02
8        3.80952381e-05    6.80172738e-01    3.40086369e+00   -1.36034548e-02
9        4.28571429e-05    4.33883739e-01    2.16941870e+00   -8.67767478e-03
10       4.76190476e-05    1.49042266e-01    7.45211331e-01   -2.98084532e-03
11       5.23809524e-05   -1.49042266e-01   -7.45211331e-01    2.98084532e-03
12       5.71428571e-05   -4.33883739e-01   -2.16941870e+00    8.67767478e-03
13       6.19047619e-05   -6.80172738e-01   -3.40086369e+00    1.36034548e-02
14       6.66666667e-05   -8.66025404e-01   -4.33012702e+00    1.73205081e-02
15       7.14285714e-05   -9.74927912e-01   -4.87463956e+00    1.94985582e-02
16       7.61904762e-05   -9.97203797e-01   -4.98601899e+00    1.99440759e-02
17       8.09523810e-05   -9.30873749e-01   -4.65436874e+00    1.86174750e-02
18       8.57142857e-05   -7.81831482e-01   -3.90915741e+00    1.56366296e-02
19       9.04761905e-05   -5.63320058e-01   -2.81660029e+00    1.12664012e-02
20       9.52380952e-05   -2.94755174e-01   -1.47377587e+00    5.89510349e-03
End of Xyce(TM) Simulation
