Index       FREQ            Re(V(2))          Im(V(2))          Re(I(V1))         Im(I(V1))    
0       -1.00000000e+06    6.97935860e-04    3.00792425e-03   -7.62601440e-05    1.48214828e-03
1       -9.00000000e+05    2.70941778e-03   -4.87714751e-03    1.86041695e-03   -1.95826714e-03
2       -8.00000000e+05   -4.75736379e-03   -1.30843591e-04   -2.24543736e-03   -5.80810572e-04
3       -7.00000000e+05    2.06975006e-03   -2.07110013e-03    1.19468894e-03   -7.95637138e-04
4       -6.00000000e+05   -1.13997408e-02   -2.17005847e-03   -5.35450415e-03   -2.00679037e-03
5       -5.00000000e+05   -3.56029793e-04    1.20217528e-02   -1.01932644e-03    5.86471715e-03
6       -4.00000000e+05   -8.36916886e-03   -1.95796793e-03   -4.01932714e-03   -1.44025663e-03
7       -3.00000000e+05   -3.38642797e-03    5.36972234e-02   -3.97467989e-03    2.65066117e-02
8       -2.00000000e+05    1.13238769e-01    3.33872110e-03    5.63381977e-02    4.90209553e-03
9       -1.00000000e+05   -1.39275539e-02    6.68566457e-01    1.92639626e-02   -9.15163660e-01
10       0.00000000e+00   -1.84700914e-01    0.00000000e+00   -9.23504571e-02    0.00000000e+00
11       1.00000000e+05   -1.39275539e-02   -6.68566457e-01    1.92639626e-02    9.15163660e-01
12       2.00000000e+05    1.13238769e-01   -3.33872110e-03    5.63381977e-02   -4.90209553e-03
13       3.00000000e+05   -3.38642797e-03   -5.36972234e-02   -3.97467989e-03   -2.65066117e-02
14       4.00000000e+05   -8.36916886e-03    1.95796793e-03   -4.01932714e-03    1.44025663e-03
15       5.00000000e+05   -3.56029793e-04   -1.20217528e-02   -1.01932644e-03   -5.86471715e-03
16       6.00000000e+05   -1.13997408e-02    2.17005847e-03   -5.35450415e-03    2.00679037e-03
17       7.00000000e+05    2.06975006e-03    2.07110013e-03    1.19468894e-03    7.95637138e-04
18       8.00000000e+05   -4.75736379e-03    1.30843591e-04   -2.24543736e-03    5.80810572e-04
19       9.00000000e+05    2.70941778e-03    4.87714751e-03    1.86041695e-03    1.95826714e-03
20       1.00000000e+06    6.97935860e-04   -3.00792425e-03   -7.62601440e-05   -1.48214828e-03
End of Xyce(TM) Simulation
