Index       TIME              V(1)              V(2)              V(5)              V(6)              V(7)              V(12)             I(V1)      
0        0.00000000e+00    9.86076132e-32   -3.95383562e-01   -3.95384629e-01   -3.95384905e-01   -3.95385142e-01   -3.95385735e-01   -1.97691781e+01
1        4.76190476e-06    1.47377587e+00   -3.68543713e-01   -3.68548687e-01   -3.68549976e-01   -3.68551082e-01   -3.68553845e-01   -9.21159793e+01
2        9.52380952e-06    2.81660029e+00   -3.08957139e-01   -3.08965577e-01   -3.08967765e-01   -3.08969640e-01   -3.08974328e-01   -1.56277871e+02
3        1.42857143e-05    3.90915741e+00   -2.21918367e-01   -2.21929520e-01   -2.21932412e-01   -2.21934890e-01   -2.21941087e-01   -2.06553789e+02
4        1.90476190e-05    4.65436874e+00   -1.15161174e-01   -1.15174051e-01   -1.15177390e-01   -1.15180252e-01   -1.15187406e-01   -2.38476496e+02
5        2.38095238e-05    4.98601899e+00    1.82859486e-03    1.81513754e-03    1.81164861e-03    1.80865809e-03    1.80118180e-03   -2.49209520e+02
6        2.85714286e-05    4.87463956e+00    1.18655885e-01    1.18643043e-01    1.18639714e-01    1.18636861e-01    1.18629726e-01   -2.37799184e+02
7        3.33333333e-05    4.33012702e+00    2.24940079e-01    2.24928994e-01    2.24926120e-01    2.24923657e-01    2.24917499e-01   -2.05259347e+02
8        3.80952381e-05    3.40086369e+00    3.11237359e-01    3.11229017e-01    3.11226854e-01    3.11225000e-01    3.11220365e-01   -1.54481316e+02
9        4.28571429e-05    2.16941870e+00    3.69879835e-01    3.69874975e-01    3.69873716e-01    3.69872636e-01    3.69869936e-01   -8.99769430e+01
10       4.76190476e-05    7.45211331e-01    3.95656864e-01    3.95655919e-01    3.95655674e-01    3.95655464e-01    3.95654940e-01   -1.74777234e+01
11       5.23809524e-05   -7.45211331e-01    3.86278044e-01    3.86281098e-01    3.86281890e-01    3.86282569e-01    3.86284266e-01    5.65744688e+01
12       5.71428571e-05   -2.16941870e+00    3.42576725e-01    3.42583507e-01    3.42585265e-01    3.42586772e-01    3.42590540e-01    1.25599771e+02
13       6.19047619e-05   -3.40086369e+00    2.68435961e-01    2.68445867e-01    2.68448436e-01    2.68450637e-01    2.68456141e-01    1.83464982e+02
14       6.66666667e-05   -4.33012702e+00    1.70443483e-01    1.70455634e-01    1.70458785e-01    1.70461485e-01    1.70468236e-01    2.25028525e+02
15       7.14285714e-05   -4.87463956e+00    5.73063541e-02    5.73196702e-02    5.73231225e-02    5.73260817e-02    5.73334795e-02    2.46597296e+02
16       7.61904762e-05   -4.98601899e+00   -6.09226960e-02   -6.09093981e-02   -6.09059505e-02   -6.09029954e-02   -6.08956077e-02    2.46254814e+02
17       8.09523810e-05   -4.65436874e+00   -1.73738497e-01   -1.73726399e-01   -1.73723263e-01   -1.73720574e-01   -1.73713853e-01    2.24031512e+02
18       8.57142857e-05   -3.90915741e+00   -2.71116870e-01   -2.71107047e-01   -2.71104500e-01   -2.71102317e-01   -2.71096860e-01    1.81902027e+02
19       9.04761905e-05   -2.81660029e+00   -3.44405320e-01   -3.44398644e-01   -3.44396914e-01   -3.44395430e-01   -3.44391721e-01    1.23609749e+02
20       9.52380952e-05   -1.47377587e+00   -3.87091845e-01   -3.87088911e-01   -3.87088150e-01   -3.87087498e-01   -3.87085867e-01    5.43342013e+01
End of Xyce(TM) Simulation
